상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-01-01,01관,"10:30,  클라우즈 오브 실스마리아(디지털),  5,000원","12:50,  하울의 움직이는 성(디지털),  7,000원","15:05,  마미(디지털),  7,000원","17:40,  쿼바디스(디지털),  7,000원","19:40,  내일을 위한 시간(디지털),  7,000원","21:30,  맵 투 더 스타(디지털),  7,000원",,200
2015-01-02,01관,"10:30,  내일을 위한 시간(디지털),  5,000원","12:20,  맵 투 더 스타(디지털),  6,000원","14:25,  쿼바디스(디지털),  7,000원","16:25,  클라우즈 오브 실스마리아(디지털),  6,000원","18:45,  무드 인디고(디지털),  7,000원","20:35,  마미(디지털),  7,000원",,200
2015-01-03,01관,"10:30,  쿼바디스(디지털),  5,000원","12:30,  클라우즈 오브 실스마리아(디지털),  7,000원","14:50,  내일을 위한 시간(디지털),  7,000원","16:40,  하울의 움직이는 성(디지털),  7,000원","18:55,  마미(디지털),  7,000원","21:30,  맵 투 더 스타(디지털),  7,000원",,200
2015-01-04,01관,"10:30,  맵 투 더 스타(디지털),  5,000원","12:35,  하울의 움직이는 성(디지털),  7,000원","14:50,  쿼바디스(디지털),  7,000원","16:50,  마미(디지털),  7,000원","19:25,  무드 인디고(디지털),  7,000원","21:15,  내일을 위한 시간(디지털),  7,000원",,200
2015-01-06,01관,"10:30,  마미(디지털),  5,000원","13:05,  쿼바디스(디지털),  7,000원","15:05,  맵 투 더 스타(디지털),  7,000원","17:10,  하울의 움직이는 성(디지털),  7,000원","19:25,  내일을 위한 시간(디지털),  7,000원","21:15,  클라우즈 오브 실스마리아(디지털),  7,000원",,200
2015-01-07,01관,"13:00,  무드 인디고(디지털),  7,000원","14:50,  내일을 위한 시간(디지털),  7,000원","16:40,  맵 투 더 스타(디지털)","18:45,  쿼바디스(디지털),  7,000원","20:45,  마미(디지털),  6,000원",,,200
2015-01-08,01관,"10:30,  내일을 위한 시간(디지털),  5,000원","12:20,  하울의 움직이는 성(디지털),  7,000원","14:35,  쿼바디스(디지털)","16:35,  맵 투 더 스타(디지털)","18:40,  아메리칸 셰프(디지털),  7,000원","20:50,  나의 사적인 여자친구(디지털),  7,000원",,200
2015-01-09,01관,"13:00,  내일을 위한 시간(디지털),  7,000원","14:50,  맵 투 더 스타(디지털),  6,000원","16:55,  쿼바디스(디지털),  6,000원","18:55,  나의 사적인 여자친구(디지털),  7,000원","21:00,  아메리칸 셰프(디지털),  7,000원",,,200
2015-01-10,01관,"10:30,  맵 투 더 스타(디지털),  5,000원","12:35,  쿼바디스(디지털),  7,000원","14:35,  나의 사적인 여자친구(디지털),  7,000원","16:40,  내일을 위한 시간(디지털),  7,000원","18:30,  아메리칸 셰프(디지털),  7,000원","20:40,  마미(디지털),  7,000원",,200
2015-01-11,01관,"10:30,  클라우즈 오브 실스마리아(디지털),  5,000원","12:50,  마미(디지털),  7,000원","15:25,  쿼바디스(디지털),  7,000원","17:25,  아메리칸 셰프(디지털),  7,000원","19:35,  내일을 위한 시간(디지털),  7,000원","21:25,  나의 사적인 여자친구(디지털),  6,000원",,200
2015-01-12,01관,"13:00,  나의 사적인 여자친구(디지털),  7,000원","15:05,  내일을 위한 시간(디지털),  7,000원","16:55,  쿼바디스(디지털),  7,000원","18:55,  아메리칸 셰프(디지털),  7,000원","21:05,  맵 투 더 스타(디지털),  7,000원",,,200
2015-01-13,01관,"10:30,  쿼바디스(디지털),  5,000원","12:30,  내일을 위한 시간(디지털)","14:20,  맵 투 더 스타(디지털),  7,000원","16:25,  클라우즈 오브 실스마리아(디지털),  7,000원","18:45,  나의 사적인 여자친구(디지털),  7,000원","20:50,  마미(디지털),  6,000원",,200
2015-01-14,01관,"13:00,  맵 투 더 스타(디지털)","15:05,  아메리칸 셰프(디지털),  7,000원","17:15,  나의 사적인 여자친구(디지털),  7,000원","19:20,  내일을 위한 시간(디지털),  7,000원","21:10,  쿼바디스(디지털),  7,000원",,,200
2015-01-15,01관,"10:30,  아메리칸 셰프(디지털),  5,000원","12:40,  쿼바디스(디지털),  7,000원","14:40,  내일을 위한 시간(디지털),  7,000원","16:30,  맵 투 더 스타(디지털),  6,000원","18:35,  아이 킬드 마이 마더(디지털),  7,000원","20:25,  이별까지 7일(디지털),  7,000원",,200
2015-01-16,01관,"13:00,  내일을 위한 시간(디지털),  7,000원","14:50,  아이 킬드 마이 마더(디지털),  7,000원","16:40,  나의 사적인 여자친구(디지털),  7,000원","18:45,  이별까지 7일(디지털),  7,000원","21:00,  아메리칸 셰프(디지털),  7,000원",,,200
2015-01-17,01관,"10:30,  마미(디지털),  5,000원","13:05,  아메리칸 셰프(디지털),  7,000원","15:15,  이별까지 7일(디지털),  7,000원","17:30,  내일을 위한 시간(디지털),  7,000원","19:20,  나의 사적인 여자친구(디지털),  7,000원","21:25,  아이 킬드 마이 마더(디지털),  7,000원",,200
2015-01-18,01관,"10:30,  아이 킬드 마이 마더(디지털),  5,000원","12:20,  나의 사적인 여자친구(디지털),  7,000원","14:25,  아메리칸 셰프(디지털),  7,000원","16:35,  이별까지 7일(디지털),  6,000원","18:50,  내일을 위한 시간(디지털),  7,000원","20:40,  아메리칸 셰프(디지털),  7,000원",,200
2015-01-19,01관,"13:00,  내일을 위한 시간(디지털),  7,000원",,"16:45,  퐁네프의 연인들(디지털),  5,000원","19:05,  나쁜 피(디지털)","21:15,  이별까지 7일(디지털),  7,000원",,,200
2015-01-20,01관,"10:30,  이별까지 7일(디지털),  5,000원","12:45,  아메리칸 셰프(디지털),  7,000원","14:55,  나쁜 피(디지털),  5,000원",,"19:00,  퐁네프의 연인들(디지털),  5,000원","21:20,  나의 사적인 여자친구(디지털),  6,000원",,200
2015-01-21,01관,"13:00,  아이 킬드 마이 마더(디지털)","14:50,  퐁네프의 연인들(디지털)","17:10,  나쁜 피(디지털)",,"21:15,  아메리칸 셰프(디지털),  7,000원",,,200
2015-01-22,01관,"10:30,  나의 사적인 여자친구(디지털),  5,000원","12:35,  이별까지 7일(디지털)",,"16:50,  퐁네프의 연인들(디지털),  5,000원","19:10,  나쁜 피(디지털),  5,000원","21:20,  아메리칸 셰프(디지털),  7,000원",,200
2015-01-23,01관,"13:00,  쿼바디스(디지털),  7,000원","15:00,  나쁜 피(디지털),  5,000원",,"19:05,  퐁네프의 연인들(디지털),  5,000원","21:25,  내일을 위한 시간(디지털),  7,000원",,,200
2015-01-24,01관,"10:30,  아이 킬드 마이 마더(디지털),  5,000원","12:25,  마미(디지털),  7,000원","15:00,  아메리칸 셰프(디지털),  7,000원","17:10,  개를 훔치는 완벽한 방법(디지털),  7,000원","19:15,  내일을 위한 시간(디지털),  7,000원","21:05,  아메리칸 셰프(디지털),  7,000원",,200
2015-01-25,01관,"10:30,  개를 훔치는 완벽한 방법(디지털),  5,000원","12:35,  내일을 위한 시간(디지털),  7,000원","14:25,  개를 훔치는 완벽한 방법(디지털),  7,000원","16:30,  아메리칸 셰프(디지털),  7,000원","18:40,  이별까지 7일(디지털),  7,000원",,,200
2015-01-26,01관,"13:00,  아이 킬드 마이 마더(디지털),  7,000원","14:55,  이별까지 7일(디지털),  4,000원","17:10,  개를 훔치는 완벽한 방법(디지털),  7,000원","19:15,  내일을 위한 시간(디지털),  7,000원","21:05,  아메리칸 셰프(디지털),  7,000원",,,200
2015-01-27,01관,"10:30,  내일을 위한 시간(디지털),  5,000원","12:20,  아메리칸 셰프(디지털),  7,000원",,"16:30,  이별까지 7일(디지털),  7,000원","18:45,  아이 킬드 마이 마더(디지털),  6,000원","20:40,  개를 훔치는 완벽한 방법(디지털),  7,000원",,200
2015-01-28,01관,"13:00,  나의 사적인 여자친구(디지털),  6,000원","15:05,  아이 킬드 마이 마더(디지털),  7,000원","17:00,  내일을 위한 시간(디지털),  6,000원","18:50,  개를 훔치는 완벽한 방법(디지털),  7,000원","20:55,  아메리칸 셰프(디지털),  7,000원",,,200
2015-01-29,01관,"10:30,  생각보다 맑은(디지털),  5,000원",,,,"17:15,  생각보다 맑은(디지털),  7,000원",,,200
2015-01-30,01관,"10:30,  개를 훔치는 완벽한 방법(디지털),  5,000원",,,,,"19:20,  생각보다 맑은(디지털),  7,000원","20:55,  개를 훔치는 완벽한 방법(디지털),  7,000원",200
2015-01-31,01관,,"12:45,  내일을 위한 시간(디지털),  7,000원","14:45,  아메리칸 셰프(디지털),  7,000원","16:55,  개를 훔치는 완벽한 방법(디지털),  7,000원","19:00,  생각보다 맑은(디지털),  7,000원",,,200
2015-02-01,01관,"10:30,  아이 킬드 마이 마더(디지털),  5,000원","12:25,  생각보다 맑은(디지털),  7,000원","14:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","16:05,  아메리칸 셰프(디지털),  7,000원","18:15,  쿼바디스(디지털),  7,000원","20:15,  내일을 위한 시간(디지털),  7,000원",,200
2015-02-02,01관,"10:30,  개를 훔치는 완벽한 방법(디지털),  5,000원",,,,"17:30,  생각보다 맑은(디지털),  6,000원","19:05,  개를 훔치는 완벽한 방법(디지털),  7,000원",,200
