상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-29,01관,"14:00,  킹콩(필름)","17:30,  킹콩(필름)","19:30,  킹콩(필름)",,,,,,,,87
2015-02-02,01관,"14:00,  킹콩(필름)","15:00,  킹콩(필름)","18:00,  킹콩(필름),  5,000원",,"23:00,  킹콩(필름),  5,000원",,,,,,87
2015-02-06,01관,"14:30,  국제시장(디지털)","17:30,  국제시장(디지털)","20:30,  국제시장(디지털)",,,,,,,,87
2015-02-07,01관,"10:20,  국제시장(디지털),  5,000원","13:00,  쎄시봉(디지털),  5,000원","15:35,  쎄시봉(디지털),  5,000원","18:10,  국제시장(디지털),  5,000원","20:50,  쎄시봉(디지털),  5,000원",,,,,,87
2015-02-08,01관,"10:20,  쎄시봉(디지털),  5,000원","12:55,  국제시장(디지털),  5,000원","15:35,  쎄시봉(디지털),  5,000원","18:10,  쎄시봉(디지털),  5,000원","20:45,  국제시장(디지털),  5,000원",,,,,,87
2015-02-09,01관,"10:20,  국제시장(디지털),  5,000원","13:00,  쎄시봉(디지털),  5,000원","15:35,  쎄시봉(디지털),  5,000원","18:10,  국제시장(디지털),  5,000원","20:50,  쎄시봉(디지털),  5,000원",,,,,,87
2015-02-10,01관,"10:20,  쎄시봉(디지털),  5,000원","12:55,  국제시장(디지털),  5,000원","15:35,  쎄시봉(디지털),  5,000원","18:10,  쎄시봉(디지털),  5,000원","20:45,  국제시장(디지털),  5,000원",,,,,,87
2015-02-11,01관,"10:40,  오즈의 마법사: 돌아온 도로시(디지털더빙)","12:45,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","15:20,  국제시장(디지털),  8,000원","17:50,  쎄시봉(디지털)","20:20,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원",,,,,,87
2015-02-12,01관,"10:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:35,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","15:10,  국제시장(디지털),  5,000원","17:45,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","20:20,  쎄시봉(디지털),  5,000원",,,,,,87
2015-02-13,01관,"10:30,  쎄시봉(디지털),  5,000원","13:10,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","15:45,  국제시장(디지털),  5,000원","18:25,  오즈의 마법사: 돌아온 도로시(디지털더빙),  8,000원","20:30,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원",,,,,,87
2015-02-14,01관,"10:10,  국제시장(디지털),  5,000원","12:35,  쎄시봉(디지털),  5,000원","14:55,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","17:30,  오즈의 마법사: 돌아온 도로시(디지털더빙),  5,000원","19:35,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:25,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원",,,,,87
2015-02-15,01관,"10:45,  쎄시봉(디지털),  5,000원","13:20,  오즈의 마법사: 돌아온 도로시(디지털더빙),  8,000원","15:20,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","17:50,  국제시장(디지털),  5,000원","20:25,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원",,,,,,87
2015-02-16,01관,"10:40,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:15,  쎄시봉(디지털),  5,000원","17:50,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","20:25,  국제시장(디지털),  5,000원",,,,,,87
2015-02-17,01관,"10:30,  국제시장(디지털),  5,000원","13:05,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","15:45,  오즈의 마법사: 돌아온 도로시(디지털더빙),  5,000원","17:50,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","20:20,  쎄시봉(디지털),  5,000원",,,,,,87
2015-02-18,01관,"10:20,  국제시장(디지털),  5,000원","12:55,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","15:25,  쎄시봉(디지털),  5,000원","18:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:00,  오즈의 마법사: 돌아온 도로시(3D 더빙),  8,000원",,,,,,87
2015-02-19,01관,"10:30,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:20,  오즈의 마법사: 돌아온 도로시(3D 더빙),  8,000원","17:30,  쎄시봉(디지털),  5,000원","20:05,  국제시장(디지털),  5,000원",,,,,,87
2015-02-20,01관,"10:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:45,  국제시장(디지털),  5,000원","15:30,  쎄시봉(디지털),  5,000원","18:05,  오즈의 마법사: 돌아온 도로시(디지털더빙),  5,000원","20:20,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원",,,,,,87
2015-02-21,01관,"10:00,  국제시장(디지털),  5,000원","12:25,  쎄시봉(디지털),  5,000원","14:55,  오즈의 마법사: 돌아온 도로시(3D 더빙),  8,000원","17:00,  국제시장(디지털),  5,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:30,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원",,,,,87
2015-02-22,01관,"10:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:20,  오즈의 마법사: 돌아온 도로시(3D 더빙),  8,000원","14:30,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","17:05,  국제시장(디지털),  5,000원","19:40,  쎄시봉(디지털),  5,000원",,,,,,87
2015-02-23,01관,"10:30,  쎄시봉(디지털),  5,000원","13:00,  국제시장(디지털),  5,000원","15:40,  오즈의 마법사: 돌아온 도로시(디지털더빙),  5,000원","17:45,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,,,87
2015-02-24,01관,"10:30,  국제시장(디지털),  5,000원","13:10,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","15:50,  님아, 그 강을 건너지 마오(디지털),  5,000원","17:55,  오즈의 마법사: 돌아온 도로시(3D 더빙),  8,000원","20:10,  이미테이션 게임(디지털),  5,000원",,,,,,87
2015-02-25,01관,"10:30,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","13:00,  쎄시봉(디지털),  5,000원","15:30,  국제시장(디지털),  5,000원","18:10,  이미테이션 게임(디지털),  5,000원","20:35,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,,,87
2015-02-26,01관,"10:30,  오즈의 마법사: 돌아온 도로시(3D 더빙),  8,000원","12:40,  국제시장(디지털),  5,000원","15:20,  이미테이션 게임(디지털),  5,000원","17:45,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","20:20,  쎄시봉(디지털),  5,000원",,,,,,87
2015-02-27,01관,"10:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:40,  국제시장(디지털),  5,000원","15:20,  조선명탐정 : 사라진 놉의 딸(디지털),  5,000원","18:00,  이미테이션 게임(디지털),  5,000원","20:30,  국제시장(디지털),  5,000원",,,,,,87
