상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"09:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","13:20,  기술자들(디지털),  8,000원","15:40,  기술자들(디지털),  8,000원","18:00,  기술자들(디지털),  8,000원","20:20,  기술자들(디지털),  8,000원","22:40,  기술자들(디지털),  8,000원",,,,150
2015-01-01,02관,"09:20,  국제시장(디지털),  5,000원","11:40,  국제시장(디지털),  8,000원","14:00,  국제시장(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","18:40,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원","23:20,  국제시장(디지털),  5,000원",,,140
2015-01-01,03관,"09:50,  기술자들(디지털),  5,000원","14:30,  기술자들(디지털),  8,000원","19:00,  기술자들(디지털),  8,000원","23:30,  기술자들(디지털),  5,000원",,,,,,110
2015-01-01,05관,"09:20,  더 테너 리리코 스핀토(디지털)","13:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","22:50,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,141
2015-01-01,06관,"09:40,  숲속으로(디지털),  5,000원","17:10,  테이큰 3(디지털),  8,000원","19:30,  국제시장(디지털),  5,000원",,,,,,,109
2015-01-01,07관,"09:00,  마다가스카의 펭귄(디지털),  5,000원","13:10,  마다가스카의 펭귄(디지털),  8,000원","17:30,  마다가스카의 펭귄(디지털),  8,000원","22:00,  국제시장(디지털),  8,000원",,,,,,164
2015-01-02,01관,"09:20,  기술자들(디지털),  5,000원","11:40,  기술자들(디지털),  8,000원","14:00,  기술자들(디지털),  8,000원","16:20,  기술자들(디지털),  8,000원","18:40,  기술자들(디지털),  8,000원","21:00,  기술자들(디지털),  8,000원","23:20,  기술자들(디지털),  5,000원",,,150
2015-01-02,02관,"09:20,  국제시장(디지털),  5,000원","11:40,  국제시장(디지털),  8,000원","14:00,  국제시장(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","18:40,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원","23:20,  국제시장(디지털),  5,000원",,,140
2015-01-02,03관,"09:30,  테이큰 3(디지털),  5,000원","11:50,  테이큰 3(디지털),  8,000원","14:10,  테이큰 3(디지털)","16:30,  테이큰 3(디지털)","18:50,  테이큰 3(디지털),  8,000원","21:10,  테이큰 3(디지털),  8,000원","23:30,  테이큰 3(디지털),  5,000원",,,110
2015-01-02,05관,"09:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","22:50,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,141
