상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"09:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:00,  일곱난쟁이(디지털),  5,000원","12:50,  국제시장(디지털),  5,000원","15:20,  일곱난쟁이(디지털),  5,000원","17:10,  기술자들(디지털),  5,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  국제시장(디지털),  5,000원",,62
2015-01-01,02관,"09:30,  국제시장(디지털),  5,000원","12:00,  기술자들(디지털),  5,000원","14:20,  개를 훔치는 완벽한 방법(디지털),  5,000원","16:40,  국제시장(디지털),  5,000원","19:05,  개를 훔치는 완벽한 방법(디지털),  5,000원","21:20,  상의원(디지털),  5,000원",,,31
2015-01-02,01관,"10:10,  국제시장(디지털),  5,000원","12:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","14:30,  국제시장(디지털),  5,000원","17:10,  기술자들(디지털),  5,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  국제시장(디지털),  5,000원",,,62
2015-01-02,02관,"10:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:00,  개를 훔치는 완벽한 방법(디지털),  5,000원","14:10,  상의원(디지털),  5,000원","16:40,  개를 훔치는 완벽한 방법(디지털),  5,000원","18:50,  국제시장(디지털),  5,000원","21:20,  기술자들(디지털),  5,000원",,,31
2015-01-03,01관,"09:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:00,  일곱난쟁이(디지털),  5,000원","12:50,  국제시장(디지털),  5,000원","15:20,  일곱난쟁이(디지털),  5,000원","17:10,  기술자들(디지털),  5,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  국제시장(디지털),  5,000원",,62
2015-01-03,02관,"09:30,  국제시장(디지털),  5,000원","12:00,  기술자들(디지털),  5,000원","14:20,  개를 훔치는 완벽한 방법(디지털),  5,000원","16:40,  국제시장(디지털),  5,000원","19:05,  개를 훔치는 완벽한 방법(디지털),  5,000원","21:20,  상의원(디지털),  5,000원",,,31
2015-01-04,01관,"09:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:00,  일곱난쟁이(디지털),  5,000원","12:50,  국제시장(디지털),  5,000원","15:20,  일곱난쟁이(디지털),  5,000원","17:10,  기술자들(디지털),  5,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  국제시장(디지털),  5,000원",,62
2015-01-04,02관,"09:30,  국제시장(디지털),  5,000원","12:00,  기술자들(디지털),  5,000원","14:20,  개를 훔치는 완벽한 방법(디지털),  5,000원","16:40,  국제시장(디지털),  5,000원","19:05,  개를 훔치는 완벽한 방법(디지털),  5,000원","21:20,  상의원(디지털),  5,000원",,,31
2015-01-05,01관,"10:10,  국제시장(디지털),  5,000원","12:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","14:30,  국제시장(디지털),  5,000원","17:10,  기술자들(디지털),  5,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  국제시장(디지털),  5,000원",,,62
2015-01-05,02관,"10:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:00,  개를 훔치는 완벽한 방법(디지털),  5,000원","14:10,  상의원(디지털),  5,000원","16:40,  개를 훔치는 완벽한 방법(디지털),  5,000원","18:50,  국제시장(디지털),  5,000원","21:20,  기술자들(디지털),  5,000원",,,31
