상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2019-06-26,01관,,"17:30,  토이 스토리 4(디지털더빙),  5,000원","19:40,  비스트(디지털),  5,000원","15:00,  롱 리브 더 킹: 목포 영웅(디지털),  5,000원",,,,,61
2019-06-26,02관,,"17:50,  존 윅 3: 파라벨룸(디지털),  5,000원","20:30,  애나벨 집으로(디지털),  5,000원","15:10,  롱 리브 더 킹: 목포 영웅(디지털),  5,000원",,,,,52
2019-06-27,01관,"09:45,  토이 스토리 4(디지털더빙),  6,000원",,"13:50,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","16:10,  비스트(디지털),  6,000원","19:00,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","21:30,  비스트(디지털),  6,000원",,,61
2019-06-27,02관,"09:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","12:00,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:20,  존 윅 3: 파라벨룸(디지털),  6,000원","16:55,  애나벨 집으로(디지털),  6,000원","19:10,  토이 스토리 4(디지털),  6,000원","21:20,  존 윅 3: 파라벨룸(디지털),  6,000원",,,52
2019-06-28,01관,"09:45,  비스트(디지털),  6,000원","12:15,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:35,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","16:55,  토이 스토리 4(디지털),  6,000원","19:05,  비스트(디지털),  6,000원","21:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,61
2019-06-28,02관,"09:50,  토이 스토리 4(디지털더빙),  6,000원","11:50,  존 윅 3: 파라벨룸(디지털),  6,000원","14:20,  비스트(디지털),  6,000원","16:50,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","19:15,  애나벨 집으로(디지털),  6,000원","21:25,  존 윅 3: 파라벨룸(디지털),  6,000원",,,52
2019-06-29,01관,"09:40,  비스트(디지털),  6,000원","12:20,  애나벨 집으로(디지털),  6,000원","14:30,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","16:55,  애나벨 집으로(디지털),  6,000원","19:05,  비스트(디지털),  6,000원","21:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,61
2019-06-29,02관,"10:00,  존 윅 3: 파라벨룸(디지털),  6,000원","12:40,  토이 스토리 4(디지털더빙),  6,000원","15:00,  토이 스토리 4(디지털),  6,000원","17:10,  토이 스토리 4(디지털더빙),  6,000원","19:20,  토이 스토리 4(디지털),  6,000원","21:25,  존 윅 3: 파라벨룸(디지털),  6,000원",,,52
2019-06-30,01관,"09:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","12:00,  애나벨 집으로(디지털),  6,000원","14:10,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","16:40,  애나벨 집으로(디지털),  6,000원","18:50,  비스트(디지털),  6,000원","21:25,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,61
2019-06-30,02관,"10:00,  비스트(디지털),  6,000원","12:40,  토이 스토리 4(디지털더빙),  6,000원","14:50,  토이 스토리 4(디지털),  6,000원","17:00,  토이 스토리 4(디지털더빙),  6,000원","19:10,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","21:30,  존 윅 3: 파라벨룸(디지털),  6,000원",,,52
2019-07-01,01관,"09:30,  롱 리브 더 킹: 목포 영웅(디지털)","11:50,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:10,  비스트(디지털),  6,000원","16:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","19:05,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","21:30,  비스트(디지털),  6,000원",,,61
2019-07-01,02관,"10:00,  토이 스토리 4(디지털더빙),  6,000원","12:10,  존 윅 3: 파라벨룸(디지털),  6,000원","14:50,  토이 스토리 4(디지털),  6,000원","17:00,  애나벨 집으로(디지털),  6,000원","19:15,  토이 스토리 4(디지털),  6,000원","21:20,  존 윅 3: 파라벨룸(디지털),  6,000원",,,52
2019-07-02,01관,"11:00,  비스트(디지털)","13:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","16:10,  비스트(디지털),  6,000원","19:00,  스파이더맨: 파 프롬 홈(디지털),  6,000원","21:40,  스파이더맨: 파 프롬 홈(디지털),  6,000원",,,,61
2019-07-02,02관,"09:50,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","12:10,  애나벨 집으로(디지털),  6,000원","14:25,  스파이더맨: 파 프롬 홈(디지털),  6,000원","17:05,  토이 스토리 4(디지털),  6,000원","19:15,  존 윅 3: 파라벨룸(디지털),  6,000원","21:55,  애나벨 집으로(디지털),  6,000원",,,52
