상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2016-02-15,01관,"23:00,  킹콩(필름)",,,,,,,,,89
2016-02-19,01관,"22:00,  킹콩(필름)",,,,,,,,,89
2016-02-22,01관,"22:00,  킹콩(필름)",,,,,,,,,89
2016-02-23,01관,"10:00,  순정(디지털),  5,000원","13:00,  순정(디지털),  5,000원","16:00,  순정(디지털),  5,000원","19:00,  순정(디지털),  5,000원","21:10,  순정(디지털),  5,000원",,,,,89
2016-02-24,01관,"10:00,  순정(디지털),  5,000원","13:00,  순정(디지털),  5,000원","16:00,  순정(디지털),  5,000원","19:00,  순정(디지털),  5,000원","21:10,  순정(디지털),  5,000원",,,,,89
2016-02-25,01관,"10:00,  순정(디지털),  5,000원","13:00,  순정(디지털),  5,000원","16:00,  순정(디지털),  5,000원","19:00,  순정(디지털),  5,000원","21:10,  순정(디지털),  5,000원",,,,,89
2016-02-26,01관,"10:00,  순정(디지털),  5,000원","13:00,  순정(디지털),  5,000원","16:00,  순정(디지털),  5,000원","19:00,  순정(디지털),  5,000원","21:10,  순정(디지털),  5,000원",,,,,89
2016-02-27,01관,"10:00,  순정(디지털),  5,000원","13:00,  순정(디지털),  5,000원","16:00,  순정(디지털),  5,000원","19:00,  순정(디지털),  5,000원","21:10,  순정(디지털),  5,000원",,,,,89
2016-02-28,01관,"10:00,  순정(디지털),  5,000원","13:00,  순정(디지털),  5,000원","16:00,  순정(디지털),  5,000원","19:00,  순정(디지털),  5,000원","21:10,  순정(디지털),  5,000원",,,,,89
2016-02-29,01관,"10:00,  순정(디지털),  5,000원","13:00,  순정(디지털),  5,000원","16:00,  순정(디지털),  5,000원","19:00,  순정(디지털),  5,000원","21:10,  순정(디지털),  5,000원",,,,,89
2016-03-01,01관,"10:00,  순정(디지털),  5,000원","13:00,  순정(디지털),  5,000원","16:00,  순정(디지털),  5,000원","19:00,  순정(디지털),  5,000원","21:10,  순정(디지털),  5,000원",,,,,89
