상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2017-12-22,01관,"15:00,  신과함께-죄와 벌(디지털),  5,000원",,,,"19:00,  신과함께-죄와 벌(디지털),  5,000원",,,,,,62
2017-12-22,02관,"15:00,  신과함께-죄와 벌(디지털),  5,000원",,,,"19:20,  강철비(디지털),  5,000원",,,,,,33
2017-12-23,01관,"10:10,  강철비(디지털),  5,000원","13:00,  위대한 쇼맨(디지털)","15:10,  강철비(디지털),  5,000원","18:30,  신과함께-죄와 벌(디지털),  5,000원","21:10,  강철비(디지털),  5,000원",,,,,,62
2017-12-23,02관,"09:40,  극장판 포켓몬스터 너로 정했다!(디지털더빙)","11:40,  스타워즈: 라스트 제다이(디지털),  5,000원","14:30,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  5,000원","16:30,  스타워즈: 라스트 제다이(디지털),  5,000원","19:20,  위대한 쇼맨(디지털),  5,000원","21:30,  신과함께-죄와 벌(디지털),  5,000원",,,,,33
2017-12-24,01관,"10:00,  신과함께-죄와 벌(디지털),  5,000원","13:00,  위대한 쇼맨(디지털),  5,000원","15:10,  신과함께-죄와 벌(디지털),  5,000원","18:30,  강철비(디지털),  5,000원","21:10,  신과함께-죄와 벌(디지털),  5,000원",,,,,,62
2017-12-24,02관,"09:40,  극장판 포켓몬스터 너로 정했다!(디지털더빙)","11:40,  스타워즈: 라스트 제다이(디지털),  5,000원","14:30,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  5,000원","16:30,  스타워즈: 라스트 제다이(디지털),  5,000원","19:20,  위대한 쇼맨(디지털)","21:30,  강철비(디지털),  5,000원",,,,,33
2017-12-25,01관,"10:10,  강철비(디지털),  5,000원","13:00,  위대한 쇼맨(디지털),  5,000원","15:10,  강철비(디지털),  5,000원","18:30,  신과함께-죄와 벌(디지털),  5,000원","21:10,  강철비(디지털),  5,000원",,,,,,62
2017-12-25,02관,"09:40,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  5,000원","11:40,  스타워즈: 라스트 제다이(디지털),  5,000원","14:30,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  5,000원","16:30,  스타워즈: 라스트 제다이(디지털),  5,000원","19:20,  위대한 쇼맨(디지털),  5,000원","21:30,  신과함께-죄와 벌(디지털),  5,000원",,,,,33
2017-12-26,01관,"10:00,  신과함께-죄와 벌(디지털),  5,000원","13:00,  위대한 쇼맨(디지털),  5,000원","15:10,  신과함께-죄와 벌(디지털),  5,000원","18:30,  강철비(디지털),  5,000원","21:10,  신과함께-죄와 벌(디지털),  5,000원",,,,,,62
2017-12-26,02관,"09:40,  극장판 포켓몬스터 너로 정했다!(디지털더빙)","11:40,  스타워즈: 라스트 제다이(디지털)","14:30,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  5,000원","16:30,  스타워즈: 라스트 제다이(디지털)","19:20,  위대한 쇼맨(디지털),  5,000원","21:30,  강철비(디지털),  5,000원",,,,,33
2017-12-27,01관,"10:00,  신과함께-죄와 벌(디지털),  5,000원","13:00,  강철비(디지털)","15:40,  신과함께-죄와 벌(디지털),  5,000원","18:40,  1987(디지털),  5,000원","21:10,  1987(디지털),  5,000원",,,,,,62
2017-12-27,02관,"09:50,  1987(디지털),  5,000원","12:20,  스타워즈: 라스트 제다이(디지털),  5,000원","15:10,  위대한 쇼맨(디지털),  5,000원","17:10,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  5,000원","19:10,  신과함께-죄와 벌(디지털),  5,000원","21:50,  위대한 쇼맨(디지털),  5,000원",,,,,33
2017-12-28,01관,"09:50,  1987(디지털),  5,000원","12:20,  스타워즈: 라스트 제다이(디지털)","15:10,  위대한 쇼맨(디지털),  5,000원","17:10,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  5,000원","19:10,  1987(디지털),  5,000원","21:40,  위대한 쇼맨(디지털),  5,000원",,,,,62
2017-12-28,02관,"10:00,  신과함께-죄와 벌(디지털),  5,000원","13:00,  강철비(디지털),  5,000원","15:40,  신과함께-죄와 벌(디지털),  5,000원","18:40,  신과함께-죄와 벌(디지털),  5,000원",,"21:20,  1987(디지털),  5,000원",,,,,33
2017-12-29,01관,"10:10,  1987(디지털),  5,000원","12:40,  강철비(디지털),  5,000원","15:20,  1987(디지털),  5,000원","18:50,  1987(디지털),  5,000원","21:20,  1987(디지털),  5,000원",,,,,,62
2017-12-29,02관,"09:50,  위대한 쇼맨(디지털)","11:50,  스타워즈: 라스트 제다이(디지털),  5,000원","14:40,  위대한 쇼맨(디지털),  5,000원","16:40,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  5,000원","18:40,  신과함께-죄와 벌(디지털),  5,000원","21:20,  신과함께-죄와 벌(디지털),  5,000원",,,,,33
2017-12-30,01관,"10:10,  1987(디지털),  5,000원","12:40,  강철비(디지털),  5,000원","15:20,  1987(디지털),  5,000원","18:50,  1987(디지털),  5,000원","21:20,  1987(디지털),  5,000원",,,,,,62
