상영일자,상영관,1회,2회,좌석수
2017-07-05,01관,"01:20,  달콤한 섹스(디지털)","22:30,  달콤한 섹스(디지털)",90
2017-07-06,01관,"01:20,  달콤한 섹스(디지털),  20,000원","22:50,  스파이더맨: 홈 커밍(디지털),  20,000원",90
2017-07-07,01관,"01:30,  음란 기생 - 무삭제판(디지털)",,90
2017-07-08,01관,"00:40,  스파이더맨: 홈 커밍(디지털)","23:10,  스파이더맨: 홈 커밍(디지털),  20,000원",90
2017-07-09,01관,"01:30,  음란 기생 - 무삭제판(디지털)",,90
2017-07-10,01관,"01:30,  음란 기생 - 무삭제판(디지털)",,90
2017-07-11,01관,"01:30,  음란 기생 - 무삭제판(디지털),  20,000원",,90
2017-07-12,01관,"20:20,  스파이더맨: 홈 커밍(디지털),  20,000원","22:50,  스파이더맨: 홈 커밍(디지털)",90
2017-07-13,01관,"01:30,  육체인터뷰(디지털)","22:50,  스파이더맨: 홈 커밍(디지털)",90
2017-07-14,01관,"01:30,  육체인터뷰(디지털),  20,000원",,90
2017-07-15,01관,"01:50,  비스티걸스(디지털),  20,000원","24:50,  스파이더맨: 홈 커밍(디지털),  20,000원",90
2017-07-16,01관,"01:50,  비스티걸스(디지털),  20,000원",,90
2017-07-17,01관,"01:50,  비스티걸스(디지털),  20,000원",,90
2017-07-18,01관,"01:50,  비스티걸스(디지털),  20,000원",,90
2017-07-19,01관,"01:50,  비스티걸스(디지털),  20,000원",,90
2017-07-20,01관,"01:30,  착한 엄마 친구(디지털),  20,000원","24:50,  옥자(디지털)",90
2017-07-21,01관,"20:20,  옥자(디지털),  20,000원","24:50,  옥자(디지털)",90
2017-07-22,01관,"20:20,  옥자(디지털),  20,000원","24:50,  옥자(디지털)",90
2017-07-23,01관,"20:20,  옥자(디지털),  20,000원","24:50,  옥자(디지털)",90
2017-07-24,01관,"20:20,  옥자(디지털),  20,000원",,90
2017-07-25,01관,"20:20,  옥자(디지털),  20,000원",,90
2017-07-26,01관,"20:10,  군함도(디지털),  20,000원","22:35,  군함도(디지털)",90
2017-07-27,01관,"01:30,  시암(디지털),  20,000원","22:35,  군함도(디지털),  20,000원",90
2017-07-28,01관,"02:30,  시암(디지털)","15:30,  시암(디지털),  20,000원",90
2017-07-29,01관,"02:30,  시암(디지털)","22:35,  군함도(디지털),  20,000원",90
2017-07-30,01관,"02:30,  시암(디지털)","22:35,  군함도(디지털),  20,000원",90
2017-07-31,01관,"01:30,  100미터(디지털),  20,000원","22:35,  군함도(디지털),  17,000원",90
2017-08-01,01관,"02:30,  다이노소어 아일랜드(디지털),  20,000원","24:55,  택시운전사(디지털)",90
2017-08-02,01관,"20:00,  택시운전사(디지털),  20,000원","24:55,  택시운전사(디지털),  17,000원",90
2017-08-03,01관,"01:30,  툼디: 부러진 검의 전설(디지털),  20,000원","24:55,  택시운전사(디지털),  17,000원",90
2017-08-04,01관,"20:00,  택시운전사(디지털),  20,000원","24:55,  택시운전사(디지털),  20,000원",90
2017-08-05,01관,"20:00,  택시운전사(디지털),  20,000원","24:55,  택시운전사(디지털),  20,000원",90
2017-08-06,01관,"20:00,  택시운전사(디지털),  20,000원","24:55,  택시운전사(디지털),  20,000원",90
2017-08-07,01관,"20:00,  택시운전사(디지털),  20,000원","22:40,  택시운전사(디지털),  17,000원",90
2017-08-08,01관,"20:00,  택시운전사(디지털)","22:40,  택시운전사(디지털),  20,000원",90
2017-08-09,01관,"20:00,  택시운전사(디지털),  20,000원","22:40,  택시운전사(디지털)",90
2017-08-10,01관,"20:00,  택시운전사(디지털)","22:40,  택시운전사(디지털),  20,000원",90
2017-08-11,01관,"04:00,  색에 놀다(디지털),  20,000원",,90
2017-08-12,01관,"19:50,  택시운전사(디지털),  20,000원",,90
2017-08-13,01관,"19:50,  택시운전사(디지털),  20,000원",,90
2017-08-14,01관,"02:30,  두 엄마(디지털),  20,000원",,90
2017-08-15,01관,"19:50,  택시운전사(디지털)","26:00,  택시운전사(디지털),  20,000원",90
2017-08-16,01관,"21:00,  청년경찰(디지털),  20,000원",,90
2017-08-17,01관,"02:30,  3분 파트너(디지털),  20,000원","24:20,  청년경찰(디지털)",90
2017-08-18,01관,"19:50,  청년경찰(디지털)","24:20,  청년경찰(디지털),  20,000원",90
2017-08-19,01관,"19:50,  청년경찰(디지털),  20,000원","24:20,  청년경찰(디지털)",90
2017-08-20,01관,"19:50,  청년경찰(디지털)","24:20,  청년경찰(디지털)",90
2017-08-21,01관,"02:30,  붉은 비키니 무삭제판(디지털),  20,000원",,90
2017-08-22,01관,"19:50,  청년경찰(디지털),  20,000원",,90
2017-08-24,01관,"02:30,  정사 : 친구의 엄마(디지털),  20,000원","22:20,  브이아이피(디지털),  20,000원",90
2017-08-25,01관,"19:50,  브이아이피(디지털)","22:20,  브이아이피(디지털)",90
2017-08-26,01관,"19:50,  브이아이피(디지털)","22:20,  브이아이피(디지털),  20,000원",90
2017-08-27,01관,"19:50,  브이아이피(디지털)","22:20,  브이아이피(디지털)",90
2017-08-29,01관,"19:50,  브이아이피(디지털),  20,000원","22:20,  브이아이피(디지털),  20,000원",90
2017-08-30,01관,"19:40,  로마의 휴일(디지털),  20,000원",,90
2017-08-31,01관,"02:30,  원정여행(디지털),  20,000원","23:50,  로마의 휴일(디지털)",90
2017-09-01,01관,"06:30,  낮잠 공주 : 모르는 나의 이야기(디지털),  20,000원",,90
2017-09-02,01관,"19:40,  로마의 휴일(디지털),  20,000원",,90
2017-09-03,01관,"19:40,  택시운전사(디지털),  20,000원",,90
2017-09-04,01관,"19:40,  택시운전사(디지털)",,90
2017-09-05,01관,"02:50,  연상녀들 : 내가 가르쳐 줄게(디지털),  20,000원",,90
2017-09-06,01관,"19:30,  살인자의 기억법(디지털)","21:50,  살인자의 기억법(디지털),  20,000원",90
2017-09-07,01관,"19:30,  살인자의 기억법(디지털)","21:50,  살인자의 기억법(디지털),  20,000원",90
2017-09-08,01관,"19:30,  살인자의 기억법(디지털)","21:50,  살인자의 기억법(디지털),  20,000원",90
2017-09-09,01관,"19:30,  살인자의 기억법(디지털)","21:50,  살인자의 기억법(디지털),  20,000원",90
2017-09-10,01관,"19:30,  살인자의 기억법(디지털),  20,000원","21:50,  살인자의 기억법(디지털)",90
2017-09-11,01관,"19:30,  살인자의 기억법(디지털)","21:50,  살인자의 기억법(디지털),  20,000원",90
2017-09-12,01관,"19:30,  살인자의 기억법(디지털)","21:50,  살인자의 기억법(디지털),  20,000원",90
2017-09-13,01관,"02:30,  올래?! 천사들의 도시편(디지털),  20,000원","21:50,  살인자의 기억법(디지털),  20,000원",90
2017-09-14,01관,"02:30,  처음엔 다 그래(디지털),  20,000원","21:50,  살인자의 기억법(디지털),  20,000원",90
2017-09-15,01관,"19:30,  살인자의 기억법(디지털)","21:50,  살인자의 기억법(디지털),  20,000원",90
