상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2015-01-01,01관,"11:00,  달사람(디지털),  6,000원","13:00,  무드 인디고(디지털),  8,000원","15:00,  내일을 위한 시간(디지털),  8,000원","17:00,  맵 투 더 스타(디지털),  8,000원","19:20,  목숨(디지털),  8,000원",,824
2015-01-02,01관,"11:00,  맵 투 더 스타(디지털),  6,000원","13:20,  마미(디지털),  8,000원","17:00,  쿼바디스(디지털),  8,000원",,"19:20,  내일을 위한 시간(디지털),  8,000원",,824
2015-01-03,01관,"11:00,  목숨(디지털),  6,000원","13:00,  클라우즈 오브 실스마리아(디지털),  8,000원","15:20,  내일을 위한 시간(디지털),  8,000원","17:20,  맵 투 더 스타(디지털),  8,000원","19:30,  쿼바디스(디지털),  8,000원",,824
2015-01-04,01관,"11:00,  달사람(디지털),  6,000원","13:00,  쿼바디스(디지털),  8,000원","15:10,  내일을 위한 시간(디지털),  8,000원","17:10,  키리시마가 동아리활동 그만둔대(디지털),  8,000원","19:20,  맵 투 더 스타(디지털),  8,000원",,824
2015-01-05,01관,"11:00,  내일을 위한 시간(디지털),  6,000원","13:00,  클라우즈 오브 실스마리아(디지털),  8,000원","15:20,  쿼바디스(디지털),  8,000원","17:30,  맵 투 더 스타(디지털),  8,000원","19:40,  무드 인디고(디지털),  8,000원",,824
2015-01-06,01관,"10:00,  족구왕(디지털),  5,000원",,"15:00,  내일을 위한 시간(디지털),  8,000원","17:00,  맵 투 더 스타(디지털),  8,000원","19:20,  클라우즈 오브 실스마리아(디지털),  8,000원",,824
2015-01-07,01관,"11:00,  내일을 위한 시간(디지털),  6,000원","13:00,  쿼바디스(디지털),  8,000원","15:10,  맵 투 더 스타(디지털),  8,000원","17:20,  무드 인디고(디지털),  8,000원","19:20,  내일을 위한 시간(디지털),  8,000원",,824
2015-01-08,01관,"10:50,  나의 사적인 여자친구(디지털),  6,000원","13:00,  쿼바디스(디지털),  8,000원","15:10,  내일을 위한 시간(디지털),  8,000원","17:10,  아메리칸 셰프(디지털),  8,000원","19:30,  맵 투 더 스타(디지털),  8,000원",,824
2015-01-09,01관,"10:50,  맵 투 더 스타(디지털),  5,000원","13:00,  나의 사적인 여자친구(디지털),  8,000원","15:10,  내일을 위한 시간(디지털),  8,000원","17:10,  파티51(디지털),  8,000원","19:20,  아메리칸 셰프(디지털),  8,000원",,824
2015-01-10,01관,"10:50,  내일을 위한 시간(디지털),  6,000원","12:50,  맵 투 더 스타(디지털),  8,000원","15:00,  나의 사적인 여자친구(디지털),  8,000원","17:10,  아메리칸 셰프(디지털),  8,000원","19:30,  파티51(디지털),  8,000원",,824
2015-01-11,01관,"10:50,  맵 투 더 스타(디지털),  6,000원","13:00,  내일을 위한 시간(디지털),  8,000원","15:00,  아메리칸 셰프(디지털),  8,000원","17:20,  나의 사적인 여자친구(디지털),  8,000원","19:30,  쿼바디스(디지털),  8,000원",,824
2015-01-12,01관,"10:50,  쿼바디스(디지털),  6,000원","13:00,  아메리칸 셰프(디지털),  8,000원","15:20,  내일을 위한 시간(디지털),  8,000원","17:20,  맵 투 더 스타(디지털),  8,000원","19:30,  나의 사적인 여자친구(디지털),  8,000원",,824
2015-01-13,01관,"10:50,  아메리칸 셰프(디지털),  6,000원","13:10,  쿼바디스(디지털),  8,000원","15:20,  맵 투 더 스타(디지털),  8,000원","17:30,  나의 사적인 여자친구(디지털),  8,000원","19:40,  내일을 위한 시간(디지털),  8,000원",,824
2015-01-14,01관,"10:50,  내일을 위한 시간(디지털),  6,000원","12:50,  나의 사적인 여자친구(디지털),  8,000원","15:00,  맵 투 더 스타(디지털),  8,000원","17:10,  파티51(디지털),  8,000원","19:20,  아메리칸 셰프(디지털),  8,000원",,824
2015-01-15,01관,"10:50,  아메리칸 셰프(디지털),  6,000원","13:10,  나의 사적인 여자친구(디지털),  8,000원","15:20,  내일을 위한 시간(디지털),  8,000원","17:20,  아이 킬드 마이 마더(디지털),  8,000원","19:20,  이별까지 7일(디지털),  8,000원",,824
2015-01-16,01관,"10:50,  이별까지 7일(디지털),  6,000원","13:10,  아메리칸 셰프(디지털),  8,000원","15:30,  아이 킬드 마이 마더(디지털),  8,000원","17:30,  나의 사적인 여자친구(디지털),  8,000원","19:40,  내일을 위한 시간(디지털),  8,000원",,824
2015-01-17,01관,"10:50,  나의 사적인 여자친구(디지털),  6,000원","13:00,  아메리칸 셰프(디지털),  8,000원","15:20,  내일을 위한 시간(디지털),  8,000원","17:20,  아이 킬드 마이 마더(디지털),  8,000원","19:20,  마미(디지털),  8,000원",,824
2015-01-18,01관,"10:50,  아메리칸 셰프(디지털),  6,000원","13:10,  내일을 위한 시간(디지털),  8,000원","15:10,  이별까지 7일(디지털),  8,000원","17:30,  아이 킬드 마이 마더(디지털),  8,000원","19:30,  나의 사적인 여자친구(디지털),  8,000원",,824
2015-01-19,01관,"10:50,  나의 사적인 여자친구(디지털),  6,000원","13:00,  아이 킬드 마이 마더(디지털),  8,000원","15:00,  내일을 위한 시간(디지털),  8,000원","17:00,  이별까지 7일(디지털),  8,000원","19:20,  아메리칸 셰프(디지털),  8,000원",,824
2015-01-20,01관,"10:50,  아메리칸 셰프(디지털),  6,000원","13:10,  내일을 위한 시간(디지털),  8,000원","15:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","19:20,  이별까지 7일(디지털),  8,000원",,,824
2015-01-21,01관,"10:50,  이별까지 7일(디지털),  6,000원","13:10,  아메리칸 셰프(디지털),  8,000원","15:30,  나의 사적인 여자친구(디지털),  8,000원","17:40,  내일을 위한 시간(디지털),  8,000원","19:40,  아이 킬드 마이 마더(디지털),  8,000원",,824
2015-01-22,01관,"11:00,  아메리칸 셰프(디지털),  6,000원","14:00,  미스터 터너(디지털),  8,000원","17:00,  이별까지 7일(디지털),  8,000원","19:20,  내일을 위한 시간(디지털),  8,000원",,,824
2015-01-23,01관,"11:00,  내일을 위한 시간(디지털),  6,000원","14:00,  이별까지 7일(디지털),  8,000원","16:30,  아메리칸 셰프(디지털),  8,000원","19:00,  미스터 터너(디지털),  8,000원",,,824
2015-01-24,01관,"11:00,  아메리칸 셰프(디지털),  6,000원","14:00,  내일을 위한 시간(디지털),  8,000원","16:00,  미스터 터너(디지털),  8,000원","19:00,  아이 킬드 마이 마더(디지털),  8,000원",,,824
2015-01-25,01관,"11:00,  미스터 터너(디지털),  6,000원","14:00,  안녕, 용문객잔(디지털),  4,000원","17:00,  아메리칸 셰프(디지털),  8,000원","19:20,  내일을 위한 시간(디지털),  8,000원",,,824
2015-01-26,01관,"11:00,  미스터 터너(디지털),  6,000원","14:00,  내일을 위한 시간(디지털),  8,000원","17:00,  아메리칸 셰프(디지털),  8,000원","19:20,  이별까지 7일(디지털),  8,000원",,,824
2015-01-27,01관,"11:00,  내일을 위한 시간(디지털),  6,000원","14:00,  미스터 터너(디지털),  8,000원","17:00,  이별까지 7일(디지털),  8,000원","19:20,  아메리칸 셰프(디지털),  8,000원",,,824
2015-01-28,01관,"11:00,  이별까지 7일(디지털),  6,000원","14:00,  아메리칸 셰프(디지털),  8,000원","17:00,  내일을 위한 시간(디지털),  8,000원","19:00,  미스터 터너(디지털),  8,000원",,,824
2015-01-29,01관,"11:00,  아메리칸 셰프(디지털),  6,000원","13:50,  개를 훔치는 완벽한 방법(디지털),  8,000원","16:50,  트라이브(디지털),  8,000원","19:20,  아이 킬드 마이 마더(디지털),  8,000원",,,824
2015-01-30,01관,"11:00,  개를 훔치는 완벽한 방법(디지털),  6,000원","13:50,  미스터 터너(디지털),  8,000원","16:50,  트라이브(디지털),  8,000원","19:20,  아메리칸 셰프(디지털),  8,000원",,,824
2015-01-31,01관,"11:00,  아메리칸 셰프(디지털),  6,000원","13:50,  개를 훔치는 완벽한 방법(디지털),  8,000원","16:00,  미스터 터너(디지털),  8,000원","19:00,  트라이브(디지털),  8,000원",,,824
2015-02-01,01관,"11:00,  미스터 터너(디지털),  6,000원","14:00,  개를 훔치는 완벽한 방법(디지털),  8,000원","16:10,  아메리칸 셰프(디지털),  8,000원","18:30,  내일을 위한 시간(디지털),  8,000원",,,824
2015-02-02,01관,"11:00,  트라이브(디지털),  6,000원","13:50,  미스터 터너(디지털),  8,000원","16:50,  내일을 위한 시간(디지털),  8,000원","19:20,  개를 훔치는 완벽한 방법(디지털),  8,000원",,,824
2015-02-03,01관,"11:00,  개를 훔치는 완벽한 방법(디지털),  6,000원","13:50,  트라이브(디지털),  8,000원","16:20,  미스터 터너(디지털),  8,000원","19:20,  아메리칸 셰프(디지털),  8,000원",,,824
2015-02-04,01관,"11:00,  아메리칸 셰프(디지털),  6,000원","13:50,  미스터 터너(디지털),  8,000원","16:50,  개를 훔치는 완벽한 방법(디지털),  8,000원","19:10,  트라이브(디지털),  8,000원",,,824
2015-02-05,01관,"11:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","13:10,  한공주(디지털),  8,000원","15:30,  자유의 언덕(디지털),  8,000원","17:10,  생각보다 맑은(디지털),  8,000원","19:20,  망원동 인공위성(디지털),  8,000원",,824
2015-02-06,01관,"11:00,  망원동 인공위성(디지털),  6,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  한공주(디지털),  8,000원","17:30,  다이빙벨(디지털),  8,000원","19:20,  생각보다 맑은(디지털),  8,000원",,824
2015-02-07,01관,"11:00,  한공주(디지털),  6,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  파티51(디지털),  8,000원","17:10,  망원동 인공위성(디지털),  8,000원","19:20,  자유의 언덕(디지털),  8,000원",,824
2015-02-08,01관,"11:00,  경주(디지털),  6,000원","13:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:40,  망원동 인공위성(디지털),  8,000원","17:50,  생각보다 맑은(디지털),  8,000원","19:30,  쿼바디스(디지털),  8,000원",,824
2015-02-09,01관,"11:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","13:10,  생각보다 맑은(디지털),  8,000원","15:00,  다이빙벨(디지털),  8,000원","17:10,  망원동 인공위성(디지털),  8,000원","19:20,  쿼바디스(디지털),  8,000원",,824
2015-02-10,01관,"11:00,  경주(디지털),  6,000원","13:50,  쿼바디스(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:50,  생각보다 맑은(디지털),  8,000원","19:30,  망원동 인공위성(디지털),  8,000원",,824
2015-02-11,01관,"11:00,  망원동 인공위성(디지털),  6,000원","13:10,  자유의 언덕(디지털),  8,000원","15:00,  생각보다 맑은(디지털),  8,000원","17:10,  다이빙벨(디지털),  5,000원","19:20,  님아, 그 강을 건너지 마오(디지털),  8,000원",,824
2015-02-12,01관,"11:00,  마담 드...(디지털),  6,000원","13:10,  꿈보다 해몽(디지털),  5,000원","15:10,  생각보다 맑은(디지털),  8,000원","17:20,  소매치기(디지털),  7,000원","19:30,  품행제로(디지털),  7,000원",,824
2015-02-13,01관,"11:00,  황금 투구(디지털),  6,000원","13:10,  생각보다 맑은(디지털),  5,000원","15:10,  꿈보다 해몽(디지털),  8,000원","17:10,  거대한 환상(디지털),  5,000원","19:30,  얼굴없는 눈(디지털),  7,000원",,824
2015-02-14,01관,"11:00,  얼굴없는 눈(디지털),  6,000원","13:00,  소매치기(디지털),  7,000원","14:40,  축제일(디지털),  7,000원","16:30,  야간비행(디지털),  8,000원","19:00,  거대한 환상(디지털),  7,000원",,824
2015-02-15,01관,"11:00,  꿈보다 해몽(디지털),  6,000원","13:10,  품행제로(디지털),  7,000원","14:20,  마담 드...(디지털),  7,000원","16:20,  황금 투구(디지털),  7,000원","18:30,  축제일(디지털),  7,000원",,824
2015-02-16,01관,"11:00,  생각보다 맑은(디지털),  6,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:10,  망원동 인공위성(디지털),  8,000원","17:20,  미라클 여행기(디지털)","19:20,  꿈보다 해몽(디지털),  8,000원",,824
2015-02-17,01관,"11:00,  꿈보다 해몽(디지털),  6,000원","13:00,  망원동 인공위성(디지털),  8,000원","15:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  야간비행(디지털),  8,000원","19:30,  미라클 여행기(디지털),  8,000원",,824
2015-02-18,01관,"11:00,  미라클 여행기(디지털),  6,000원","13:10,  생각보다 맑은(디지털),  8,000원","15:00,  꿈보다 해몽(디지털),  8,000원","17:00,  파티51(디지털),  8,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  8,000원",,824
2015-02-19,01관,"11:00,  망원동 인공위성(디지털),  5,000원","13:10,  미라클 여행기(디지털),  5,000원",,,,,824
2015-02-20,01관,"15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  꿈보다 해몽(디지털),  8,000원","19:00,  미라클 여행기(디지털),  8,000원",,,,824
2015-02-21,01관,"11:00,  미라클 여행기(디지털),  6,000원","13:10,  생각보다 맑은(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  꿈보다 해몽(디지털),  8,000원","19:00,  파티51(디지털),  8,000원",,824
2015-02-22,01관,"11:00,  생각보다 맑은(디지털),  6,000원","13:10,  미라클 여행기(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  꿈보다 해몽(디지털),  8,000원","19:00,  망원동 인공위성(디지털),  8,000원",,824
2015-02-23,01관,"11:00,  꿈보다 해몽(디지털)","13:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  미라클 여행기(디지털),  8,000원","17:00,  생각보다 맑은(디지털),  8,000원","19:20,  꿈보다 해몽(디지털),  8,000원",,824
2015-02-24,01관,"11:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","13:10,  파티51(디지털),  8,000원","15:20,  생각보다 맑은(디지털),  8,000원","17:00,  미라클 여행기(디지털),  8,000원","19:20,  꿈보다 해몽(디지털),  8,000원",,824
2015-02-25,01관,"11:00,  미라클 여행기(디지털),  6,000원","13:10,  생각보다 맑은(디지털),  8,000원","15:00,  꿈보다 해몽(디지털),  8,000원","17:00,  망원동 인공위성(디지털),  8,000원","19:20,  님아, 그 강을 건너지 마오(디지털),  8,000원",,824
2015-02-26,01관,"11:00,  파리 폴리(디지털),  6,000원","13:00,  리틀 포레스트: 여름과 가을(디지털)","15:10,  제네시스: 세상의 소금(디지털),  8,000원","17:20,  갓 헬프 더 걸(디지털),  8,000원","19:30,  이다(디지털),  8,000원",,824
2015-02-27,01관,"11:00,  이다(디지털),  6,000원","13:00,  파리 폴리(디지털),  8,000원","15:00,  리틀 포레스트: 여름과 가을(디지털),  8,000원","17:10,  제네시스: 세상의 소금(디지털),  8,000원","19:20,  미라클 여행기(디지털),  8,000원",,824
2015-02-28,01관,"11:00,  갓 헬프 더 걸(디지털),  6,000원","13:10,  이다(디지털),  8,000원","15:00,  파리 폴리(디지털),  8,000원","17:00,  리틀 포레스트: 여름과 가을(디지털),  8,000원","19:20,  제네시스: 세상의 소금(디지털),  8,000원",,824
2015-03-01,01관,"11:00,  제네시스: 세상의 소금(디지털),  6,000원","13:10,  리틀 포레스트: 여름과 가을(디지털),  8,000원","15:20,  이다(디지털),  8,000원","17:10,  갓 헬프 더 걸(디지털),  8,000원","19:20,  파리 폴리(디지털),  8,000원",,824
2015-03-02,01관,"11:00,  리틀 포레스트: 여름과 가을(디지털),  6,000원","13:10,  제네시스: 세상의 소금(디지털),  8,000원","15:20,  갓 헬프 더 걸(디지털),  8,000원","17:30,  이다(디지털),  8,000원","19:20,  파리 폴리(디지털),  8,000원",,824
