상영일자,상영관,1회,2회,3회,4회,5회,좌석수
2018-04-09,01관,"22:00,  킹콩(필름)",,,,,105
2018-04-11,01관,"19:00,  416 프로젝트 ""공동의 기억: 트라우마""(디지털),  6,000원",,,,,105
2018-04-12,01관,"16:30,  이월(디지털),  5,000원","19:00,  파란입이 달린 얼굴(디지털),  6,000원",,,,105
2018-04-13,01관,"14:00,  아파트 생태계(디지털),  6,000원","16:30,  올드마린보이(디지털)","19:00,  열세살 수아(필름),  6,000원",,,105
2018-04-14,01관,"14:00,  혜화, 동(디지털),  6,000원",,,,,105
2018-04-15,01관,"14:00,  감각의 시간, 기억의 공간 –인디피크닉2018(디지털),  6,000원","16:30,  열세살 수아(필름),  6,000원",,,,105
2018-04-16,01관,"14:00,  416 프로젝트 ""공동의 기억: 트라우마""(디지털),  6,000원",,,,,105
2018-04-17,01관,"14:00,  여배우는 오늘도(디지털),  5,000원",,"19:00,  호수길(필름),  6,000원",,,105
2018-04-18,01관,"14:00,  여성으로 살아가기 –인디피크닉2018(디지털),  6,000원",,,,,105
2018-04-19,01관,"14:00,  어떤 개인 날(필름),  6,000원","16:00,  살아남은 아이(디지털),  5,000원",,,,105
2018-04-20,01관,"14:00,  사랑이 꽃피는 지구별 –인디피크닉2018(디지털),  5,000원","16:30,  무산일기(디지털),  6,000원",,,,105
2018-04-21,01관,"16:30,  그들 각자의 거리에서 –인디피크닉2018(디지털),  5,000원",,,,,105
2018-04-22,01관,"14:00,  너와 극장에서(디지털),  5,000원",,,,,105
2018-04-23,01관,"10:30,  올드마린보이(디지털),  6,000원","14:00,  소성리(디지털),  6,000원",,,,105
2018-04-24,01관,"14:00,  파란입이 달린 얼굴(디지털),  6,000원",,,,,105
2018-04-25,01관,"14:00,  아파트 생태계(디지털)",,"19:00,  살아남은 아이(디지털),  6,000원",,,105
2018-04-26,01관,"14:00,  수성못(디지털)",,,,,105
2018-04-27,01관,"14:00,  그들 각자의 거리에서 –인디피크닉2018(디지털)",,"19:00,  황제(디지털),  6,000원",,,105
