상영일자,상영관,1회,2회,3회,좌석수
2015-06-04,01관,"20:20,  은밀한 유혹(디지털)","22:30,  은밀한 유혹(디지털)",,200
2015-06-04,02관,"20:50,  스파이(디지털)","23:00,  스파이(디지털)",,120
2015-06-05,01관,"20:20,  은밀한 유혹(디지털)","22:30,  은밀한 유혹(디지털)",,200
2015-06-05,02관,"20:50,  스파이(디지털)","23:00,  스파이(디지털)",,120
2015-06-06,01관,"20:20,  은밀한 유혹(디지털)","22:30,  은밀한 유혹(디지털)",,200
2015-06-06,02관,"20:50,  스파이(디지털)","23:00,  스파이(디지털)",,120
2015-06-07,01관,"20:20,  은밀한 유혹(디지털)","22:30,  은밀한 유혹(디지털)",,200
2015-06-07,02관,"20:50,  스파이(디지털)","23:00,  스파이(디지털)",,120
2015-06-08,01관,"20:20,  은밀한 유혹(디지털)","22:30,  은밀한 유혹(디지털)",,200
2015-06-08,02관,"20:50,  스파이(디지털)","23:00,  스파이(디지털)",,120
2015-06-09,01관,"20:20,  은밀한 유혹(디지털)","22:30,  은밀한 유혹(디지털)",,200
2015-06-09,02관,"20:50,  스파이(디지털)","23:00,  스파이(디지털)",,120
2015-06-10,01관,"20:20,  은밀한 유혹(디지털)","22:30,  은밀한 유혹(디지털)",,200
2015-06-10,02관,"20:50,  스파이(디지털)","23:00,  스파이(디지털)",,120
2015-10-16,01관,"22:40,  성난 변호사(디지털)",,,200
2015-10-16,02관,"19:20,  성난 변호사(디지털)",,,120
2015-10-22,01관,"19:30,  더 폰(디지털)",,,200
2015-12-02,01관,"20:00,  내부자들(디지털)",,,200
2017-03-08,01관,"14:00,  관상(디지털)","16:40,  관상(디지털)",,200
2017-03-09,01관,"19:20,  콩: 스컬 아일랜드(디지털)","21:30,  콩: 스컬 아일랜드(디지털)",,200
2017-03-09,02관,"22:00,  루시드 드림(디지털)",,,120
2017-03-10,01관,"19:20,  해빙(디지털)","21:30,  해빙(디지털)",,200
2017-03-11,01관,"19:20,  해빙(디지털),  16,000원","21:30,  해빙(디지털),  16,000원",,200
2017-03-11,02관,"19:50,  신 고질라(디지털),  16,000원","22:00,  신 고질라(디지털)",,120
2017-03-12,01관,"19:20,  해빙(디지털),  16,000원","21:30,  해빙(디지털),  16,000원",,200
2017-03-12,02관,"19:50,  신 고질라(디지털),  16,000원","22:00,  신 고질라(디지털),  16,000원",,120
2017-03-13,01관,"19:20,  해빙(디지털),  16,000원","21:30,  해빙(디지털),  16,000원",,200
2017-03-14,01관,"19:20,  해빙(디지털),  16,000원","21:30,  해빙(디지털),  16,000원",,200
2017-03-14,02관,"19:50,  신 고질라(디지털),  16,000원",,,120
2017-03-15,01관,,"21:30,  해빙(디지털),  16,000원",,200
2017-03-16,01관,"19:50,  미녀와 야수(3D 더빙),  16,000원","22:00,  비정규직 특수요원(디지털),  16,000원",,200
2017-03-16,02관,,"21:40,  미녀와 야수(3D 더빙),  16,000원",,120
2017-03-17,01관,"19:30,  미녀와 야수(3D 더빙),  16,000원","22:00,  미녀와 야수(3D 더빙),  16,000원",,200
2017-03-17,02관,"19:40,  비정규직 특수요원(디지털),  16,000원","21:50,  비정규직 특수요원(디지털),  16,000원",,120
2017-03-18,01관,"19:30,  미녀와 야수(3D 더빙),  16,000원","22:00,  미녀와 야수(3D 더빙),  16,000원",,200
2017-03-18,02관,"19:40,  비정규직 특수요원(디지털),  16,000원","21:50,  비정규직 특수요원(디지털),  16,000원",,120
2017-03-19,01관,"19:30,  미녀와 야수(3D 더빙),  16,000원","22:00,  미녀와 야수(3D 더빙),  16,000원",,200
2017-03-19,02관,"19:40,  비정규직 특수요원(디지털),  16,000원","21:50,  비정규직 특수요원(디지털),  16,000원",,120
2017-03-20,01관,"19:30,  미녀와 야수(3D 더빙),  16,000원","22:00,  미녀와 야수(3D 더빙),  16,000원",,200
2017-03-20,02관,"19:40,  비정규직 특수요원(디지털),  16,000원","21:50,  비정규직 특수요원(디지털),  16,000원",,120
2017-03-21,01관,,"22:00,  미녀와 야수(3D 더빙),  16,000원",,200
2017-03-21,02관,,"21:50,  비정규직 특수요원(디지털),  16,000원",,120
2017-03-22,01관,"19:30,  미녀와 야수(3D 더빙),  16,000원","22:00,  미녀와 야수(3D 더빙),  16,000원",,200
2017-03-22,02관,"19:40,  비정규직 특수요원(디지털),  16,000원","21:50,  비정규직 특수요원(디지털),  16,000원",,120
2017-03-23,01관,"19:20,  프리즌(디지털),  16,000원","21:30,  프리즌(디지털),  16,000원",,200
2017-03-23,02관,"19:20,  미녀와 야수(3D 더빙),  16,000원","21:30,  보통사람(디지털),  16,000원",,120
2017-03-24,01관,"19:20,  프리즌(디지털),  16,000원","21:50,  프리즌(디지털),  16,000원",,200
2017-03-24,02관,"19:20,  미녀와 야수(3D 더빙),  16,000원","21:50,  보통사람(디지털),  16,000원",,120
2017-03-25,01관,"19:20,  프리즌(디지털),  16,000원","21:50,  프리즌(디지털),  16,000원",,200
2017-03-25,02관,"19:20,  미녀와 야수(3D 더빙),  16,000원","21:50,  보통사람(디지털),  16,000원",,120
2017-03-26,01관,"19:20,  프리즌(디지털),  16,000원","21:50,  프리즌(디지털),  16,000원",,200
2017-03-26,02관,"19:20,  미녀와 야수(3D 더빙),  16,000원","21:50,  보통사람(디지털),  16,000원",,120
2017-03-27,01관,"19:20,  프리즌(디지털),  16,000원","21:50,  프리즌(디지털),  16,000원",,200
2017-03-27,02관,"19:20,  미녀와 야수(3D 더빙),  16,000원","21:50,  보통사람(디지털),  16,000원",,120
2017-03-28,01관,"17:40,  프리즌(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,200
2017-03-28,02관,"19:30,  미녀와 야수(3D 더빙),  16,000원","22:00,  보통사람(디지털),  16,000원",,120
2017-03-29,01관,"19:40,  프리즌(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,200
2017-03-29,02관,"19:30,  미녀와 야수(3D 더빙),  16,000원","21:50,  보통사람(디지털),  16,000원",,120
2017-03-30,01관,"19:20,  프리즌(디지털),  16,000원","21:40,  원라인(디지털),  16,000원",,200
2017-03-30,02관,"19:20,  공각기동대 : 고스트 인 더 쉘(3D 디지털),  16,000원","21:20,  프리즌(디지털),  16,000원",,120
2017-03-31,01관,"19:20,  프리즌(디지털),  16,000원","21:40,  원라인(디지털),  16,000원",,200
2017-03-31,02관,"19:20,  공각기동대 : 고스트 인 더 쉘(3D 디지털),  16,000원","21:20,  프리즌(디지털),  16,000원","23:30,  보통사람(디지털),  16,000원",120
2017-04-01,01관,"19:20,  프리즌(디지털),  16,000원","21:40,  원라인(디지털),  16,000원",,200
2017-04-01,02관,"19:20,  공각기동대 : 고스트 인 더 쉘(3D 디지털),  16,000원","21:20,  프리즌(디지털),  16,000원","23:30,  보통사람(디지털),  16,000원",120
2017-04-02,01관,"19:20,  프리즌(디지털),  16,000원","21:40,  원라인(디지털),  16,000원",,200
