상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2018-10-30,01관,"22:00,  킹콩(필름)",,,,,,78
2018-10-30,02관,"22:00,  킹콩(필름)",,,,,,78
2018-10-30,03관,"22:00,  킹콩(필름)",,,,,,78
2018-11-02,01관,"09:00,  창궐(디지털)","11:20,  창궐(디지털)","13:40,  창궐(디지털)","16:00,  창궐(디지털)","18:20,  창궐(디지털)","20:40,  창궐(디지털)",78
2018-11-02,02관,"09:15,  완벽한 타인(디지털)","11:30,  완벽한 타인(디지털)","13:45,  완벽한 타인(디지털)","16:05,  완벽한 타인(디지털)","18:20,  완벽한 타인(디지털)","20:35,  완벽한 타인(디지털)",78
2018-11-02,03관,"09:00,  배반의 장미(디지털)","12:40,  배반의 장미(디지털)","16:20,  배반의 장미(디지털)","20:00,  배반의 장미(디지털)",,,78
2018-11-03,01관,"09:00,  창궐(디지털)","11:20,  창궐(디지털)","13:40,  창궐(디지털)","16:00,  창궐(디지털)","18:20,  창궐(디지털),  7,700원","20:40,  창궐(디지털),  7,700원",78
2018-11-03,02관,"09:15,  완벽한 타인(디지털)","11:30,  완벽한 타인(디지털)","13:45,  완벽한 타인(디지털)","16:05,  완벽한 타인(디지털),  7,700원","18:20,  완벽한 타인(디지털),  11,000원","20:35,  완벽한 타인(디지털),  7,700원",78
2018-11-03,03관,"09:00,  배반의 장미(디지털)","12:40,  배반의 장미(디지털)","16:20,  배반의 장미(디지털)","20:00,  배반의 장미(디지털)",,,78
2018-11-04,01관,,,,,,"20:40,  창궐(디지털),  7,700원",78
2018-11-04,02관,,"11:30,  완벽한 타인(디지털),  7,700원","13:45,  완벽한 타인(디지털),  11,000원","16:05,  완벽한 타인(디지털),  7,700원","18:20,  완벽한 타인(디지털),  7,700원","20:35,  완벽한 타인(디지털),  7,700원",78
2018-11-04,03관,,,"18:20,  스페이스 치킨: 마법 부적의 비밀(디지털더빙),  7,700원",,,,78
2018-11-05,02관,"13:20,  완벽한 타인(디지털),  7,700원",,,"20:00,  완벽한 타인(디지털),  7,700원",,,78
2018-11-05,03관,,"16:40,  스페이스 치킨: 마법 부적의 비밀(디지털더빙),  7,700원",,,,,78
2018-11-06,01관,"10:30,  창궐(디지털)","12:50,  창궐(디지털)","15:15,  창궐(디지털)","17:40,  창궐(디지털)","20:00,  창궐(디지털)",,78
2018-11-06,02관,"10:30,  창궐(디지털)","15:40,  완벽한 타인(디지털),  7,700원","17:50,  완벽한 타인(디지털)","20:00,  완벽한 타인(디지털),  7,700원",,,78
2018-11-06,03관,"10:30,  창궐(디지털)","16:40,  스페이스 치킨: 마법 부적의 비밀(디지털더빙)","20:20,  배반의 장미(디지털)",,,,78
2018-11-07,01관,"10:30,  창궐(디지털)","15:00,  동네사람들(디지털)","17:00,  동네사람들(디지털)","19:00,  동네사람들(디지털),  7,700원",,,78
2018-11-07,02관,"10:30,  창궐(디지털)","15:20,  완벽한 타인(디지털),  7,700원","20:00,  완벽한 타인(디지털),  7,700원",,,,78
