상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,15회,좌석수
2015-01-01,01관,"10:30,  마다가스카의 펭귄(디지털더빙),  7,000원","12:30,  상의원(디지털),  7,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:10,  국제시장(디지털),  7,000원",,,,,,,,,,70
2015-01-01,02관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","12:20,  마다가스카의 펭귄(디지털더빙),  7,000원","14:20,  기술자들(디지털),  7,000원","16:40,  국제시장(디지털),  7,000원","19:10,  테이큰 3(디지털),  7,000원","21:20,  기술자들(디지털),  7,000원",,,,,,,,,,70
2015-01-02,01관,"10:30,  마다가스카의 펭귄(디지털더빙),  6,000원","12:30,  상의원(디지털),  6,000원","15:00,  기술자들(디지털),  6,000원","17:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","19:00,  테이큰 3(디지털),  6,000원","21:10,  국제시장(디지털),  6,000원",,,,,,,,,,70
2015-01-02,02관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","12:20,  마다가스카의 펭귄(디지털더빙),  6,000원","14:20,  테이큰 3(디지털),  6,000원","16:40,  국제시장(디지털),  6,000원","19:10,  국제시장(디지털),  6,000원","21:30,  기술자들(디지털),  6,000원",,,,,,,,,,70
2015-01-03,01관,"10:30,  마다가스카의 펭귄(디지털더빙),  7,000원","12:30,  국제시장(디지털),  7,000원","15:00,  상의원(디지털),  7,000원","17:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:20,  국제시장(디지털),  7,000원",,,,,,,,,,70
2015-01-03,02관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","12:20,  마다가스카의 펭귄(디지털더빙),  7,000원","14:20,  기술자들(디지털),  7,000원","16:40,  국제시장(디지털),  7,000원","19:10,  국제시장(디지털),  7,000원","21:30,  테이큰 3(디지털),  7,000원",,,,,,,,,,70
2015-01-04,01관,"10:30,  마다가스카의 펭귄(디지털더빙),  7,000원","12:30,  국제시장(디지털),  7,000원","15:00,  상의원(디지털),  7,000원","17:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:20,  국제시장(디지털),  7,000원",,,,,,,,,,70
2015-01-04,02관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","12:20,  마다가스카의 펭귄(디지털더빙),  7,000원","14:20,  기술자들(디지털),  7,000원","16:40,  국제시장(디지털),  7,000원","19:10,  국제시장(디지털),  7,000원","21:30,  테이큰 3(디지털),  7,000원",,,,,,,,,,70
2015-01-05,01관,"10:30,  마다가스카의 펭귄(디지털더빙)","12:30,  국제시장(디지털),  6,000원","15:00,  상의원(디지털)","17:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","19:10,  국제시장(디지털),  6,000원","21:30,  국제시장(디지털),  6,000원",,,,,,,,,,70
2015-01-05,02관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","12:20,  마다가스카의 펭귄(디지털더빙),  6,000원","14:20,  기술자들(디지털),  6,000원","16:30,  국제시장(디지털),  6,000원","19:00,  테이큰 3(디지털),  6,000원","21:20,  기술자들(디지털),  6,000원",,,,,,,,,,70
