상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2018-09-01,01관,"10:40,  서치(디지털),  6,000원","13:00,  상류사회(디지털),  6,000원","15:30,  공작(디지털),  6,000원","19:00,  상류사회(디지털),  6,000원","21:20,  상류사회(디지털),  6,000원",,,100
2018-09-01,02관,,"12:30,  피쉬 프렌즈: 알록이의 신기한 모험(디지털더빙),  6,000원","14:00,  서치(디지털),  6,000원","16:30,  피쉬 프렌즈: 알록이의 신기한 모험(디지털더빙),  6,000원","18:30,  서치(디지털),  6,000원","21:00,  목격자(디지털),  6,000원",,50
2018-09-02,01관,"10:40,  서치(디지털),  6,000원","13:00,  상류사회(디지털),  6,000원","15:30,  공작(디지털),  6,000원","19:00,  상류사회(디지털),  6,000원","21:20,  상류사회(디지털),  6,000원",,,100
2018-09-02,02관,"11:00,  피쉬 프렌즈: 알록이의 신기한 모험(디지털더빙),  6,000원","12:30,  피쉬 프렌즈: 알록이의 신기한 모험(디지털더빙),  6,000원","14:00,  서치(디지털),  6,000원","16:30,  피쉬 프렌즈: 알록이의 신기한 모험(디지털더빙),  6,000원","18:30,  서치(디지털),  6,000원","21:00,  목격자(디지털),  6,000원",,50
2018-09-03,01관,,"13:00,  상류사회(디지털),  6,000원","15:30,  공작(디지털),  6,000원","19:00,  상류사회(디지털),  6,000원","21:20,  상류사회(디지털),  6,000원",,,100
2018-09-03,02관,,,"14:00,  서치(디지털),  6,000원",,"18:30,  서치(디지털),  6,000원","21:00,  목격자(디지털),  6,000원",,50
2018-09-04,01관,"10:40,  서치(디지털),  6,000원","13:00,  상류사회(디지털),  6,000원","15:30,  공작(디지털),  6,000원","19:00,  상류사회(디지털),  6,000원",,,,100
2018-09-04,02관,,,"14:00,  서치(디지털),  6,000원",,"18:30,  서치(디지털),  6,000원",,,50
2018-09-05,01관,"10:40,  서치(디지털),  6,000원","13:00,  상류사회(디지털),  6,000원","15:30,  공작(디지털),  6,000원","19:00,  상류사회(디지털),  6,000원","21:20,  상류사회(디지털),  6,000원",,,100
2018-09-05,02관,,,"14:00,  서치(디지털),  6,000원",,"18:30,  서치(디지털),  6,000원","21:00,  목격자(디지털),  6,000원",,50
2018-09-06,01관,"10:50,  너의 결혼식(디지털),  6,000원","13:00,  너의 결혼식(디지털),  6,000원",,"18:30,  너의 결혼식(디지털),  6,000원","21:00,  너의 결혼식(디지털),  6,000원",,,100
