상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2015-01-01,01관,"10:30,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","12:20,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","14:00,  국제시장(디지털),  8,000원","16:30,  국제시장(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,77
2015-01-01,02관,"10:40,  호빗: 다섯 군대 전투(디지털),  8,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  기술자들(디지털),  8,000원","19:00,  상의원(디지털),  8,000원","21:30,  기술자들(디지털),  8,000원",,,,,,,,,31
2015-01-02,01관,,"12:20,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","14:00,  국제시장(디지털),  8,000원","16:30,  국제시장(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,77
2015-01-02,02관,"10:40,  호빗: 다섯 군대 전투(디지털),  8,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  기술자들(디지털),  8,000원","19:00,  상의원(디지털),  8,000원","21:30,  기술자들(디지털),  8,000원",,,,,,,,,31
2015-01-03,01관,,"12:20,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","14:00,  국제시장(디지털),  8,000원","16:30,  국제시장(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,77
2015-01-03,02관,"10:40,  호빗: 다섯 군대 전투(디지털),  8,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  기술자들(디지털),  8,000원","19:00,  상의원(디지털),  8,000원","21:30,  기술자들(디지털),  8,000원",,,,,,,,,31
2015-01-04,01관,"10:30,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","12:20,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","14:00,  국제시장(디지털),  8,000원","16:30,  국제시장(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,77
2015-01-04,02관,"10:40,  호빗: 다섯 군대 전투(디지털),  8,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  기술자들(디지털),  8,000원","19:00,  상의원(디지털),  8,000원","21:30,  기술자들(디지털),  8,000원",,,,,,,,,31
2015-01-05,01관,"10:30,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","12:20,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","14:00,  국제시장(디지털),  8,000원","16:30,  국제시장(디지털),  7,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,77
2015-01-05,02관,,"13:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,"17:00,  기술자들(디지털),  8,000원","19:00,  상의원(디지털),  8,000원","21:30,  기술자들(디지털),  8,000원",,,,,,,,,31
2015-01-06,01관,"10:30,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","12:20,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","14:00,  국제시장(디지털),  8,000원","16:30,  국제시장(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,77
2015-01-06,02관,"10:40,  호빗: 다섯 군대 전투(디지털),  8,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  기술자들(디지털),  7,000원","19:00,  상의원(디지털),  8,000원","21:30,  기술자들(디지털),  8,000원",,,,,,,,,31
2015-01-07,01관,"10:30,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","12:20,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  7,000원","14:00,  국제시장(디지털),  8,000원","16:30,  국제시장(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,77
2015-01-07,02관,"10:40,  호빗: 다섯 군대 전투(디지털),  8,000원",,"15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,"21:30,  기술자들(디지털),  8,000원",,,,,,,,,31
2015-01-08,01관,"11:00,  국제시장(디지털),  8,000원","13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,,77
2015-01-08,02관,"08:50,  상의원(디지털),  7,000원",,"13:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  기술자들(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  기술자들(디지털),  8,000원",,,,,,,,31
2015-01-09,01관,"11:00,  국제시장(디지털),  8,000원",,"16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,,77
2015-01-09,02관,"08:50,  상의원(디지털),  7,000원",,,"15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  기술자들(디지털),  7,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,,,,,31
2015-01-10,01관,,"13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,,77
2015-01-10,02관,"08:50,  상의원(디지털),  7,000원",,"13:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  기술자들(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,,,,,31
2015-01-11,01관,,"13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,,77
2015-01-11,02관,"08:50,  상의원(디지털),  7,000원","11:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,"17:00,  기술자들(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  기술자들(디지털),  8,000원",,,,,,,,31
2015-01-12,01관,,,"16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,,77
2015-01-12,02관,"08:50,  상의원(디지털),  7,000원",,"13:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  기술자들(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  기술자들(디지털),  8,000원",,,,,,,,31
2015-01-13,01관,,"13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,,77
2015-01-13,02관,,,,"15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  기술자들(디지털),  7,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,,,,,31
2015-01-14,01관,,"13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,,,,,,,77
2015-01-14,02관,"08:50,  상의원(디지털),  7,000원",,"13:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,"21:00,  기술자들(디지털),  8,000원",,,,,,,,31
2015-01-15,01관,,"13:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  8,000원","15:00,  허삼관(디지털),  8,000원","17:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  허삼관(디지털),  8,000원",,,,,,,,,77
2015-01-15,02관,,"13:30,  오늘의 연애(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  오늘의 연애(디지털),  7,000원","21:00,  국제시장(디지털),  8,000원","23:30,  상의원(디지털),  7,000원",,,,,,,,,31
2015-01-16,01관,,,"15:00,  허삼관(디지털),  8,000원","17:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  허삼관(디지털),  8,000원",,,,,,,,,77
2015-01-16,02관,,"13:30,  오늘의 연애(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  오늘의 연애(디지털),  7,000원","21:00,  국제시장(디지털),  8,000원","23:30,  상의원(디지털),  7,000원",,,,,,,,,31
