상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-04-21,01관,"11:30,  국제시장(디지털),  3,000원","14:00,  국제시장(디지털),  3,000원","16:30,  국제시장(디지털),  3,000원","19:00,  국제시장(디지털),  3,000원",,,,,286
2015-04-22,01관,"11:30,  국제시장(디지털),  3,000원","14:00,  국제시장(디지털),  3,000원","16:30,  국제시장(디지털),  2,000원",,,,,,286
2015-04-23,01관,"11:30,  국제시장(디지털),  3,000원","14:00,  국제시장(디지털),  3,000원","16:30,  국제시장(디지털),  3,000원","18:50,  국제시장(디지털),  3,000원",,,,,286
2015-04-24,01관,"11:30,  국제시장(디지털),  3,000원","14:00,  국제시장(디지털),  3,000원","16:30,  국제시장(디지털),  3,000원","18:50,  국제시장(디지털),  3,000원",,,,,286
2015-04-25,01관,"11:30,  국제시장(디지털),  3,000원","14:00,  국제시장(디지털),  3,000원","16:30,  국제시장(디지털),  7,000원","18:50,  국제시장(디지털),  3,000원",,,,,286
2015-04-26,01관,"11:30,  국제시장(디지털),  3,000원","14:00,  국제시장(디지털),  7,000원","16:30,  국제시장(디지털),  3,000원","18:50,  국제시장(디지털),  7,000원",,,,,286
2015-04-27,01관,"11:30,  국제시장(디지털),  3,000원","14:00,  국제시장(디지털),  3,000원","16:30,  국제시장(디지털),  3,000원","18:50,  국제시장(디지털),  3,000원",,,,,286
2015-04-28,01관,"11:30,  명량(디지털),  3,000원","14:00,  명량(디지털),  3,000원","16:30,  명량(디지털),  3,000원","18:50,  명량(디지털),  3,000원",,,,,286
2015-04-29,01관,"11:30,  명량(디지털),  3,000원","14:00,  명량(디지털),  3,000원","16:30,  명량(디지털),  3,000원","18:50,  명량(디지털),  3,000원",,,,,286
2015-04-30,01관,"11:30,  명량(디지털),  3,000원","14:00,  명량(디지털),  3,000원","16:30,  명량(디지털),  3,000원","18:50,  명량(디지털),  3,000원",,,,,286
2015-05-01,01관,"11:30,  명량(디지털),  3,000원","14:00,  명량(디지털),  7,000원","16:30,  명량(디지털),  3,000원","18:50,  명량(디지털),  3,000원",,,,,286
2015-05-02,01관,"11:30,  명량(디지털),  3,000원","14:00,  명량(디지털),  3,000원","16:30,  명량(디지털),  3,000원","18:50,  명량(디지털),  3,000원",,,,,286
2015-05-03,01관,"11:30,  명량(디지털),  3,000원","14:00,  명량(디지털),  3,000원","16:30,  명량(디지털),  3,000원","18:50,  명량(디지털),  3,000원",,,,,286
2015-05-04,01관,"11:30,  명량(디지털),  3,000원","14:00,  명량(디지털),  3,000원","16:30,  명량(디지털),  3,000원","18:50,  명량(디지털),  3,000원",,,,,286
2015-05-05,01관,"11:30,  쎄시봉(디지털),  3,000원","13:50,  쎄시봉(디지털),  7,000원","16:10,  쎄시봉(디지털),  3,000원","18:30,  쎄시봉(디지털),  3,000원",,,,,286
2015-05-06,01관,"11:30,  쎄시봉(디지털),  3,000원","13:50,  쎄시봉(디지털),  3,000원","16:10,  쎄시봉(디지털),  3,000원","18:30,  쎄시봉(디지털),  3,000원",,,,,286
2015-05-07,01관,"11:30,  쎄시봉(디지털),  3,000원","13:50,  쎄시봉(디지털),  3,000원","16:10,  쎄시봉(디지털),  3,000원","18:30,  쎄시봉(디지털),  3,000원",,,,,286
