상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"11:00,  숲속으로(디지털)","13:30,  숲속으로(디지털),  7,000원","16:00,  숲속으로(디지털),  7,000원","18:30,  상의원(디지털),  7,000원",,,,,,,30
2015-01-01,02관,"11:00,  테이큰 3(디지털)","13:00,  테이큰 3(디지털),  7,000원","15:00,  테이큰 3(디지털),  7,000원","17:00,  테이큰 3(디지털),  7,000원","19:00,  테이큰 3(디지털),  7,000원",,,,,,35
2015-01-01,03관,"11:00,  기술자들(디지털)","13:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","17:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","19:00,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,,,,38
2015-01-01,04관,"11:00,  기술자들(디지털),  7,000원","13:00,  기술자들(디지털),  7,000원","15:00,  기술자들(디지털),  7,000원","17:00,  기술자들(디지털),  7,000원","19:00,  기술자들(디지털),  7,000원","21:00,  기술자들(디지털),  7,000원",,,,,87
2015-01-01,05관,"11:00,  국제시장(디지털),  7,000원","13:30,  국제시장(디지털),  7,000원","16:00,  국제시장(디지털),  7,000원","18:30,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,72
2015-01-02,01관,"11:00,  숲속으로(디지털),  6,000원","13:30,  숲속으로(디지털),  6,000원","16:00,  숲속으로(디지털),  7,000원","18:30,  상의원(디지털),  7,000원",,,,,,,30
2015-01-02,02관,"11:00,  테이큰 3(디지털),  7,000원","13:00,  테이큰 3(디지털),  7,000원","15:00,  테이큰 3(디지털),  7,000원","17:00,  테이큰 3(디지털),  7,000원","19:00,  테이큰 3(디지털),  7,000원",,,,,,35
2015-01-02,03관,"11:00,  기술자들(디지털)","13:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","17:00,  개를 훔치는 완벽한 방법(디지털)","19:00,  개를 훔치는 완벽한 방법(디지털),  6,000원",,,,,,38
2015-01-02,04관,"11:00,  기술자들(디지털)","13:00,  기술자들(디지털),  7,000원","15:00,  기술자들(디지털),  7,000원","17:00,  기술자들(디지털)","19:00,  기술자들(디지털),  7,000원","21:00,  기술자들(디지털),  7,000원",,,,,87
2015-01-02,05관,"11:00,  국제시장(디지털),  7,000원","13:30,  국제시장(디지털),  7,000원","16:00,  국제시장(디지털),  7,000원","18:30,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,72
2015-01-03,01관,"11:00,  숲속으로(디지털),  6,000원","13:30,  숲속으로(디지털),  7,000원","16:00,  숲속으로(디지털),  7,000원","18:30,  상의원(디지털),  7,000원",,,,,,,30
2015-01-03,02관,"11:00,  테이큰 3(디지털)","13:00,  테이큰 3(디지털),  7,000원","15:00,  테이큰 3(디지털),  7,000원","17:00,  테이큰 3(디지털),  7,000원","19:00,  테이큰 3(디지털),  7,000원",,,,,,35
2015-01-03,03관,"11:00,  기술자들(디지털)","13:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","17:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","19:00,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,,,,38
2015-01-03,04관,"11:00,  기술자들(디지털),  7,000원","13:00,  기술자들(디지털),  7,000원","15:00,  기술자들(디지털),  7,000원","17:00,  기술자들(디지털),  7,000원","19:00,  기술자들(디지털),  7,000원","21:00,  기술자들(디지털),  7,000원",,,,,87
2015-01-03,05관,"11:00,  국제시장(디지털),  7,000원","13:30,  국제시장(디지털),  7,000원","16:00,  국제시장(디지털),  7,000원","18:30,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,72
2015-01-04,01관,"11:00,  숲속으로(디지털)","13:30,  숲속으로(디지털),  7,000원","16:00,  숲속으로(디지털),  7,000원","18:30,  상의원(디지털),  7,000원",,,,,,,30
2015-01-04,02관,"11:00,  테이큰 3(디지털),  7,000원","13:00,  테이큰 3(디지털),  7,000원","15:00,  테이큰 3(디지털),  7,000원","17:00,  테이큰 3(디지털),  7,000원","19:00,  테이큰 3(디지털),  7,000원",,,,,,35
2015-01-04,03관,"11:00,  기술자들(디지털)","13:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","17:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","19:00,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,,,,38
2015-01-04,04관,"11:00,  기술자들(디지털),  7,000원","13:00,  기술자들(디지털),  7,000원","15:00,  기술자들(디지털),  7,000원","17:00,  기술자들(디지털),  7,000원","19:00,  기술자들(디지털),  7,000원","21:00,  기술자들(디지털),  7,000원",,,,,87
2015-01-04,05관,"11:00,  국제시장(디지털),  7,000원","13:30,  국제시장(디지털),  7,000원","16:00,  국제시장(디지털),  7,000원","18:30,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,72
2015-01-05,01관,"11:00,  숲속으로(디지털)","13:30,  숲속으로(디지털),  7,000원","16:00,  숲속으로(디지털),  7,000원","18:30,  상의원(디지털),  7,000원",,,,,,,30
2015-01-05,02관,"11:00,  테이큰 3(디지털)","13:00,  테이큰 3(디지털),  7,000원","15:00,  테이큰 3(디지털),  7,000원","17:00,  테이큰 3(디지털),  7,000원","19:00,  테이큰 3(디지털),  7,000원",,,,,,35
2015-01-05,03관,"11:00,  기술자들(디지털)","13:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:00,  개를 훔치는 완벽한 방법(디지털)","17:00,  개를 훔치는 완벽한 방법(디지털),  6,000원","19:00,  개를 훔치는 완벽한 방법(디지털)",,,,,,38
2015-01-05,04관,"11:00,  기술자들(디지털),  7,000원","13:00,  기술자들(디지털),  7,000원","15:00,  기술자들(디지털)","17:00,  기술자들(디지털),  7,000원","19:00,  기술자들(디지털),  7,000원","21:00,  기술자들(디지털)",,,,,87
2015-01-05,05관,"11:00,  국제시장(디지털),  7,000원","13:30,  국제시장(디지털),  7,000원","16:00,  국제시장(디지털),  7,000원","18:30,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,72
2015-01-06,01관,"11:00,  숲속으로(디지털)","13:30,  숲속으로(디지털),  7,000원","16:00,  숲속으로(디지털),  7,000원","18:30,  상의원(디지털),  7,000원",,,,,,,30
2015-01-06,02관,"11:00,  테이큰 3(디지털)","13:00,  테이큰 3(디지털),  7,000원","15:00,  테이큰 3(디지털),  7,000원","17:00,  테이큰 3(디지털),  7,000원","19:00,  테이큰 3(디지털),  7,000원",,,,,,35
2015-01-06,03관,"11:00,  기술자들(디지털)","13:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","17:00,  개를 훔치는 완벽한 방법(디지털)","19:00,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,,,,38
2015-01-06,04관,"11:00,  기술자들(디지털)","13:00,  기술자들(디지털),  7,000원","15:00,  기술자들(디지털)","17:00,  기술자들(디지털)","19:00,  기술자들(디지털),  7,000원","21:00,  기술자들(디지털)",,,,,87
2015-01-06,05관,"11:00,  국제시장(디지털),  7,000원","13:30,  국제시장(디지털),  7,000원","16:00,  국제시장(디지털),  7,000원","18:30,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,72
2015-01-07,01관,"11:00,  패딩턴(디지털더빙)","13:00,  패딩턴(디지털더빙)","15:00,  패딩턴(디지털더빙),  7,000원","17:00,  패딩턴(디지털더빙)","19:00,  상의원(디지털),  7,000원",,,,,,30
2015-01-07,02관,"11:00,  테이큰 3(디지털)","13:00,  테이큰 3(디지털),  7,000원","15:00,  테이큰 3(디지털),  7,000원","17:00,  테이큰 3(디지털),  7,000원","19:00,  테이큰 3(디지털),  7,000원",,,,,,35
2015-01-07,03관,"11:00,  개를 훔치는 완벽한 방법(디지털)","13:00,  개를 훔치는 완벽한 방법(디지털)","15:00,  개를 훔치는 완벽한 방법(디지털),  6,000원","17:00,  워킹걸(디지털)","19:00,  워킹걸(디지털),  7,000원",,,,,,38
