상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2016-09-06,01관,"22:00,  킹콩(필름)",,,,,,,,,153
2016-09-08,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  2,000원",,,,,,,,,153
2016-09-09,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  2,000원",,,,,,,,,153
2016-09-10,01관,"00:05,  깡치(디지털)","20:30,  고산자, 대동여지도(디지털)",,,,,,,,153
2016-09-11,01관,"00:05,  깡치(디지털)","20:30,  고산자, 대동여지도(디지털)",,,,,,,,153
2016-09-12,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  2,000원","20:30,  고산자, 대동여지도(디지털),  7,000원",,,,,,,,153
2016-09-13,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  2,000원","20:30,  고산자, 대동여지도(디지털)",,,,,,,,153
2016-09-14,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  2,000원","20:10,  고산자, 대동여지도(디지털)",,,,,,,,153
2016-09-15,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  2,000원","20:10,  고산자, 대동여지도(디지털),  7,000원",,,,,,,,153
2016-09-16,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  2,000원","14:20,  로빈슨 크루소(디지털)",,,,,,,,153
2016-09-17,01관,"01:40,  레프트 비하인드 : 휴거의 시작(디지털),  3,000원","14:20,  로빈슨 크루소(디지털)",,,,,,,,153
2016-09-18,01관,"01:40,  레프트 비하인드 : 휴거의 시작(디지털),  3,000원","14:20,  로빈슨 크루소(디지털)",,,,,,,,153
2016-09-19,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  2,000원","14:20,  로빈슨 크루소(디지털)",,,,,,,,153
2016-09-20,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  2,000원","14:20,  로빈슨 크루소(디지털)",,,,,,,,153
2016-09-21,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  2,000원","14:20,  로빈슨 크루소(디지털)",,,,,,,,153
2016-09-22,01관,"00:05,  옹박 : 하얀 원숭이 전사(디지털)",,,,,,,,,153
2016-09-23,01관,"00:05,  천지영웅 장청(디지털),  3,000원",,,,,,,,,153
2016-09-24,01관,"00:05,  천지영웅 장청(디지털),  3,000원",,,,,,,,,153
2016-09-25,01관,"00:05,  천지영웅 장청(디지털),  3,000원","18:30,  비포 선셋(필름)",,,,,,,,153
2016-09-26,01관,"00:05,  천지영웅 장청(디지털),  3,000원","20:00,  메카닉: 리크루트(디지털)",,,,,,,,153
2016-09-27,01관,"00:05,  천지영웅 장청(디지털),  3,000원","14:30,  메카닉: 리크루트(디지털)","18:00,  메카닉: 리크루트(디지털)",,,,,,,153
2016-09-28,01관,"00:05,  천지영웅 장청(디지털),  3,000원","16:40,  아수라(디지털),  7,000원","19:20,  아수라(디지털),  7,000원",,,,,,,153
2016-09-29,01관,"00:05,  천지영웅 장청(디지털),  3,000원","16:40,  아수라(디지털),  5,000원","19:20,  아수라(디지털),  7,000원",,,,,,,153
2016-09-30,01관,"00:05,  천지영웅 장청(디지털),  3,000원",,,,,,,,,153
2016-10-01,01관,"00:05,  천지영웅 장청(디지털),  3,000원","16:40,  아수라(디지털),  7,000원","19:20,  아수라(디지털),  7,000원",,,,,,,153
2016-10-02,01관,"00:05,  천지영웅 장청(디지털),  3,000원","16:40,  아수라(디지털),  7,000원","19:20,  아수라(디지털),  7,000원",,,,,,,153
2016-10-03,01관,"00:05,  몽키킹 제로(디지털),  3,000원","16:40,  아수라(디지털),  7,000원","19:20,  아수라(디지털),  7,000원",,,,,,,153
2016-10-04,01관,"00:05,  몽키킹 제로(디지털),  3,000원","16:40,  아수라(디지털)","19:20,  아수라(디지털),  7,000원",,,,,,,153
2016-10-05,01관,"00:05,  몽키킹 제로(디지털),  3,000원","16:40,  아수라(디지털),  7,000원","19:20,  아수라(디지털),  7,000원",,,,,,,153
2016-10-06,01관,"00:05,  리클레임(디지털),  2,000원","17:50,  그물(디지털),  5,000원",,,,,,,,153
2016-10-07,01관,"00:05,  리클레임(디지털),  2,000원","15:20,  아수라(디지털)","20:00,  아수라(디지털),  7,000원",,,,,,,153
2016-10-08,01관,"00:05,  리클레임(디지털),  2,000원","15:20,  아수라(디지털)","20:00,  아수라(디지털),  7,000원",,,,,,,153
2016-10-09,01관,"00:05,  리클레임(디지털),  2,000원","15:20,  아수라(디지털),  7,000원","20:00,  아수라(디지털)",,,,,,,153
2016-10-10,01관,"00:05,  정 검-금의위(디지털),  4,000원","15:20,  아수라(디지털)","20:00,  아수라(디지털)",,,,,,,153
2016-10-11,01관,"00:05,  정 검-금의위(디지털),  4,000원","15:20,  아수라(디지털),  7,000원","20:00,  아수라(디지털)",,,,,,,153
2016-10-12,01관,"00:05,  정 검-금의위(디지털),  4,000원","15:20,  아수라(디지털),  7,000원","20:00,  아수라(디지털)",,,,,,,153
2016-10-13,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원","17:30,  아수라(디지털)",,,,,,,,153
2016-10-14,01관,"00:05,  어린 형수 - 무삭제판(디지털),  2,000원","17:30,  아수라(디지털)",,,,,,,,153
2016-10-15,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원","17:30,  아수라(디지털),  7,000원",,,,,,,,153
2016-10-16,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원","17:30,  아수라(디지털),  7,000원",,,,,,,,153
2016-10-17,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원","17:30,  아수라(디지털)",,,,,,,,153
2016-10-18,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원","17:30,  아수라(디지털)",,,,,,,,153
2016-10-19,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원","17:30,  비틀스: 에잇 데이즈 어 위크 – 투어링 이어즈(디지털)",,,,,,,,153
2016-10-20,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원",,,,,,,,,153
2016-10-21,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원",,,,,,,,,153
2016-10-22,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원",,,,,,,,,153
2016-10-23,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원","14:20,  럭키(디지털),  7,000원","16:40,  럭키(디지털),  5,000원","19:00,  럭키(디지털),  7,000원",,,,,,153
2016-10-24,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원",,,,,,,,,153
2016-10-25,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원",,,,,,,,,153
2016-10-26,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  2,000원","05:30,  디시에르토(디지털),  2,000원",,,,,,,,153
2016-10-27,01관,"00:05,  로빈슨 크루소(디지털),  2,000원","03:55,  디시에르토(디지털),  2,000원","18:00,  혼숨(디지털),  5,000원",,,,,,,153
2016-10-28,01관,"00:05,  로빈슨 크루소(디지털),  2,000원","03:55,  디시에르토(디지털),  2,000원",,,,,,,,153
2016-10-29,01관,"00:05,  까시(디지털),  2,000원","14:30,  혼숨(디지털),  5,000원",,,,,,,,153
2016-10-30,01관,"00:05,  까시(디지털),  2,000원","14:30,  혼숨(디지털),  7,000원","18:30,  혼숨(디지털),  5,000원",,,,,,,153
2016-10-31,01관,"00:05,  로빈슨 크루소(디지털),  2,000원","14:20,  럭키(디지털),  5,000원","20:10,  럭키(디지털)",,,,,,,153
2016-11-01,01관,"00:05,  로빈슨 크루소(디지털),  2,000원","14:20,  럭키(디지털),  7,000원","20:10,  럭키(디지털)",,,,,,,153
2016-11-02,01관,"00:05,  로빈슨 크루소(디지털),  2,000원","14:20,  럭키(디지털),  7,000원","20:10,  럭키(디지털),  7,000원",,,,,,,153
2016-11-03,01관,"00:05,  디시에르토(디지털),  2,000원","18:10,  혼숨(디지털),  5,000원",,,,,,,,153
2016-11-04,01관,"00:05,  디시에르토(디지털),  2,000원","18:10,  혼숨(디지털),  5,000원",,,,,,,,153
2016-11-05,01관,"11:00,  극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드(디지털),  5,000원","18:10,  혼숨(디지털),  5,000원",,,,,,,,153
2016-11-06,01관,"11:00,  극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드(디지털)","18:10,  혼숨(디지털),  5,000원",,,,,,,,153
2016-11-07,01관,"00:05,  디시에르토(디지털),  2,000원","18:10,  혼숨(디지털)",,,,,,,,153
2016-11-08,01관,"00:05,  디시에르토(디지털),  2,000원","18:10,  혼숨(디지털)",,,,,,,,153
2016-11-09,01관,"00:05,  디시에르토(디지털),  2,000원",,,,,,,,,153
2016-11-10,01관,"00:05,  디시에르토(디지털),  2,000원",,,,,,,,,153
2016-11-11,01관,"00:05,  디시에르토(디지털),  2,000원","17:50,  닥터 스트레인지(디지털),  5,000원",,,,,,,,153
2016-11-12,01관,"10:40,  스플릿(디지털),  5,000원","13:00,  스플릿(디지털)","15:20,  스플릿(디지털),  7,000원","17:40,  스플릿(디지털)","20:00,  스플릿(디지털),  7,000원",,,,,153
2016-11-13,01관,"10:40,  스플릿(디지털)","13:00,  스플릿(디지털),  7,000원","15:20,  스플릿(디지털),  7,000원","17:40,  스플릿(디지털),  5,000원","20:00,  스플릿(디지털)",,,,,153
2016-11-14,01관,"00:05,  디시에르토(디지털),  2,000원","17:50,  닥터 스트레인지(디지털)",,,,,,,,153
2016-11-15,01관,"00:05,  디시에르토(디지털),  2,000원","17:50,  닥터 스트레인지(디지털)",,,,,,,,153
2016-11-16,01관,"00:05,  디시에르토(디지털),  2,000원","15:30,  신비한 동물사전(디지털),  7,000원","18:00,  신비한 동물사전(디지털),  5,000원","20:30,  신비한 동물사전(디지털),  5,000원",,,,,,153
2016-11-17,01관,"00:05,  디시에르토(디지털),  2,000원","15:30,  신비한 동물사전(디지털),  5,000원","18:00,  신비한 동물사전(디지털),  7,000원","20:30,  신비한 동물사전(디지털)",,,,,,153
2016-11-18,01관,"00:05,  디시에르토(디지털),  2,000원","15:30,  신비한 동물사전(디지털),  5,000원","18:00,  신비한 동물사전(디지털),  5,000원","20:30,  신비한 동물사전(디지털)",,,,,,153
2016-11-19,01관,"10:30,  가려진 시간(디지털)","13:00,  가려진 시간(디지털),  7,000원","15:30,  가려진 시간(디지털),  7,000원","18:00,  가려진 시간(디지털)","20:30,  가려진 시간(디지털),  7,000원",,,,,153
