상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-12-17,01관,"23:00,  킹콩(필름)",,,,,,,,,,53
2015-12-17,02관,"23:00,  킹콩(필름)",,,,,,,,,,44
2015-12-18,01관,"15:00,  대호(디지털)","18:00,  대호(디지털),  5,000원",,,,,,,,,53
2015-12-18,02관,"15:00,  대호(디지털)","18:00,  대호(디지털),  5,000원",,,,,,,,,44
2015-12-19,01관,"10:00,  히말라야(디지털),  5,000원","12:40,  히말라야(디지털),  5,000원","15:15,  스타워즈: 깨어난 포스(디지털),  5,000원","18:10,  히말라야(디지털),  5,000원","20:45,  히말라야(디지털),  5,000원",,,,,,53
2015-12-19,02관,"10:15,  대호(디지털)","13:00,  대호(디지털),  5,000원","17:50,  대호(디지털),  5,000원","20:35,  스타워즈: 깨어난 포스(디지털),  5,000원",,,,,,,44
2015-12-20,01관,"10:00,  히말라야(디지털),  5,000원","12:40,  히말라야(디지털),  5,000원","15:15,  스타워즈: 깨어난 포스(디지털),  5,000원","18:10,  히말라야(디지털),  5,000원","20:45,  히말라야(디지털),  5,000원",,,,,,53
2015-12-20,02관,"10:15,  대호(디지털),  5,000원","13:00,  대호(디지털),  5,000원","17:50,  대호(디지털),  5,000원","20:35,  스타워즈: 깨어난 포스(디지털),  5,000원",,,,,,,44
2015-12-21,01관,"10:00,  히말라야(디지털),  5,000원","12:40,  히말라야(디지털),  5,000원","15:15,  스타워즈: 깨어난 포스(3D 디지털),  8,000원","18:20,  히말라야(디지털),  5,000원","20:45,  히말라야(디지털),  5,000원",,,,,,53
2015-12-21,02관,"10:15,  대호(디지털),  5,000원","13:00,  대호(디지털),  5,000원","18:30,  대호(디지털),  5,000원","21:10,  스타워즈: 깨어난 포스(디지털),  5,000원",,,,,,,44
2015-12-22,01관,"10:00,  히말라야(디지털)","12:40,  히말라야(디지털),  5,000원","15:15,  스타워즈: 깨어난 포스(3D 디지털),  8,000원","18:20,  히말라야(디지털),  5,000원","20:45,  히말라야(디지털),  5,000원",,,,,,53
2015-12-22,02관,"10:15,  대호(디지털),  5,000원","13:00,  대호(디지털),  5,000원","18:30,  대호(디지털),  5,000원","21:10,  스타워즈: 깨어난 포스(디지털),  5,000원",,,,,,,44
2015-12-23,01관,"10:00,  어린왕자(디지털)","12:40,  히말라야(디지털),  5,000원","15:15,  스타워즈: 깨어난 포스(3D 디지털),  8,000원","18:20,  히말라야(디지털),  5,000원","20:45,  히말라야(디지털),  5,000원",,,,,,53
2015-12-23,02관,"10:10,  포켓몬 더 무비 XY 후파: 광륜의 초마신(디지털더빙),  5,000원","12:00,  대호(디지털),  5,000원","14:50,  대호(디지털),  5,000원","17:35,  대호(디지털),  5,000원","20:20,  스타워즈: 깨어난 포스(디지털),  5,000원",,,,,,44
2015-12-24,01관,"10:00,  어린왕자(디지털),  5,000원","12:40,  히말라야(디지털),  5,000원","15:15,  스타워즈: 깨어난 포스(3D 디지털),  8,000원","18:20,  히말라야(디지털),  5,000원","20:45,  히말라야(디지털),  5,000원",,,,,,53
