상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"10:30,  7인의 신부(필름),  2,000원","12:40,  7인의 신부(필름),  2,000원","14:50,  7인의 신부(필름),  2,000원","17:00,  7인의 신부(필름),  2,000원",,,,,139
2015-01-02,01관,"10:30,  7인의 신부(필름),  2,000원","12:40,  7인의 신부(필름),  2,000원","14:50,  7인의 신부(필름),  2,000원","17:00,  7인의 신부(필름),  2,000원",,,,,139
2015-01-03,01관,"10:30,  7인의 신부(필름),  2,000원","12:40,  7인의 신부(필름),  2,000원","14:50,  7인의 신부(필름),  2,000원","17:00,  7인의 신부(필름),  2,000원",,,,,139
2015-01-04,01관,"10:30,  황금광 시대(필름),  2,000원","12:20,  황금광 시대(필름),  2,000원","14:10,  황금광 시대(필름),  2,000원","16:00,  황금광 시대(필름),  2,000원",,,,,139
2015-01-05,01관,"10:30,  황금광 시대(필름),  2,000원","12:20,  황금광 시대(필름),  2,000원","14:10,  황금광 시대(필름),  2,000원","16:00,  황금광 시대(필름),  2,000원",,,,,139
2015-01-06,01관,"10:30,  황금광 시대(필름),  2,000원","12:20,  황금광 시대(필름),  2,000원","14:10,  황금광 시대(필름),  2,000원","16:00,  황금광 시대(필름),  2,000원",,,,,139
2015-01-07,01관,"10:30,  누구를 위하여 종은 울리나(디지털),  2,000원","13:40,  누구를 위하여 종은 울리나(디지털),  2,000원","16:50,  누구를 위하여 종은 울리나(디지털),  2,000원",,,,,,139
2015-01-08,01관,"10:30,  누구를 위하여 종은 울리나(디지털),  2,000원","13:40,  누구를 위하여 종은 울리나(디지털),  2,000원","16:50,  누구를 위하여 종은 울리나(디지털),  2,000원",,,,,,139
2015-01-09,01관,"10:30,  누구를 위하여 종은 울리나(디지털),  2,000원","13:40,  누구를 위하여 종은 울리나(디지털),  2,000원","16:50,  누구를 위하여 종은 울리나(디지털),  2,000원",,,,,,139
2015-01-10,01관,"10:30,  누구를 위하여 종은 울리나(디지털),  2,000원","13:40,  누구를 위하여 종은 울리나(디지털),  2,000원","16:50,  누구를 위하여 종은 울리나(디지털),  2,000원",,,,,,139
2015-01-11,01관,"10:30,  맨발의 청춘(필름),  2,000원","12:50,  맨발의 청춘(필름),  5,000원","15:10,  맨발의 청춘(필름),  7,000원","17:30,  맨발의 청춘(필름),  2,000원",,,,,139
2015-01-12,01관,"10:30,  맨발의 청춘(필름),  2,000원","12:50,  맨발의 청춘(필름),  2,000원","15:10,  맨발의 청춘(필름),  2,000원","17:30,  맨발의 청춘(필름),  2,000원",,,,,139
2015-01-13,01관,"10:30,  맨발의 청춘(필름),  2,000원","12:50,  맨발의 청춘(필름),  2,000원","15:10,  맨발의 청춘(필름),  2,000원","17:30,  맨발의 청춘(필름),  2,000원",,,,,139
2015-01-14,01관,"10:30,  돌아오지 않는 강(필름),  2,000원","12:21,  돌아오지 않는 강(필름),  2,000원","14:12,  돌아오지 않는 강(필름),  2,000원","16:03,  돌아오지 않는 강(필름),  2,000원",,,,,139
2015-01-15,01관,"10:30,  돌아오지 않는 강(필름),  2,000원","12:21,  돌아오지 않는 강(필름),  2,000원","14:12,  돌아오지 않는 강(필름),  7,000원","16:03,  돌아오지 않는 강(필름),  2,000원",,,,,139
2015-01-16,01관,"10:30,  돌아오지 않는 강(필름),  2,000원","12:21,  돌아오지 않는 강(필름),  2,000원","14:12,  돌아오지 않는 강(필름),  2,000원","16:03,  돌아오지 않는 강(필름),  2,000원",,,,,139
2015-01-17,01관,"10:30,  돌아오지 않는 강(필름),  2,000원","12:21,  돌아오지 않는 강(필름),  2,000원","14:12,  돌아오지 않는 강(필름),  2,000원","16:03,  돌아오지 않는 강(필름),  2,000원",,,,,139
2015-01-18,01관,"10:30,  안소니퀸의 길(필름),  2,000원","12:40,  안소니퀸의 길(필름),  2,000원","14:50,  안소니퀸의 길(필름),  2,000원","17:00,  안소니퀸의 길(필름),  2,000원",,,,,139
2015-01-19,01관,"10:30,  안소니퀸의 길(필름),  7,000원","12:40,  안소니퀸의 길(필름),  2,000원","14:50,  안소니퀸의 길(필름),  2,000원","17:00,  안소니퀸의 길(필름),  2,000원",,,,,139
2015-01-20,01관,"10:30,  안소니퀸의 길(필름),  7,000원","12:40,  안소니퀸의 길(필름),  2,000원","14:50,  안소니퀸의 길(필름),  7,000원","17:00,  안소니퀸의 길(필름),  7,000원",,,,,139
2015-01-21,01관,"10:30,  서부 개척사(필름),  2,000원","13:40,  서부 개척사(필름),  2,000원","16:50,  서부 개척사(필름),  2,000원",,,,,,139
2015-01-22,01관,"10:30,  서부 개척사(필름),  2,000원","13:40,  서부 개척사(필름),  2,000원","16:50,  서부 개척사(필름),  2,000원",,,,,,139
2015-01-23,01관,"10:30,  서부 개척사(필름),  2,000원","13:40,  서부 개척사(필름),  2,000원","16:50,  서부 개척사(필름),  2,000원",,,,,,139
2015-01-24,01관,"10:30,  서부 개척사(필름),  2,000원","13:40,  서부 개척사(필름),  2,000원","16:50,  서부 개척사(필름),  2,000원",,,,,,139
2015-01-25,01관,"10:30,  여인잔혹사 물레야 물레야(필름),  2,000원","12:30,  여인잔혹사 물레야 물레야(필름),  2,000원","14:30,  여인잔혹사 물레야 물레야(필름),  2,000원","16:30,  여인잔혹사 물레야 물레야(필름),  2,000원",,,,,139
2015-01-26,01관,"10:30,  여인잔혹사 물레야 물레야(필름),  2,000원","12:30,  여인잔혹사 물레야 물레야(필름),  2,000원","14:30,  여인잔혹사 물레야 물레야(필름),  2,000원","16:30,  여인잔혹사 물레야 물레야(필름),  2,000원",,,,,139
2015-01-27,01관,"10:30,  여인잔혹사 물레야 물레야(필름),  2,000원","12:30,  여인잔혹사 물레야 물레야(필름),  2,000원","14:30,  여인잔혹사 물레야 물레야(필름),  2,000원","16:30,  여인잔혹사 물레야 물레야(필름),  2,000원",,,,,139
2015-01-28,01관,"10:30,  황태자의 첫사랑(필름),  2,000원","12:40,  황태자의 첫사랑(필름),  2,000원","14:50,  황태자의 첫사랑(필름),  2,000원","17:00,  황태자의 첫사랑(필름),  2,000원",,,,,139
2015-01-29,01관,"10:30,  황태자의 첫사랑(필름),  2,000원","12:40,  황태자의 첫사랑(필름),  2,000원","14:50,  황태자의 첫사랑(필름),  2,000원","17:00,  황태자의 첫사랑(필름),  7,000원",,,,,139
2015-01-30,01관,"10:30,  황태자의 첫사랑(필름),  2,000원","12:40,  황태자의 첫사랑(필름),  2,000원","14:50,  황태자의 첫사랑(필름),  2,000원","17:00,  황태자의 첫사랑(필름),  2,000원",,,,,139
2015-01-31,01관,"10:30,  황태자의 첫사랑(필름),  2,000원","12:40,  황태자의 첫사랑(필름),  2,000원","14:50,  황태자의 첫사랑(필름),  2,000원","17:00,  황태자의 첫사랑(필름),  2,000원",,,,,139
2015-02-01,01관,"10:30,  십계(디지털),  2,000원","14:30,  십계(디지털),  2,000원","18:30,  십계(디지털),  2,000원",,,,,,139
2015-02-02,01관,"10:30,  십계(디지털),  2,000원","14:30,  십계(디지털),  2,000원","18:30,  십계(디지털),  2,000원",,,,,,139
2015-02-03,01관,"10:30,  십계(디지털),  2,000원","14:30,  십계(디지털),  2,000원","18:30,  십계(디지털),  2,000원",,,,,,139
2015-02-04,01관,"10:30,  썸머타임(필름),  2,000원","12:30,  썸머타임(필름),  2,000원","14:30,  썸머타임(필름),  2,000원","16:30,  썸머타임(필름),  2,000원",,,,,139
2015-02-05,01관,"10:30,  썸머타임(필름),  2,000원","12:30,  썸머타임(필름),  2,000원","14:30,  썸머타임(필름),  2,000원","16:30,  썸머타임(필름),  2,000원",,,,,139
2015-02-06,01관,"10:30,  썸머타임(필름),  2,000원","12:30,  썸머타임(필름),  2,000원","14:30,  썸머타임(필름),  2,000원","16:30,  썸머타임(필름),  2,000원",,,,,139
2015-02-07,01관,"10:30,  썸머타임(필름),  2,000원","12:30,  썸머타임(필름),  2,000원","14:30,  썸머타임(필름),  2,000원","16:30,  썸머타임(필름),  2,000원",,,,,139
2015-02-08,01관,"10:30,  시집 가는 날(필름),  2,000원","12:10,  시집 가는 날(필름),  2,000원","13:50,  시집 가는 날(필름),  2,000원","15:40,  시집 가는 날(필름),  2,000원",,,,,139
2015-02-09,01관,"10:30,  시집 가는 날(필름),  2,000원","12:10,  시집 가는 날(필름),  2,000원","13:50,  시집 가는 날(필름),  2,000원","15:40,  시집 가는 날(필름),  2,000원",,,,,139
2015-02-10,01관,"10:30,  시집 가는 날(필름),  2,000원","12:10,  시집 가는 날(필름),  2,000원","13:50,  시집 가는 날(필름),  2,000원","15:40,  시집 가는 날(필름)",,,,,139
2015-02-11,01관,"10:30,  하이 눈(필름),  7,000원","12:20,  하이 눈(필름),  2,000원","14:10,  하이 눈(필름),  2,000원","16:00,  하이 눈(필름),  2,000원",,,,,139
2015-02-12,01관,"10:30,  하이 눈(필름),  2,000원","12:20,  하이 눈(필름),  2,000원","14:10,  하이 눈(필름),  7,000원","16:00,  하이 눈(필름),  2,000원",,,,,139
2015-02-13,01관,"10:30,  하이 눈(필름),  2,000원","12:20,  하이 눈(필름),  7,000원","14:10,  하이 눈(필름),  2,000원","16:00,  하이 눈(필름),  2,000원",,,,,139
2015-02-14,01관,"10:30,  하이 눈(필름),  2,000원","12:20,  하이 눈(필름),  2,000원","14:10,  하이 눈(필름),  2,000원","16:00,  하이 눈(필름),  2,000원",,,,,139
2015-02-15,01관,"10:30,  삼손과 데릴라(필름),  2,000원","13:00,  삼손과 데릴라(필름),  2,000원","15:30,  삼손과 데릴라(필름),  2,000원",,,,,,139
2015-02-16,01관,"10:30,  삼손과 데릴라(필름),  2,000원","13:00,  삼손과 데릴라(필름),  2,000원","15:30,  삼손과 데릴라(필름),  2,000원",,,,,,139
2015-02-17,01관,"10:30,  삼손과 데릴라(필름),  2,000원","13:00,  삼손과 데릴라(필름),  2,000원","15:30,  삼손과 데릴라(필름),  2,000원",,,,,,139
2015-02-18,01관,"10:30,  미션(필름),  2,000원","13:00,  미션(필름),  2,000원","15:30,  미션(필름),  2,000원",,,,,,139
2015-02-19,01관,"10:30,  미션(필름),  2,000원","13:00,  미션(필름),  2,000원","15:30,  미션(필름),  7,000원",,,,,,139
2015-02-20,01관,"10:30,  미션(필름),  2,000원","13:00,  미션(필름),  2,000원","15:30,  미션(필름),  2,000원",,,,,,139
2015-02-21,01관,"10:30,  미션(필름),  2,000원","13:00,  미션(필름),  2,000원","15:30,  미션(필름),  7,000원",,,,,,139
2015-02-22,01관,"10:30,  위기의 여자(필름),  2,000원","12:50,  위기의 여자(필름),  2,000원","15:10,  위기의 여자(필름),  2,000원","17:30,  위기의 여자(필름),  2,000원",,,,,139
2015-02-23,01관,"10:30,  위기의 여자(필름),  2,000원","12:50,  위기의 여자(필름),  2,000원","15:10,  위기의 여자(필름),  2,000원","17:30,  위기의 여자(필름),  2,000원",,,,,139
2015-02-24,01관,"10:30,  위기의 여자(필름),  2,000원","12:50,  위기의 여자(필름),  2,000원","15:10,  위기의 여자(필름),  2,000원","17:30,  위기의 여자(필름),  2,000원",,,,,139
2015-02-25,01관,"10:30,  시네마 천국(필름),  2,000원","13:00,  시네마 천국(필름),  2,000원","15:30,  시네마 천국(필름),  2,000원",,,,,,139
2015-02-26,01관,"10:30,  시네마 천국(필름),  2,000원","13:00,  시네마 천국(필름),  2,000원","15:30,  시네마 천국(필름),  2,000원",,,,,,139
2015-02-27,01관,"10:30,  시네마 천국(필름),  2,000원","13:00,  시네마 천국(필름),  2,000원","15:30,  시네마 천국(필름),  7,000원",,,,,,139
2015-02-28,01관,"10:30,  시네마 천국(필름),  2,000원","13:00,  시네마 천국(필름),  2,000원","15:30,  시네마 천국(필름),  2,000원",,,,,,139
2015-03-01,01관,"10:30,  애꾸눈 잭(디지털),  2,000원","13:10,  애꾸눈 잭(디지털),  2,000원","15:50,  애꾸눈 잭(디지털),  2,000원",,,,,,139
2015-03-02,01관,"10:30,  애꾸눈 잭(디지털),  2,000원","13:10,  애꾸눈 잭(디지털),  2,000원","15:50,  애꾸눈 잭(디지털),  2,000원",,,,,,139
2015-03-03,01관,"10:30,  애꾸눈 잭(디지털),  2,000원","13:10,  애꾸눈 잭(디지털),  2,000원","15:50,  애꾸눈 잭(디지털),  2,000원",,,,,,139
2015-03-04,01관,"10:30,  페이톤 플레이스(디지털),  2,000원","13:30,  페이톤 플레이스(디지털),  2,000원","16:30,  페이톤 플레이스(디지털),  2,000원",,,,,,139
2015-03-05,01관,"10:30,  페이톤 플레이스(디지털),  2,000원","13:30,  페이톤 플레이스(디지털),  2,000원","16:30,  페이톤 플레이스(디지털),  2,000원",,,,,,139
2015-03-06,01관,"10:30,  페이톤 플레이스(디지털),  2,000원","13:30,  페이톤 플레이스(디지털),  2,000원","16:30,  페이톤 플레이스(디지털),  2,000원",,,,,,139
2015-03-07,01관,"10:30,  페이톤 플레이스(디지털),  2,000원","13:30,  페이톤 플레이스(디지털),  2,000원","16:30,  페이톤 플레이스(디지털),  7,000원",,,,,,139
2015-03-08,01관,"10:30,  청춘무정(필름),  7,000원","12:40,  청춘무정(필름),  2,000원","14:50,  청춘무정(필름),  2,000원","17:00,  청춘무정(필름),  2,000원",,,,,139
2015-03-09,01관,"10:30,  청춘무정(필름),  2,000원","12:40,  청춘무정(필름),  2,000원","14:50,  청춘무정(필름),  2,000원","17:00,  청춘무정(필름),  2,000원",,,,,139
2015-03-10,01관,"10:30,  청춘무정(필름),  2,000원","12:40,  청춘무정(필름),  2,000원","14:50,  청춘무정(필름),  2,000원","17:00,  청춘무정(필름),  2,000원",,,,,139
2015-03-11,01관,"10:30,  바이킹(필름),  2,000원","12:50,  바이킹(필름),  2,000원","15:10,  바이킹(필름),  2,000원","17:30,  바이킹(필름),  2,000원",,,,,139
2015-03-12,01관,"10:30,  바이킹(필름),  2,000원","12:50,  바이킹(필름),  2,000원","15:10,  바이킹(필름),  7,000원","17:30,  바이킹(필름),  2,000원",,,,,139
2015-03-13,01관,"10:30,  바이킹(필름),  2,000원","12:50,  바이킹(필름),  7,000원","15:10,  바이킹(필름),  2,000원","17:30,  바이킹(필름),  2,000원",,,,,139
2015-03-14,01관,"10:30,  바이킹(필름),  7,000원","12:50,  바이킹(필름),  2,000원","15:10,  바이킹(필름),  2,000원","17:30,  바이킹(필름),  2,000원",,,,,139
2015-03-15,01관,"10:30,  미니버 부인(디지털),  2,000원","13:10,  미니버 부인(디지털),  2,000원","15:50,  미니버 부인(디지털),  2,000원",,,,,,139
2015-03-16,01관,"10:30,  미니버 부인(디지털),  2,000원","13:10,  미니버 부인(디지털),  2,000원","15:50,  미니버 부인(디지털),  2,000원",,,,,,139
2015-03-17,01관,"10:30,  미니버 부인(디지털),  2,000원","13:10,  미니버 부인(디지털),  2,000원","15:50,  미니버 부인(디지털),  2,000원","18:30,  하숙집(디지털),  2,000원",,,,,139
2015-03-18,01관,"10:30,  가스등(필름),  2,000원","12:50,  가스등(필름),  2,000원","15:10,  가스등(필름),  7,000원","17:30,  가스등(필름),  7,000원",,,,,139
2015-03-19,01관,"10:30,  가스등(필름),  2,000원","12:50,  가스등(필름),  2,000원","15:10,  가스등(필름),  2,000원","17:30,  가스등(필름),  2,000원",,,,,139
2015-03-20,01관,"10:30,  가스등(필름),  2,000원","12:50,  가스등(필름),  2,000원","15:10,  가스등(필름),  7,000원","17:30,  가스등(필름),  2,000원",,,,,139
2015-03-21,01관,"10:30,  가스등(필름),  2,000원","12:50,  가스등(필름),  2,000원","15:10,  가스등(필름),  2,000원","17:30,  가스등(필름),  2,000원",,,,,139
2015-03-22,01관,"10:30,  나이아가라(필름),  2,000원","12:20,  나이아가라(필름),  7,000원","14:10,  나이아가라(필름),  2,000원","16:00,  나이아가라(필름),  2,000원","17:50,  나이아가라(필름),  2,000원",,,,139
2015-03-23,01관,"10:30,  나이아가라(필름),  2,000원","12:20,  나이아가라(필름),  2,000원","14:10,  나이아가라(필름),  2,000원","16:00,  나이아가라(필름),  2,000원","17:50,  나이아가라(필름),  2,000원",,,,139
2015-03-24,01관,"10:30,  나이아가라(필름),  2,000원","12:20,  나이아가라(필름),  2,000원","14:10,  나이아가라(필름),  2,000원","16:00,  나이아가라(필름),  2,000원","17:50,  나이아가라(필름),  2,000원",,,,139
2015-03-25,01관,"10:30,  사브리나(필름),  2,000원","12:50,  사브리나(필름),  2,000원","15:10,  사브리나(필름),  2,000원","17:30,  사브리나(필름),  2,000원","19:50,  착한 여자(디지털),  2,000원",,,,139
