상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2016-12-12,01관,"22:00,  킹콩(필름)",,,,,,40
2016-12-13,01관,"10:50,  라라랜드(디지털),  6,000원","14:30,  나, 다니엘 블레이크(디지털),  8,000원","19:20,  라라랜드(디지털),  8,000원",,,,40
2016-12-14,01관,"11:00,  나, 다니엘 블레이크(디지털),  6,000원","13:40,  라라랜드(디지털),  8,000원","19:30,  나, 다니엘 블레이크(디지털),  7,000원",,,,40
2016-12-15,01관,"10:30,  라라랜드(디지털)","14:00,  나, 다니엘 블레이크(디지털),  8,000원","19:30,  라라랜드(디지털),  8,000원",,,,40
2016-12-16,01관,"10:40,  나, 다니엘 블레이크(디지털),  6,000원","14:00,  라라랜드(디지털)","19:00,  나, 다니엘 블레이크(디지털),  9,000원",,,,40
2016-12-17,01관,"10:30,  라라랜드(디지털)",,"19:30,  라라랜드(디지털),  9,000원",,,,40
2016-12-18,01관,"10:50,  나, 다니엘 블레이크(디지털),  6,000원","13:00,  라라랜드(디지털),  8,000원","15:40,  라라랜드(디지털),  9,000원","18:20,  라라랜드(디지털),  9,000원",,,40
2016-12-19,01관,"10:40,  나, 다니엘 블레이크(디지털),  6,000원","13:50,  나, 다니엘 블레이크(디지털),  8,000원",,"19:20,  나, 다니엘 블레이크(디지털),  8,000원",,,40
2016-12-20,01관,"10:30,  나, 다니엘 블레이크(디지털),  6,000원",,,"19:50,  나, 다니엘 블레이크(디지털),  8,000원",,,40
2016-12-21,01관,"10:30,  나, 다니엘 블레이크(디지털),  6,000원",,,"19:30,  나, 다니엘 블레이크(디지털),  8,000원",,,40
2016-12-22,01관,"10:30,  라라랜드(디지털),  6,000원",,,,"19:50,  라라랜드(디지털),  8,000원",,40
2016-12-23,01관,"10:30,  에곤 쉴레: 욕망이 그린 그림(디지털),  6,000원",,,,,,40
2016-12-24,01관,"11:00,  나, 다니엘 블레이크(디지털),  6,000원",,,,,,40
2016-12-25,01관,"10:40,  나, 다니엘 블레이크(디지털),  6,000원",,,,,,40
2016-12-26,01관,"10:30,  나의 위대한 친구, 세잔(디지털),  6,000원",,,,,,40
2016-12-27,01관,"10:40,  에곤 쉴레: 욕망이 그린 그림(디지털),  6,000원",,,,,,40
2016-12-28,01관,"10:30,  나의 위대한 친구, 세잔(디지털),  6,000원",,,,,,40
2016-12-29,01관,"10:40,  에곤 쉴레: 욕망이 그린 그림(디지털),  6,000원",,"15:00,  에곤 쉴레: 욕망이 그린 그림(디지털),  8,000원",,,,40
2016-12-30,01관,"10:40,  나의 위대한 친구, 세잔(디지털),  6,000원",,,,,,40
2016-12-31,01관,"10:40,  우리들(디지털),  6,000원",,,,,,40
2017-01-01,01관,"10:20,  에곤 쉴레: 욕망이 그린 그림(디지털),  6,000원",,,"16:50,  나, 다니엘 블레이크(디지털),  9,000원",,,40
