상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"10:50,  극장판 파이널 (디지털),  6,000원","11:50,  호빗: 다섯 군대 전투(디지털),  6,000원","14:30,  기술자들(디지털),  7,000원","16:30,  호빗: 다섯 군대 전투(디지털),  7,000원","19:00,  기술자들(디지털),  7,000원","21:00,  호빗: 다섯 군대 전투(디지털),  7,000원",,,,,283
2015-01-02,01관,"10:50,  극장판 파이널 (디지털),  6,000원","11:50,  호빗: 다섯 군대 전투(디지털),  7,000원","14:30,  기술자들(디지털),  7,000원","16:30,  호빗: 다섯 군대 전투(디지털),  7,000원","19:00,  기술자들(디지털),  7,000원","21:00,  호빗: 다섯 군대 전투(디지털),  7,000원",,,,,283
2015-01-03,01관,"10:50,  극장판 파이널 (디지털),  6,000원","11:50,  호빗: 다섯 군대 전투(디지털),  7,000원","14:30,  기술자들(디지털),  7,000원","16:30,  호빗: 다섯 군대 전투(디지털),  7,000원","19:00,  기술자들(디지털),  7,000원","21:00,  호빗: 다섯 군대 전투(디지털),  7,000원",,,,,283
2015-01-04,01관,"10:50,  극장판 파이널 (디지털),  6,000원","11:50,  호빗: 다섯 군대 전투(디지털),  7,000원","14:30,  기술자들(디지털),  7,000원","16:30,  호빗: 다섯 군대 전투(디지털),  7,000원","19:00,  기술자들(디지털),  7,000원","21:00,  호빗: 다섯 군대 전투(디지털),  6,000원",,,,,283
2015-01-05,01관,"10:50,  극장판 파이널 (디지털),  6,000원","11:50,  호빗: 다섯 군대 전투(디지털)","14:30,  기술자들(디지털)","16:30,  호빗: 다섯 군대 전투(디지털),  6,000원","19:00,  기술자들(디지털),  7,000원","21:00,  호빗: 다섯 군대 전투(디지털),  7,000원",,,,,283
2015-01-06,01관,"10:50,  극장판 파이널 (디지털),  6,000원","11:50,  호빗: 다섯 군대 전투(디지털)","14:30,  기술자들(디지털),  7,000원","16:30,  호빗: 다섯 군대 전투(디지털)","19:00,  기술자들(디지털),  7,000원","21:00,  호빗: 다섯 군대 전투(디지털)","23:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  4,000원",,,,283
2015-01-07,01관,"10:50,  극장판 파이널 (디지털),  6,000원","11:50,  호빗: 다섯 군대 전투(디지털),  7,000원","14:30,  기술자들(디지털),  7,000원","16:30,  호빗: 다섯 군대 전투(디지털)","19:00,  기술자들(디지털)","21:00,  호빗: 다섯 군대 전투(디지털)",,,,,283
2015-01-08,01관,"11:30,  기술자들(디지털)","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","14:40,  호빗: 다섯 군대 전투(디지털)","17:00,  기술자들(디지털)","19:00,  호빗: 다섯 군대 전투(디지털)","21:20,  기묘한 서커스(필름)",,,,,283
2015-01-09,01관,"11:30,  기술자들(디지털)","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","14:40,  호빗: 다섯 군대 전투(디지털),  7,000원","17:00,  기술자들(디지털),  7,000원","19:00,  호빗: 다섯 군대 전투(디지털),  7,000원","21:20,  기묘한 서커스(필름)",,,,,283
2015-01-10,01관,"11:30,  기술자들(디지털),  7,000원","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","14:40,  호빗: 다섯 군대 전투(디지털),  7,000원","17:00,  기술자들(디지털),  7,000원","19:00,  호빗: 다섯 군대 전투(디지털),  7,000원","21:20,  기술자들(디지털),  7,000원",,,,,283
2015-01-11,01관,"11:30,  기술자들(디지털),  7,000원","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","14:40,  호빗: 다섯 군대 전투(디지털),  7,000원","17:00,  기술자들(디지털),  7,000원","19:00,  호빗: 다섯 군대 전투(디지털),  6,000원","21:20,  기술자들(디지털),  6,000원",,,,,283
2015-01-12,01관,"11:30,  기술자들(디지털)","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","14:40,  호빗: 다섯 군대 전투(디지털)","17:00,  기술자들(디지털),  7,000원","19:00,  호빗: 다섯 군대 전투(디지털),  7,000원","21:20,  기술자들(디지털),  7,000원",,,,,283
2015-01-13,01관,"11:30,  기술자들(디지털)","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","14:40,  호빗: 다섯 군대 전투(디지털)","17:00,  기술자들(디지털)","19:00,  호빗: 다섯 군대 전투(디지털)","21:20,  기술자들(디지털)",,,,,283
2015-01-14,01관,"12:00,  허삼관(디지털),  7,000원","14:15,  허삼관(디지털)","16:30,  허삼관(디지털),  7,000원","18:45,  허삼관(디지털),  7,000원","21:00,  허삼관(디지털),  7,000원",,,,,,283
2015-01-15,01관,"11:00,  허삼관(디지털)","13:00,  허삼관(디지털)","15:00,  허삼관(디지털),  7,000원","17:00,  허삼관(디지털),  7,000원","19:00,  허삼관(디지털),  7,000원","21:00,  허삼관(디지털),  7,000원",,,,,283
