상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"12:30,  맵 투 더 스타(디지털),  7,000원","14:30,  쿼바디스(디지털),  7,000원","16:30,  클라우즈 오브 실스마리아(디지털),  7,000원","18:40,  하이킥 엔젤스(디지털),  7,000원","20:20,  내일을 위한 시간(디지털),  7,000원",,,,,,126
2015-01-02,01관,"12:30,  하이킥 엔젤스(디지털)","14:10,  내일을 위한 시간(디지털),  7,000원","16:00,  하울의 움직이는 성(디지털),  7,000원","18:10,  쿼바디스(디지털),  7,000원","20:10,  클라우즈 오브 실스마리아(디지털),  7,000원",,,,,,126
2015-01-03,01관,"12:30,  클라우즈 오브 실스마리아(디지털),  7,000원","14:40,  하이킥 엔젤스(디지털),  7,000원","16:20,  내일을 위한 시간(디지털),  7,000원","18:10,  맵 투 더 스타(디지털),  7,000원","20:10,  쿼바디스(디지털),  7,000원",,,,,,126
2015-01-04,01관,"12:30,  하울의 움직이는 성(디지털더빙),  7,000원","14:40,  쿼바디스(디지털),  7,000원","16:40,  하이킥 엔젤스(디지털)","18:20,  내일을 위한 시간(디지털),  7,000원","20:10,  클라우즈 오브 실스마리아(디지털),  7,000원",,,,,,126
2015-01-05,01관,"12:30,  쿼바디스(디지털),  7,000원","14:30,  무드 인디고(디지털),  7,000원","16:20,  맵 투 더 스타(디지털),  7,000원","18:20,  하이킥 엔젤스(디지털),  7,000원","20:00,  내일을 위한 시간(디지털),  7,000원",,,,,,126
2015-01-06,01관,"12:30,  하이킥 엔젤스(디지털)","14:10,  내일을 위한 시간(디지털),  7,000원","16:00,  쿼바디스(디지털),  7,000원","18:00,  하울의 움직이는 성(디지털),  7,000원","20:10,  맵 투 더 스타(디지털),  7,000원",,,,,,126
2015-01-07,01관,"12:30,  그 사람 그 사랑 그 세상(디지털),  7,000원","14:10,  하이킥 엔젤스(디지털),  7,000원","15:50,  내일을 위한 시간(디지털),  7,000원","17:40,  쿼바디스(디지털),  7,000원","19:40,  무드 인디고(디지털),  7,000원",,,,,,126
2015-01-08,01관,"12:30,  하이킥 엔젤스(디지털)","14:10,  나의 사적인 여자친구(디지털),  7,000원","16:10,  쿼바디스(디지털),  7,000원","18:10,  설해(디지털)","20:10,  바티칸 뮤지엄(디지털),  7,000원",,,,,,126
2015-01-09,01관,"12:30,  쿼바디스(디지털),  7,000원","14:30,  내일을 위한 시간(디지털),  7,000원","16:20,  나의 사적인 여자친구(디지털),  7,000원","18:20,  바티칸 뮤지엄(디지털),  7,000원","19:40,  설해(디지털),  7,000원",,,,,,126
2015-01-10,01관,"12:30,  바티칸 뮤지엄(디지털),  7,000원","13:50,  쿼바디스(디지털),  7,000원","15:50,  내일을 위한 시간(디지털),  7,000원","17:40,  설해(디지털)","19:40,  나의 사적인 여자친구(디지털),  7,000원",,,,,,126
2015-01-11,01관,"12:30,  나의 사적인 여자친구(디지털),  7,000원","14:30,  바티칸 뮤지엄(디지털),  7,000원","15:50,  쿼바디스(디지털),  7,000원","17:50,  무드 인디고(디지털),  7,000원","19:40,  설해(디지털)",,,,,,126
2015-01-13,01관,"12:30,  내일을 위한 시간(디지털),  7,000원","14:20,  설해(디지털),  7,000원","16:20,  다이빙벨(디지털),  7,000원","18:00,  나의 사적인 여자친구(디지털),  7,000원","20:00,  바티칸 뮤지엄(디지털),  7,000원",,,,,,126
2015-01-14,01관,"12:30,  쿼바디스(디지털),  7,000원","14:30,  내일을 위한 시간(디지털),  7,000원","16:20,  설해(디지털),  7,000원","18:20,  무드 인디고(디지털),  7,000원","20:10,  나의 사적인 여자친구(디지털),  7,000원",,,,,,126
2015-01-15,01관,"12:30,  다이빙벨(디지털),  7,000원","14:00,  이별까지 7일(디지털),  7,000원","16:10,  좀비 파이트 클럽(디지털),  7,000원","18:00,  미라클 여행기(디지털),  7,000원","19:30,  아이 킬드 마이 마더(디지털),  7,000원",,,,,,126
2015-01-16,01관,"12:30,  아이 킬드 마이 마더(디지털),  7,000원","14:20,  미라클 여행기(디지털),  7,000원","16:00,  이별까지 7일(디지털),  7,000원","18:10,  좀비 파이트 클럽(디지털),  7,000원","20:00,  나의 사적인 여자친구(디지털)",,,,,,126
2015-01-17,01관,"12:30,  바티칸 뮤지엄(디지털),  7,000원","13:50,  아이 킬드 마이 마더(디지털),  7,000원","15:40,  나의 사적인 여자친구(디지털),  7,000원","17:40,  이별까지 7일(디지털),  7,000원","19:50,  좀비 파이트 클럽(디지털),  7,000원",,,,,,126
2015-01-18,01관,"12:30,  좀비 파이트 클럽(디지털),  7,000원","14:20,  쿼바디스(디지털),  7,000원","16:20,  아이 킬드 마이 마더(디지털),  7,000원","18:10,  미라클 여행기(디지털),  7,000원","19:50,  이별까지 7일(디지털),  7,000원",,,,,,126
2015-01-19,01관,"12:30,  이별까지 7일(디지털),  7,000원","14:40,  좀비 파이트 클럽(디지털),  7,000원","16:30,  설해(디지털),  7,000원","18:30,  아이 킬드 마이 마더(디지털),  7,000원","20:20,  미라클 여행기(디지털),  7,000원",,,,,,126
