상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-01-01,1관,"08:50,  테이큰 3(디지털),  6,000원","11:05,  테이큰 3(디지털),  10,000원","13:20,  테이큰 3(디지털),  10,000원","15:35,  테이큰 3(디지털),  10,000원","17:50,  테이큰 3(디지털),  10,000원","20:05,  기술자들(디지털),  10,000원","22:20,  테이큰 3(디지털),  10,000원","24:35,  테이큰 3(디지털),  9,000원",,,,164
2015-01-01,2관,"08:40,  마다가스카의 펭귄(디지털더빙),  6,000원","10:40,  마다가스카의 펭귄(디지털더빙),  10,000원","12:40,  마다가스카의 펭귄(디지털더빙),  10,000원","14:40,  마다가스카의 펭귄(디지털더빙),  10,000원","16:40,  국제시장(디지털),  10,000원","19:15,  국제시장(디지털),  10,000원","21:50,  국제시장(디지털),  10,000원","24:25,  국제시장(디지털),  9,000원",,,,142
2015-01-01,3관(수퍼4D),"09:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:25,  인터스텔라(디지털),  10,000원","14:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","16:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:20,  테이큰 3(디지털),  10,000원","20:35,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","24:25,  상의원(디지털),  9,000원",,,,100
2015-01-01,4관,"08:30,  호빗: 다섯 군대 전투(디지털),  6,000원","11:20,  호빗: 다섯 군대 전투(디지털),  10,000원","14:10,  호빗: 다섯 군대 전투(디지털),  10,000원","17:00,  호빗: 다섯 군대 전투(디지털),  10,000원","19:50,  호빗: 다섯 군대 전투(디지털),  10,000원","22:40,  호빗: 다섯 군대 전투(디지털),  10,000원","25:30,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,,132
2015-01-01,5관,"07:40,  국제시장(디지털),  6,000원","10:15,  기술자들(디지털),  10,000원","12:40,  국제시장(디지털),  10,000원","15:15,  국제시장(디지털),  10,000원","17:50,  국제시장(디지털),  10,000원","20:25,  테이큰 3(디지털),  10,000원","22:40,  국제시장(디지털),  10,000원","25:15,  국제시장(디지털),  9,000원",,,,332
2015-01-01,6관,"08:20,  기술자들(디지털),  6,000원","10:45,  국제시장(디지털),  10,000원","13:20,  기술자들(디지털),  10,000원","15:45,  기술자들(디지털),  10,000원","18:10,  기술자들(디지털),  10,000원","20:35,  국제시장(디지털),  10,000원","23:10,  기술자들(디지털),  9,000원","25:35,  기술자들(디지털),  9,000원",,,,184
2015-01-02,1관,"08:50,  테이큰 3(디지털),  6,000원","11:05,  테이큰 3(디지털),  10,000원","13:20,  테이큰 3(디지털),  10,000원","15:35,  테이큰 3(디지털),  10,000원","17:50,  국제시장(디지털),  10,000원","20:25,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  9,000원","25:35,  국제시장(디지털),  9,000원",,,,164
2015-01-02,2관,"09:40,  마다가스카의 펭귄(디지털더빙),  6,000원","11:40,  마다가스카의 펭귄(디지털더빙),  10,000원","13:40,  마다가스카의 펭귄(디지털더빙),  10,000원","15:40,  마다가스카의 펭귄(디지털더빙),  10,000원","17:40,  테이큰 3(디지털),  10,000원","19:55,  테이큰 3(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:25,  테이큰 3(디지털),  9,000원",,,,142
2015-01-02,3관(수퍼4D),"09:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:15,  인터스텔라(디지털),  10,000원","14:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","16:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:10,  테이큰 3(디지털),  10,000원","20:25,  테이큰 3(디지털),  10,000원","22:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","24:35,  상의원(디지털),  9,000원",,,,100
2015-01-02,4관,"08:00,  호빗: 다섯 군대 전투(디지털),  6,000원","10:50,  호빗: 다섯 군대 전투(디지털),  10,000원","13:40,  호빗: 다섯 군대 전투(디지털),  10,000원","16:30,  호빗: 다섯 군대 전투(디지털),  10,000원","19:20,  호빗: 다섯 군대 전투(디지털),  10,000원","22:10,  호빗: 다섯 군대 전투(디지털),  10,000원","25:00,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,,132
2015-01-02,5관,"09:00,  국제시장(디지털),  6,000원","11:35,  국제시장(디지털),  10,000원","14:10,  국제시장(디지털),  10,000원","16:45,  국제시장(디지털),  10,000원","19:20,  국제시장(디지털),  10,000원","21:55,  국제시장(디지털),  10,000원","24:30,  국제시장(디지털),  9,000원",,,,,332
2015-01-02,6관,"08:30,  기술자들(디지털),  6,000원","10:55,  기술자들(디지털),  10,000원","13:20,  기술자들(디지털),  10,000원","15:45,  기술자들(디지털),  10,000원","18:10,  기술자들(디지털),  10,000원","20:35,  기술자들(디지털),  10,000원","23:00,  기술자들(디지털),  9,000원","25:25,  기술자들(디지털),  9,000원",,,,184
2015-01-03,1관,"08:50,  테이큰 3(디지털),  6,000원","11:05,  마다가스카의 펭귄(디지털더빙),  10,000원","13:20,  테이큰 3(디지털),  10,000원","15:35,  테이큰 3(디지털),  10,000원","17:50,  국제시장(디지털),  10,000원","20:25,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  9,000원","25:35,  국제시장(디지털),  9,000원",,,,164
2015-01-03,2관,"09:40,  마다가스카의 펭귄(디지털더빙),  6,000원","11:40,  마다가스카의 펭귄(디지털더빙),  10,000원","13:40,  마다가스카의 펭귄(디지털더빙),  10,000원","15:40,  마다가스카의 펭귄(디지털더빙),  10,000원","17:40,  테이큰 3(디지털),  10,000원","19:55,  테이큰 3(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:25,  테이큰 3(디지털),  9,000원",,,,142
2015-01-03,3관(수퍼4D),"09:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:15,  인터스텔라(디지털),  10,000원","14:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","16:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:10,  인터스텔라(디지털),  10,000원","21:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","25:15,  상의원(디지털),  9,000원",,,,100
2015-01-03,4관,"08:00,  호빗: 다섯 군대 전투(디지털),  6,000원","10:50,  호빗: 다섯 군대 전투(디지털),  10,000원","13:40,  호빗: 다섯 군대 전투(디지털),  10,000원","16:30,  호빗: 다섯 군대 전투(디지털),  10,000원","19:20,  호빗: 다섯 군대 전투(디지털),  10,000원","22:10,  호빗: 다섯 군대 전투(디지털),  10,000원","25:00,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,,132
2015-01-03,5관,"09:00,  국제시장(디지털),  6,000원","11:35,  국제시장(디지털),  10,000원","14:10,  국제시장(디지털),  10,000원","16:45,  국제시장(디지털),  10,000원","19:20,  국제시장(디지털),  10,000원","21:55,  국제시장(디지털),  10,000원","24:30,  국제시장(디지털),  9,000원",,,,,332
