상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2015-01-01,샤롯데,"10:25,  국제시장(디지털),  10,000원","13:00,  더 테너 리리코 스핀토(디지털),  10,000원","15:25,  국제시장(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:35,  국제시장(디지털),  10,000원","23:10,  국제시장(디지털),  10,000원","25:45,  국제시장(디지털)",,,,,,32
2015-01-02,샤롯데,"10:25,  국제시장(디지털),  10,000원","13:00,  더 테너 리리코 스핀토(디지털),  10,000원","15:25,  국제시장(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:35,  국제시장(디지털),  10,000원","23:10,  국제시장(디지털),  10,000원","25:45,  국제시장(디지털)",,,,,,32
2015-01-03,샤롯데,"09:00,  국제시장(디지털),  10,000원","11:35,  더 테너 리리코 스핀토(디지털),  10,000원","14:00,  국제시장(디지털),  10,000원","16:35,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","21:45,  국제시장(디지털),  10,000원","24:20,  국제시장(디지털),  10,000원","26:55,  국제시장(디지털)",,,,,32
2015-01-04,샤롯데,"09:00,  국제시장(디지털),  10,000원","11:35,  더 테너 리리코 스핀토(디지털)","14:00,  국제시장(디지털),  10,000원","16:35,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","21:45,  국제시장(디지털),  10,000원","24:20,  국제시장(디지털),  10,000원",,,,,,32
2015-01-05,샤롯데,"10:25,  국제시장(디지털),  9,000원","13:00,  더 테너 리리코 스핀토(디지털)","15:25,  국제시장(디지털),  9,000원","18:00,  국제시장(디지털),  9,000원","20:35,  국제시장(디지털),  9,000원","23:10,  국제시장(디지털)",,,,,,,32
2015-01-06,샤롯데,"11:25,  국제시장(디지털),  9,000원","13:55,  국제시장(디지털),  9,000원","16:25,  국제시장(디지털),  9,000원","19:00,  국제시장(디지털),  9,000원","21:35,  국제시장(디지털),  9,000원","24:10,  국제시장(디지털)",,,,,,,32
2015-01-07,샤롯데,"11:30,  언브로큰(디지털),  9,000원","14:20,  국제시장(디지털),  9,000원","17:00,  국제시장(디지털),  9,000원","20:10,  고양이 장례식(디지털)","22:30,  언브로큰(디지털),  9,000원",,,,,,,,32
2015-01-08,샤롯데,"10:00,  언브로큰(디지털),  9,000원","12:50,  국제시장(디지털),  9,000원","15:25,  언브로큰(디지털),  9,000원","18:15,  국제시장(디지털),  9,000원","20:50,  언브로큰(디지털),  9,000원",,"23:40,  국제시장(디지털),  9,000원",,,,,,32
2015-01-09,샤롯데,"09:50,  테이큰 3(디지털)","12:10,  국제시장(디지털)","15:00,  국제시장(디지털),  10,000원","17:35,  국제시장(디지털),  10,000원","20:10,  국제시장(디지털),  10,000원","22:45,  테이큰 3(디지털),  10,000원","25:05,  국제시장(디지털),  10,000원",,,,,,32
2015-01-10,샤롯데,"10:00,  국제시장(디지털),  10,000원","12:35,  국제시장(디지털),  10,000원","15:10,  국제시장(디지털),  10,000원","17:45,  국제시장(디지털),  10,000원","20:20,  국제시장(디지털),  10,000원","22:55,  국제시장(디지털),  10,000원","25:30,  국제시장(디지털)",,,,,,32
