상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"09:00,  개를 훔치는 완벽한 방법(디지털),  6,000원","11:00,  테이큰 3(디지털),  9,000원","13:15,  국제시장(디지털),  9,000원","15:40,  마다가스카의 펭귄(디지털더빙),  9,000원","17:30,  개를 훔치는 완벽한 방법(디지털),  9,000원","19:30,  테이큰 3(디지털),  9,000원","21:45,  개를 훔치는 완벽한 방법(디지털),  9,000원","23:45,  테이큰 3(디지털),  9,000원",,203
2015-01-01,02관,"09:20,  국제시장(디지털),  6,000원","11:40,  마다가스카의 펭귄(디지털더빙),  9,000원","13:30,  마다가스카의 펭귄(디지털더빙),  9,000원","15:20,  국제시장(디지털),  9,000원","17:40,  국제시장(디지털),  9,000원","20:00,  국제시장(디지털),  9,000원","22:30,  국제시장(디지털),  9,000원",,,170
2015-01-02,01관,"09:40,  국제시장(디지털),  6,000원","12:00,  개를 훔치는 완벽한 방법(디지털),  9,000원","14:00,  마다가스카의 펭귄(디지털더빙),  9,000원","16:00,  개를 훔치는 완벽한 방법(디지털),  9,000원","18:00,  개를 훔치는 완벽한 방법(디지털),  9,000원","20:00,  테이큰 3(디지털),  9,000원","22:30,  국제시장(디지털),  9,000원",,,203
2015-01-02,02관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","10:45,  테이큰 3(디지털),  9,000원","13:00,  마다가스카의 펭귄(디지털더빙),  9,000원","14:45,  국제시장(디지털),  9,000원","17:05,  국제시장(디지털),  9,000원","19:25,  국제시장(디지털),  9,000원","21:45,  국제시장(디지털),  9,000원","24:05,  테이큰 3(디지털),  9,000원",,170
2015-01-03,01관,"09:30,  국제시장(디지털),  6,000원","12:00,  국제시장(디지털),  9,000원","14:25,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  개를 훔치는 완벽한 방법(디지털),  9,000원","18:20,  테이큰 3(디지털),  9,000원","20:40,  테이큰 3(디지털),  9,000원","23:30,  국제시장(디지털),  9,000원",,,203
2015-01-03,02관,"09:40,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  개를 훔치는 완벽한 방법(디지털),  9,000원","13:25,  마다가스카의 펭귄(디지털더빙),  9,000원","15:15,  국제시장(디지털),  9,000원","17:40,  국제시장(디지털),  9,000원","20:05,  국제시장(디지털),  9,000원","22:30,  국제시장(디지털),  9,000원",,,170
2015-01-04,01관,"09:30,  국제시장(디지털),  6,000원","12:00,  국제시장(디지털),  9,000원","14:25,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  개를 훔치는 완벽한 방법(디지털),  9,000원","18:20,  테이큰 3(디지털),  9,000원","20:40,  테이큰 3(디지털),  9,000원","23:30,  국제시장(디지털),  9,000원",,,203
2015-01-04,02관,"09:40,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  개를 훔치는 완벽한 방법(디지털),  9,000원","13:25,  마다가스카의 펭귄(디지털더빙),  9,000원","15:15,  국제시장(디지털),  9,000원","17:40,  국제시장(디지털),  9,000원","20:05,  국제시장(디지털),  9,000원","22:30,  국제시장(디지털),  9,000원",,,170
2015-01-05,01관,"09:40,  국제시장(디지털),  6,000원","12:15,  마다가스카의 펭귄(디지털더빙),  9,000원","14:00,  마다가스카의 펭귄(디지털더빙),  9,000원","15:45,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:25,  개를 훔치는 완벽한 방법(디지털),  9,000원","19:40,  테이큰 3(디지털),  9,000원","21:50,  테이큰 3(디지털),  9,000원","24:00,  국제시장(디지털),  9,000원",,203
2015-01-05,02관,"09:00,  개를 훔치는 완벽한 방법(디지털),  6,000원","11:00,  테이큰 3(디지털),  9,000원","13:10,  개를 훔치는 완벽한 방법(디지털),  9,000원","15:15,  국제시장(디지털),  9,000원","17:35,  국제시장(디지털),  9,000원","19:55,  국제시장(디지털),  9,000원","22:15,  국제시장(디지털),  9,000원",,,170
