상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-09-03,01관,"11:30,  간신(디지털)","14:20,  스트레이트 아웃 오브 컴턴(디지털),  0원","17:30,  간신(디지털),  0원",,,,,,,,74
2015-09-03,02관,"13:50,  터미네이터 제니시스(디지털),  0원","16:50,  터미네이터 제니시스(디지털),  0원","19:50,  함정(디지털),  0원",,,,,,,,156
2015-09-03,03관,"12:50,  미쓰 와이프(디지털)","15:40,  셀프/리스(디지털),  0원","18:20,  피케이: 별에서 온 얼간이(디지털),  0원",,,,,,,,120
2015-09-03,04관,"13:20,  극장판 요괴워치: 탄생의 비밀이다냥!(디지털더빙)","16:20,  미쓰 와이프(디지털),  0원","19:10,  오피스(디지털),  0원",,,,,,,,203
2015-09-03,05관,"12:10,  심야식당(디지털)","15:10,  미션 임파서블: 로그네이션(디지털),  0원","18:40,  미션 임파서블: 로그네이션(디지털),  0원",,,,,,,,118
2015-09-03,06관,"14:40,  명탐정 코난 : 화염의 해바라기(디지털더빙),  0원","17:10,  치외법권(디지털),  0원","19:30,  사도(디지털),  0원",,,,,,,,218
2015-09-04,01관,"09:10,  오피스(디지털),  6,000원","11:25,  히트맨: 에이전트 47(디지털)","13:30,  미쓰 와이프(디지털),  10,000원","16:00,  오피스(디지털),  10,000원","18:15,  히트맨: 에이전트 47(디지털),  10,000원","20:20,  오피스(디지털),  10,000원","22:35,  히트맨: 에이전트 47(디지털),  10,000원","24:40,  오피스(디지털),  10,000원",,,74
2015-09-04,02관,"09:40,  베테랑(디지털),  6,000원","12:10,  베테랑(디지털),  10,000원","14:40,  베테랑(디지털),  10,000원","17:10,  베테랑(디지털),  10,000원","19:40,  베테랑(디지털),  10,000원","22:10,  베테랑(디지털),  10,000원","24:40,  베테랑(디지털),  10,000원",,,,156
2015-09-04,03관,"08:30,  뷰티 인사이드(디지털),  6,000원","11:05,  암살(디지털),  10,000원","13:50,  뷰티 인사이드(디지털),  10,000원","16:25,  암살(디지털),  10,000원","19:10,  뷰티 인사이드(디지털),  10,000원","21:45,  암살(디지털),  10,000원","24:30,  뷰티 인사이드(디지털),  10,000원",,,,120
2015-09-04,04관,"09:00,  앤트맨(디지털),  6,000원","11:25,  앤트맨(디지털),  10,000원","13:50,  베테랑(디지털),  10,000원","16:15,  앤트맨(디지털),  10,000원","18:40,  베테랑(디지털),  10,000원","21:05,  앤트맨(디지털),  10,000원","23:30,  베테랑(디지털),  10,000원",,,,203
2015-09-04,05관,"10:00,  암살(디지털),  6,000원","12:45,  갤로우즈(디지털),  10,000원","14:30,  앤트맨(디지털),  10,000원","16:55,  앤트맨(디지털),  10,000원","19:20,  앤트맨(디지털),  10,000원","21:45,  앤트맨(디지털),  10,000원","24:10,  갤로우즈(디지털),  8,000원",,,,118
2015-09-04,06관,"10:20,  앤트맨(디지털),  6,000원","12:45,  앤트맨(디지털),  10,000원","15:10,  앤트맨(디지털),  10,000원","17:35,  앤트맨(디지털),  10,000원","20:00,  앤트맨(디지털),  10,000원","22:25,  앤트맨(디지털),  10,000원","24:50,  앤트맨(디지털),  10,000원",,,,218
2015-09-05,01관,"09:10,  오피스(디지털),  6,000원","11:25,  히트맨: 에이전트 47(디지털),  10,000원","13:30,  미쓰 와이프(디지털),  10,000원","16:00,  오피스(디지털),  10,000원","18:15,  히트맨: 에이전트 47(디지털),  10,000원","20:20,  오피스(디지털),  10,000원","22:35,  히트맨: 에이전트 47(디지털),  10,000원","24:40,  오피스(디지털),  10,000원",,,74
2015-09-05,02관,"09:40,  베테랑(디지털),  6,000원","12:10,  베테랑(디지털),  10,000원","14:40,  베테랑(디지털),  10,000원","17:10,  베테랑(디지털),  10,000원","19:40,  베테랑(디지털),  10,000원","22:10,  베테랑(디지털),  10,000원","24:40,  베테랑(디지털),  10,000원",,,,156
2015-09-05,03관,"08:30,  뷰티 인사이드(디지털),  6,000원","11:05,  암살(디지털),  10,000원","13:50,  뷰티 인사이드(디지털),  10,000원","16:25,  암살(디지털),  10,000원","19:10,  뷰티 인사이드(디지털),  10,000원","21:45,  암살(디지털),  10,000원","24:30,  뷰티 인사이드(디지털),  10,000원",,,,120
2015-09-05,04관,"09:00,  앤트맨(디지털),  6,000원","11:25,  앤트맨(디지털),  10,000원","13:50,  앤트맨(디지털),  10,000원","16:15,  앤트맨(디지털),  10,000원","18:40,  앤트맨(디지털),  10,000원","21:05,  베테랑(디지털),  10,000원","23:35,  베테랑(디지털),  10,000원",,,,203
2015-09-05,05관,"10:00,  암살(디지털),  6,000원","12:45,  갤로우즈(디지털),  10,000원","14:30,  앤트맨(디지털),  10,000원","16:55,  앤트맨(디지털),  10,000원","19:20,  앤트맨(디지털),  10,000원","21:45,  앤트맨(디지털),  10,000원","24:10,  갤로우즈(디지털),  10,000원",,,,118
2015-09-05,06관,"10:20,  앤트맨(디지털),  6,000원","12:45,  앤트맨(디지털),  10,000원","15:10,  앤트맨(디지털),  10,000원","17:35,  앤트맨(디지털),  10,000원","20:00,  앤트맨(디지털),  10,000원","22:25,  앤트맨(디지털),  10,000원","24:50,  앤트맨(디지털),  10,000원",,,,218
2015-09-06,01관,"09:10,  오피스(디지털),  6,000원","11:25,  히트맨: 에이전트 47(디지털),  10,000원","13:30,  미쓰 와이프(디지털),  10,000원","16:00,  오피스(디지털),  10,000원","18:15,  히트맨: 에이전트 47(디지털),  10,000원","20:20,  오피스(디지털),  10,000원","22:35,  히트맨: 에이전트 47(디지털),  10,000원","24:40,  오피스(디지털),  10,000원",,,74
2015-09-06,02관,"09:40,  베테랑(디지털),  6,000원","12:10,  베테랑(디지털),  10,000원","14:40,  베테랑(디지털),  10,000원","17:10,  베테랑(디지털),  10,000원","19:40,  베테랑(디지털),  10,000원","22:10,  베테랑(디지털),  10,000원","24:40,  베테랑(디지털),  10,000원",,,,156
