상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,샤롯데,"09:00,  테이큰 3(디지털),  10,000원","11:20,  국제시장(디지털),  10,000원","14:00,  테이큰 3(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:20,  테이큰 3(디지털),  10,000원",,,,40
2015-01-02,샤롯데,"09:00,  테이큰 3(디지털)","11:20,  상의원(디지털),  10,000원","14:00,  테이큰 3(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:20,  테이큰 3(디지털),  10,000원",,,,40
2015-01-03,샤롯데,"09:00,  테이큰 3(디지털),  10,000원","11:20,  테이큰 3(디지털),  10,000원","13:40,  상의원(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:20,  테이큰 3(디지털),  10,000원",,,,40
2015-01-04,샤롯데,"09:00,  테이큰 3(디지털),  10,000원","11:20,  상의원(디지털),  10,000원","14:00,  테이큰 3(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:20,  테이큰 3(디지털)",,,,40
2015-01-05,샤롯데,"09:00,  테이큰 3(디지털)","11:20,  상의원(디지털)","14:00,  테이큰 3(디지털),  9,000원","16:20,  국제시장(디지털),  9,000원","19:00,  국제시장(디지털),  9,000원","21:40,  국제시장(디지털),  9,000원","24:20,  테이큰 3(디지털)",,,,40
2015-01-06,샤롯데,"09:00,  테이큰 3(디지털)","11:20,  상의원(디지털),  9,000원","14:00,  테이큰 3(디지털)","16:20,  국제시장(디지털),  9,000원","19:00,  국제시장(디지털)","21:40,  국제시장(디지털),  9,000원","24:20,  테이큰 3(디지털)",,,,40
2015-01-07,샤롯데,"09:00,  아메리칸 셰프(디지털)","11:25,  아메리칸 셰프(디지털),  9,000원","13:50,  언브로큰(디지털)","16:40,  국제시장(디지털)","19:20,  국제시장(디지털),  9,000원","22:00,  테이큰 3(디지털),  9,000원","24:20,  테이큰 3(디지털)",,,,40
2015-01-08,샤롯데,"09:00,  아메리칸 셰프(디지털)","11:25,  아메리칸 셰프(디지털)","13:50,  언브로큰(디지털)","16:40,  국제시장(디지털),  9,000원","19:20,  국제시장(디지털),  9,000원","22:00,  테이큰 3(디지털)","24:20,  테이큰 3(디지털)",,,,40
2015-01-09,샤롯데,"09:00,  아메리칸 셰프(디지털),  10,000원","11:25,  아메리칸 셰프(디지털)","13:50,  언브로큰(디지털)","16:40,  국제시장(디지털)","19:20,  국제시장(디지털),  10,000원","22:00,  테이큰 3(디지털),  10,000원","24:20,  테이큰 3(디지털)",,,,40
2015-01-10,샤롯데,"09:00,  아메리칸 셰프(디지털)","11:25,  아메리칸 셰프(디지털)","14:00,  국제시장(디지털),  10,000원","16:40,  국제시장(디지털),  10,000원","19:20,  국제시장(디지털),  10,000원","22:00,  테이큰 3(디지털),  10,000원","24:20,  테이큰 3(디지털),  10,000원",,,,40
2015-01-11,샤롯데,"09:00,  아메리칸 셰프(디지털)","11:25,  아메리칸 셰프(디지털),  10,000원","14:00,  국제시장(디지털),  10,000원","16:40,  국제시장(디지털),  10,000원","19:20,  국제시장(디지털),  10,000원","22:00,  테이큰 3(디지털),  10,000원","24:20,  테이큰 3(디지털)",,,,40
2015-01-12,샤롯데,"08:50,  아메리칸 셰프(디지털)","11:15,  아메리칸 셰프(디지털),  9,000원","13:40,  테이큰 3(디지털),  9,000원","16:00,  테이큰 3(디지털)","18:20,  국제시장(디지털),  9,000원","21:20,  국제시장(디지털),  9,000원","24:00,  언브로큰(디지털)",,,,40
2015-01-13,샤롯데,"08:50,  아메리칸 셰프(디지털)","11:15,  아메리칸 셰프(디지털)","13:40,  테이큰 3(디지털)","16:00,  테이큰 3(디지털)","18:20,  국제시장(디지털),  9,000원","21:20,  국제시장(디지털),  9,000원","24:00,  언브로큰(디지털)",,,,40
2015-01-14,샤롯데,"08:40,  허삼관(디지털)","11:15,  오늘의 연애(디지털)","13:45,  허삼관(디지털),  9,000원","16:20,  오늘의 연애(디지털)","18:50,  허삼관(디지털),  9,000원","21:40,  오늘의 연애(디지털),  9,000원","24:10,  오늘의 연애(디지털)",,,,40
2015-01-15,샤롯데,"08:40,  허삼관(디지털)","11:15,  고양이 장례식(디지털)","13:35,  허삼관(디지털),  9,000원","16:10,  오늘의 연애(디지털),  9,000원","18:40,  허삼관(디지털),  9,000원","21:40,  오늘의 연애(디지털),  9,000원","24:10,  오늘의 연애(디지털)",,,,40
2015-01-16,샤롯데,"08:40,  허삼관(디지털)","11:15,  고양이 장례식(디지털)","13:35,  허삼관(디지털),  10,000원","16:10,  오늘의 연애(디지털)","18:40,  허삼관(디지털),  10,000원","21:40,  오늘의 연애(디지털),  10,000원","24:10,  오늘의 연애(디지털)",,,,40
2015-01-17,샤롯데,"09:00,  오늘의 연애(디지털)","11:35,  허삼관(디지털)","14:15,  오늘의 연애(디지털),  10,000원","16:50,  허삼관(디지털),  10,000원","19:30,  오늘의 연애(디지털),  10,000원","22:05,  허삼관(디지털),  10,000원",,,,,40
2015-01-18,샤롯데,"09:00,  오늘의 연애(디지털)","11:35,  허삼관(디지털)","14:15,  오늘의 연애(디지털),  10,000원","16:50,  허삼관(디지털),  10,000원","19:30,  오늘의 연애(디지털),  10,000원","22:05,  허삼관(디지털),  10,000원",,,,,40
2015-01-19,샤롯데,"09:00,  오늘의 연애(디지털)","11:35,  허삼관(디지털),  9,000원","14:15,  오늘의 연애(디지털),  9,000원","16:50,  허삼관(디지털),  9,000원","19:30,  오늘의 연애(디지털),  9,000원","22:05,  허삼관(디지털),  9,000원",,,,,40
2015-01-20,샤롯데,"09:00,  오늘의 연애(디지털)","11:35,  허삼관(디지털)","14:15,  오늘의 연애(디지털),  9,000원","16:50,  허삼관(디지털),  9,000원","19:30,  오늘의 연애(디지털)","22:05,  허삼관(디지털)",,,,,40
2015-01-21,샤롯데,"09:25,  강남 1970(디지털)","12:15,  오늘의 연애(디지털)","14:50,  강남 1970(디지털),  9,000원","17:40,  강남 1970(디지털),  9,000원","20:30,  강남 1970(디지털),  9,000원","23:20,  강남 1970(디지털)",,,,,40
2015-01-22,샤롯데,"09:25,  강남 1970(디지털),  9,000원","12:15,  오늘의 연애(디지털)","14:50,  강남 1970(디지털),  9,000원","17:40,  강남 1970(디지털)","20:30,  강남 1970(디지털),  9,000원","23:20,  강남 1970(디지털)",,,,,40
2015-01-23,샤롯데,"09:25,  강남 1970(디지털),  10,000원","12:15,  오늘의 연애(디지털)","14:50,  강남 1970(디지털),  10,000원","17:40,  강남 1970(디지털),  10,000원","20:30,  강남 1970(디지털),  10,000원","23:20,  강남 1970(디지털),  10,000원",,,,,40
2015-01-24,샤롯데,"09:00,  강남 1970(디지털)","11:50,  빅 히어로(디지털)","14:10,  국제시장(디지털),  10,000원","16:50,  강남 1970(디지털),  10,000원","19:40,  강남 1970(디지털),  10,000원","22:30,  강남 1970(디지털),  10,000원",,,,,40
2015-01-25,샤롯데,"09:00,  강남 1970(디지털)","11:50,  빅 히어로(디지털),  10,000원","14:10,  국제시장(디지털),  10,000원","16:50,  강남 1970(디지털),  10,000원","19:40,  강남 1970(디지털),  10,000원","22:30,  강남 1970(디지털),  10,000원",,,,,40
2015-01-26,샤롯데,"09:25,  강남 1970(디지털)","12:15,  오늘의 연애(디지털)","14:50,  강남 1970(디지털),  9,000원","17:40,  강남 1970(디지털)","20:30,  강남 1970(디지털),  9,000원","23:20,  강남 1970(디지털)",,,,,40
2015-01-27,샤롯데,"09:25,  강남 1970(디지털)","12:15,  오늘의 연애(디지털)","14:50,  강남 1970(디지털)","17:40,  강남 1970(디지털),  9,000원","20:30,  강남 1970(디지털),  9,000원","23:20,  강남 1970(디지털)",,,,,40
2015-01-28,샤롯데,"09:20,  강남 1970(디지털),  9,000원","12:20,  국제시장(디지털)","15:00,  강남 1970(디지털),  9,000원","17:50,  국제시장(디지털)","20:30,  강남 1970(디지털),  9,000원","23:20,  강남 1970(디지털)",,,,,40
2015-01-29,샤롯데,"09:20,  강남 1970(디지털)","12:20,  국제시장(디지털)","15:00,  강남 1970(디지털),  9,000원","17:50,  국제시장(디지털)","20:30,  강남 1970(디지털),  9,000원","23:20,  강남 1970(디지털),  9,000원",,,,,40
2015-01-30,샤롯데,"09:20,  강남 1970(디지털)","12:20,  국제시장(디지털),  9,000원","15:00,  강남 1970(디지털)","17:50,  국제시장(디지털),  9,000원","20:30,  강남 1970(디지털),  9,000원","23:20,  강남 1970(디지털),  9,000원",,,,,40
