상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,샤롯데,"09:25,  테이큰 3(디지털)","11:50,  국제시장(디지털),  8,000원","14:30,  테이큰 3(디지털),  8,000원","16:55,  국제시장(디지털),  8,000원","19:35,  테이큰 3(디지털),  8,000원","22:00,  국제시장(디지털),  8,000원",,,30
2015-01-02,샤롯데,"09:25,  테이큰 3(디지털)","11:50,  국제시장(디지털),  8,000원","14:30,  국제시장(디지털),  8,000원","17:10,  테이큰 3(디지털),  8,000원","19:30,  국제시장(디지털),  8,000원","22:05,  테이큰 3(디지털),  8,000원","24:25,  국제시장(디지털)",,30
2015-01-03,샤롯데,"09:25,  테이큰 3(디지털)","11:50,  국제시장(디지털),  8,000원","14:30,  국제시장(디지털),  8,000원","17:10,  테이큰 3(디지털),  8,000원","19:30,  국제시장(디지털),  8,000원","22:05,  테이큰 3(디지털),  8,000원","24:25,  국제시장(디지털),  8,000원",,30
2015-01-04,샤롯데,"09:25,  테이큰 3(디지털),  5,000원","11:50,  국제시장(디지털),  8,000원","14:30,  국제시장(디지털),  8,000원","17:10,  테이큰 3(디지털),  8,000원","19:30,  국제시장(디지털),  8,000원","22:05,  테이큰 3(디지털),  8,000원","24:25,  국제시장(디지털),  8,000원",,30
2015-01-05,샤롯데,"09:00,  테이큰 3(디지털)","11:20,  국제시장(디지털),  8,000원","13:55,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:50,  국제시장(디지털)","18:30,  기술자들(디지털),  8,000원","21:25,  테이큰 3(디지털)","23:45,  국제시장(디지털),  8,000원",,30
2015-01-06,샤롯데,"09:25,  테이큰 3(디지털)","11:50,  국제시장(디지털),  8,000원","14:30,  테이큰 3(디지털)","16:55,  국제시장(디지털)","19:35,  테이큰 3(디지털)","22:00,  국제시장(디지털)",,,30
2015-01-07,샤롯데,"09:30,  국제시장(디지털),  5,000원","12:10,  님아, 그 강을 건너지 마오(디지털)","14:10,  국제시장(디지털),  8,000원","16:50,  님아, 그 강을 건너지 마오(디지털)","18:50,  국제시장(디지털),  8,000원","21:30,  테이큰 3(디지털),  8,000원","23:55,  국제시장(디지털)",,30
2015-01-08,샤롯데,"09:30,  국제시장(디지털)","12:10,  님아, 그 강을 건너지 마오(디지털)","14:10,  국제시장(디지털),  8,000원","16:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:50,  국제시장(디지털),  8,000원","21:30,  테이큰 3(디지털)","23:55,  국제시장(디지털)",,30
2015-01-09,샤롯데,"09:30,  국제시장(디지털),  5,000원","12:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","14:10,  국제시장(디지털),  8,000원","16:50,  님아, 그 강을 건너지 마오(디지털)","18:50,  국제시장(디지털)","21:30,  테이큰 3(디지털),  8,000원","23:55,  국제시장(디지털),  7,000원",,30
2015-01-10,샤롯데,"09:30,  국제시장(디지털)","12:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","14:15,  국제시장(디지털),  8,000원","17:00,  국제시장(디지털),  8,000원","20:00,  테이큰 3(디지털),  13,000원","22:30,  국제시장(디지털),  8,000원",,,30
2015-01-11,샤롯데,"09:30,  국제시장(디지털),  5,000원","12:10,  님아, 그 강을 건너지 마오(디지털)","14:10,  국제시장(디지털),  8,000원","16:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:50,  국제시장(디지털),  8,000원","21:30,  테이큰 3(디지털),  8,000원","23:55,  국제시장(디지털),  8,000원",,30
2015-01-12,샤롯데,"09:30,  국제시장(디지털)","12:10,  님아, 그 강을 건너지 마오(디지털)","14:10,  국제시장(디지털)","16:50,  님아, 그 강을 건너지 마오(디지털)","18:50,  국제시장(디지털),  8,000원","21:30,  테이큰 3(디지털),  8,000원","23:55,  국제시장(디지털)",,30
2015-01-13,샤롯데,"09:30,  국제시장(디지털)","12:10,  님아, 그 강을 건너지 마오(디지털)","14:10,  국제시장(디지털),  8,000원","16:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:50,  국제시장(디지털)","21:30,  테이큰 3(디지털)","23:55,  국제시장(디지털)",,30
2015-01-14,샤롯데,"09:40,  오늘의 연애(디지털)","12:05,  허삼관(디지털)","14:35,  오늘의 연애(디지털),  8,000원","17:00,  허삼관(디지털),  8,000원","19:30,  오늘의 연애(디지털),  8,000원","21:55,  허삼관(디지털)","24:25,  오늘의 연애(디지털)",,30
2015-01-15,샤롯데,"09:40,  오늘의 연애(디지털)","12:05,  허삼관(디지털),  7,000원","14:35,  오늘의 연애(디지털)","17:00,  허삼관(디지털),  8,000원","19:30,  오늘의 연애(디지털),  8,000원","21:55,  허삼관(디지털)","24:25,  오늘의 연애(디지털)",,30
2015-01-16,샤롯데,"09:40,  오늘의 연애(디지털),  5,000원","12:05,  허삼관(디지털)","14:35,  오늘의 연애(디지털),  8,000원","17:00,  허삼관(디지털)","19:30,  오늘의 연애(디지털),  8,000원","21:55,  허삼관(디지털)","24:25,  오늘의 연애(디지털),  8,000원",,30
2015-01-17,샤롯데,"09:40,  오늘의 연애(디지털),  5,000원","12:05,  허삼관(디지털),  8,000원","14:35,  오늘의 연애(디지털),  8,000원","17:00,  허삼관(디지털),  8,000원","19:30,  오늘의 연애(디지털),  8,000원","21:55,  허삼관(디지털),  8,000원","24:25,  오늘의 연애(디지털)",,30
2015-01-18,샤롯데,"09:40,  오늘의 연애(디지털)","12:05,  허삼관(디지털)","14:35,  오늘의 연애(디지털),  8,000원","17:00,  허삼관(디지털),  8,000원","19:30,  오늘의 연애(디지털)","21:55,  허삼관(디지털)","24:25,  오늘의 연애(디지털)",,30
2015-01-19,샤롯데,"09:40,  오늘의 연애(디지털),  5,000원","12:05,  허삼관(디지털)","14:35,  오늘의 연애(디지털),  8,000원","17:00,  허삼관(디지털)","19:30,  오늘의 연애(디지털)","21:55,  허삼관(디지털)","24:25,  오늘의 연애(디지털)",,30
2015-01-20,샤롯데,"09:40,  오늘의 연애(디지털)","12:05,  허삼관(디지털)","14:35,  오늘의 연애(디지털)","17:00,  허삼관(디지털)","19:30,  오늘의 연애(디지털),  8,000원","21:55,  허삼관(디지털)","24:25,  오늘의 연애(디지털)",,30
2015-01-21,샤롯데,"09:20,  강남 1970(디지털)","12:00,  빅 히어로(디지털더빙)","14:15,  강남 1970(디지털),  8,000원","16:55,  빅 히어로(디지털더빙)","19:10,  강남 1970(디지털),  8,000원","21:50,  빅 히어로(디지털더빙)","24:05,  강남 1970(디지털)",,30
2015-01-22,샤롯데,"09:20,  강남 1970(디지털)","12:00,  빅 히어로(디지털더빙)","14:15,  강남 1970(디지털)","16:55,  빅 히어로(디지털)","19:10,  강남 1970(디지털),  8,000원","21:50,  빅 히어로(디지털)","24:05,  강남 1970(디지털)",,30
2015-01-23,샤롯데,"09:00,  강남 1970(디지털)","11:40,  빅 히어로(디지털더빙)","14:00,  허삼관(디지털),  8,000원","16:30,  강남 1970(디지털),  8,000원","19:10,  빅 히어로(디지털)","21:25,  강남 1970(디지털),  8,000원","24:05,  빅 히어로(디지털)",,30
2015-01-24,샤롯데,"09:20,  강남 1970(디지털)","12:00,  빅 히어로(디지털더빙)","14:15,  강남 1970(디지털),  8,000원","16:55,  빅 히어로(디지털),  8,000원","19:10,  강남 1970(디지털),  8,000원","21:50,  빅 히어로(디지털),  8,000원","24:05,  강남 1970(디지털),  8,000원",,30
2015-01-25,샤롯데,"09:20,  강남 1970(디지털)","12:00,  빅 히어로(디지털더빙),  8,000원","14:15,  강남 1970(디지털),  8,000원","16:55,  빅 히어로(디지털),  8,000원","19:10,  강남 1970(디지털),  8,000원","21:50,  빅 히어로(디지털)","24:05,  강남 1970(디지털)",,30
2015-01-26,샤롯데,"09:20,  강남 1970(디지털)","12:00,  빅 히어로(디지털더빙)","14:15,  강남 1970(디지털),  8,000원","16:55,  빅 히어로(디지털)","19:10,  강남 1970(디지털),  8,000원","21:50,  빅 히어로(디지털)","24:05,  강남 1970(디지털)",,30
2015-01-27,샤롯데,"10:00,  강남 1970(디지털),  5,000원","12:40,  빅 히어로(디지털더빙),  8,000원","14:55,  강남 1970(디지털),  8,000원","17:35,  빅 히어로(디지털)","19:50,  강남 1970(디지털),  8,000원","22:30,  강남 1970(디지털)",,,30
2015-01-28,샤롯데,"09:40,  국제시장(디지털),  5,000원","12:15,  강남 1970(디지털),  8,000원","14:55,  빅 히어로(디지털더빙)","17:10,  강남 1970(디지털),  8,000원","19:50,  국제시장(디지털),  8,000원","22:25,  강남 1970(디지털),  8,000원",,,30
2015-01-29,샤롯데,"09:20,  국제시장(디지털)","11:55,  강남 1970(디지털),  8,000원","14:35,  빅 히어로(디지털더빙),  8,000원","16:50,  강남 1970(디지털),  8,000원","19:30,  빅 아이즈(디지털),  8,000원","21:40,  강남 1970(디지털)",,,30
2015-01-30,샤롯데,"09:20,  국제시장(디지털)","11:55,  강남 1970(디지털),  8,000원","14:35,  빅 히어로(디지털더빙)","16:50,  강남 1970(디지털)","19:30,  국제시장(디지털),  8,000원","22:05,  강남 1970(디지털),  8,000원",,,30
2015-01-31,샤롯데,"09:10,  국제시장(디지털),  5,000원","11:45,  강남 1970(디지털)","14:30,  허삼관(디지털),  8,000원","17:00,  빅 아이즈(디지털),  8,000원","19:15,  강남 1970(디지털),  8,000원","22:00,  빅 히어로(디지털),  8,000원","24:20,  강남 1970(디지털)",,30
2015-02-01,샤롯데,"09:40,  국제시장(디지털)","12:15,  강남 1970(디지털)","14:55,  빅 히어로(디지털더빙),  8,000원","17:10,  강남 1970(디지털),  8,000원","19:50,  국제시장(디지털),  8,000원","22:25,  강남 1970(디지털)",,,30
2015-02-02,샤롯데,"09:40,  국제시장(디지털),  5,000원","12:15,  강남 1970(디지털)","14:55,  빅 히어로(디지털더빙)","17:10,  강남 1970(디지털)","19:50,  국제시장(디지털)","22:25,  강남 1970(디지털)",,,30
2015-02-03,샤롯데,"09:40,  국제시장(디지털)","12:15,  강남 1970(디지털)","14:55,  빅 히어로(디지털더빙)","17:10,  강남 1970(디지털)","19:50,  국제시장(디지털)","22:25,  강남 1970(디지털)",,,30
2015-02-04,샤롯데,"09:40,  국제시장(디지털),  5,000원","12:15,  강남 1970(디지털),  8,000원",,"17:10,  강남 1970(디지털),  8,000원",,,,,30
2015-02-05,샤롯데,,,"15:15,  쎄시봉(디지털),  8,000원",,,,,,30
2015-02-06,샤롯데,"10:00,  쎄시봉(디지털)","12:35,  주피터 어센딩(디지털),  8,000원","15:15,  쎄시봉(디지털),  8,000원","17:50,  주피터 어센딩(디지털)","20:25,  쎄시봉(디지털),  8,000원","22:55,  주피터 어센딩(디지털)",,,30
2015-02-07,샤롯데,"10:00,  쎄시봉(디지털),  5,000원","12:35,  주피터 어센딩(디지털),  8,000원","15:15,  쎄시봉(디지털),  8,000원","17:50,  주피터 어센딩(디지털),  8,000원","20:25,  쎄시봉(디지털),  8,000원","22:55,  주피터 어센딩(디지털)",,,30
2015-02-08,샤롯데,"10:00,  쎄시봉(디지털),  5,000원","12:35,  주피터 어센딩(디지털)","15:15,  쎄시봉(디지털),  8,000원","17:50,  주피터 어센딩(디지털),  8,000원","20:25,  쎄시봉(디지털)","22:55,  주피터 어센딩(디지털)",,,30
2015-02-09,샤롯데,"10:00,  쎄시봉(디지털)","12:35,  주피터 어센딩(디지털)","15:15,  쎄시봉(디지털),  8,000원","17:50,  주피터 어센딩(디지털)","20:25,  쎄시봉(디지털),  8,000원","22:55,  주피터 어센딩(디지털)",,,30
2015-02-10,샤롯데,"10:00,  쎄시봉(디지털)","12:35,  주피터 어센딩(디지털)","15:15,  쎄시봉(디지털)","17:50,  주피터 어센딩(디지털)","20:25,  쎄시봉(디지털),  8,000원","22:55,  주피터 어센딩(디지털)",,,30
2015-02-11,샤롯데,"10:00,  킹스맨 : 시크릿 에이전트(디지털)","12:40,  조선명탐정 : 사라진 놉의 딸(디지털),  8,000원","15:15,  킹스맨 : 시크릿 에이전트(디지털),  8,000원","17:55,  조선명탐정 : 사라진 놉의 딸(디지털)",,,,,30
2015-02-12,샤롯데,"08:30,  킹스맨 : 시크릿 에이전트(디지털)","11:10,  조선명탐정 : 사라진 놉의 딸(디지털)","13:45,  조선명탐정 : 사라진 놉의 딸(디지털),  8,000원","16:20,  킹스맨 : 시크릿 에이전트(디지털)","19:10,  조선명탐정 : 사라진 놉의 딸(디지털),  8,000원","21:45,  킹스맨 : 시크릿 에이전트(디지털)",,,30
2015-02-13,샤롯데,"09:10,  킹스맨 : 시크릿 에이전트(디지털)","11:50,  조선명탐정 : 사라진 놉의 딸(디지털)","14:25,  킹스맨 : 시크릿 에이전트(디지털)","17:05,  조선명탐정 : 사라진 놉의 딸(디지털)","19:40,  킹스맨 : 시크릿 에이전트(디지털),  8,000원","22:20,  조선명탐정 : 사라진 놉의 딸(디지털),  8,000원",,,30
