상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-04-26,01관,"14:00,  청년경찰(디지털)",,,,,,,,,132
2018-04-26,02관,"13:00,  택시운전사(디지털)",,,,,,,,,132
2018-04-26,03관,"15:00,  신과함께-죄와 벌(디지털)",,,,,,,,,282
2018-04-26,04관,"13:30,  사라진 밤(디지털)",,,,,,,,,132
2018-04-26,05관,"14:30,  토이 가디언즈(디지털더빙)",,,,,,,,,132
2018-04-26,06관,"16:00,  라라랜드(디지털)",,,,,,,,,100
2018-04-26,07관,"15:30,  부라더(디지털)",,,,,,,,,104
2018-04-27,01관,"10:00,  어벤져스: 인피니티 워(디지털),  8,000원","13:00,  어벤져스: 인피니티 워(디지털),  12,000원","16:00,  어벤져스: 인피니티 워(디지털),  12,000원","19:00,  어벤져스: 인피니티 워(디지털),  12,000원","22:00,  어벤져스: 인피니티 워(디지털),  12,000원",,,,,132
2018-04-27,02관,"13:20,  그날, 바다(디지털),  8,000원","15:40,  램페이지(디지털),  8,000원","18:00,  그날, 바다(디지털),  12,000원","20:20,  어벤져스: 인피니티 워(디지털),  12,000원","23:20,  어벤져스: 인피니티 워(디지털),  10,000원",,,,,132
2018-04-27,03관,"10:40,  어벤져스: 인피니티 워(디지털),  11,000원","13:40,  어벤져스: 인피니티 워(디지털),  12,000원","16:40,  어벤져스: 인피니티 워(디지털),  12,000원","19:40,  어벤져스: 인피니티 워(디지털),  12,000원","22:40,  어벤져스: 인피니티 워(디지털),  12,000원",,,,,282
2018-04-27,04관,"10:30,  레오나르도 다 빈치(디지털더빙)","12:20,  어벤져스: 인피니티 워(디지털),  11,000원","15:20,  어벤져스: 인피니티 워(디지털),  12,000원","18:20,  어벤져스: 인피니티 워(디지털),  12,000원","21:20,  어벤져스: 인피니티 워(디지털),  12,000원",,,,,132
2018-04-27,05관,"11:40,  당갈(디지털),  5,000원","14:50,  어벤져스: 인피니티 워(디지털),  12,000원","17:50,  어벤져스: 인피니티 워(디지털),  12,000원","20:50,  어벤져스: 인피니티 워(디지털),  12,000원","23:50,  살인소설(디지털),  10,000원",,,,,132
2018-04-27,06관,"12:10,  레오나르도 다 빈치(디지털더빙)","14:00,  강철비(디지털)","16:50,  레오나르도 다 빈치(디지털더빙),  8,000원","18:40,  당갈(디지털)","21:50,  살인소설(디지털),  12,000원","24:05,  어벤져스: 인피니티 워(디지털),  10,000원",,,,100
2018-04-27,07관,"11:00,  살인소설(디지털)","13:15,  살인소설(디지털),  9,000원","15:30,  허리케인 하이스트(디지털)","17:45,  살인소설(디지털)","20:00,  레슬러(디지털)","22:20,  당갈(디지털),  12,000원",,,,104
2018-04-28,01관,"09:30,  어벤져스: 인피니티 워(디지털),  8,000원","12:30,  어벤져스: 인피니티 워(디지털),  11,000원","15:30,  어벤져스: 인피니티 워(디지털),  12,000원","18:30,  어벤져스: 인피니티 워(디지털),  12,000원","21:30,  어벤져스: 인피니티 워(디지털),  12,000원",,,,,132
2018-04-28,02관,"09:00,  어벤져스: 인피니티 워(디지털),  8,000원","12:00,  어벤져스: 인피니티 워(디지털),  11,000원","15:00,  어벤져스: 인피니티 워(디지털),  12,000원","18:00,  어벤져스: 인피니티 워(디지털),  12,000원","21:00,  어벤져스: 인피니티 워(디지털),  12,000원","24:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,,132
2018-04-28,03관,"10:30,  어벤져스: 인피니티 워(디지털),  11,000원","13:30,  어벤져스: 인피니티 워(디지털),  12,000원","16:30,  어벤져스: 인피니티 워(디지털),  12,000원","19:30,  어벤져스: 인피니티 워(디지털),  12,000원","22:30,  어벤져스: 인피니티 워(디지털),  12,000원",,,,,282
2018-04-28,04관,"10:00,  어벤져스: 인피니티 워(디지털),  8,000원","13:00,  어벤져스: 인피니티 워(디지털),  12,000원","16:00,  어벤져스: 인피니티 워(디지털),  12,000원","19:00,  어벤져스: 인피니티 워(디지털),  12,000원","22:00,  어벤져스: 인피니티 워(디지털),  12,000원",,,,,132
2018-04-28,05관,"09:00,  그날, 바다(디지털)","11:10,  어벤져스: 인피니티 워(디지털),  11,000원","14:05,  어벤져스: 인피니티 워(디지털),  12,000원","17:05,  그날, 바다(디지털),  12,000원","20:00,  어벤져스: 인피니티 워(디지털),  12,000원","23:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,,132
2018-04-28,06관,"09:10,  당갈(디지털),  8,000원","12:15,  램페이지(디지털),  8,000원","14:30,  어벤져스: 인피니티 워(디지털),  12,000원","17:30,  어벤져스: 인피니티 워(디지털),  12,000원","20:30,  어벤져스: 인피니티 워(디지털),  12,000원","23:30,  당갈(디지털)",,,,100
2018-04-28,07관,"10:10,  레오나르도 다 빈치(디지털더빙),  11,000원","11:55,  레오나르도 다 빈치(디지털더빙),  11,000원","13:40,  레오나르도 다 빈치(디지털더빙),  12,000원","15:25,  레오나르도 다 빈치(디지털더빙),  12,000원","17:10,  당갈(디지털),  12,000원","20:20,  살인소설(디지털),  12,000원","22:35,  살인소설(디지털),  12,000원",,,104
2018-04-29,01관,,"12:30,  어벤져스: 인피니티 워(디지털),  11,000원","15:30,  어벤져스: 인피니티 워(디지털),  12,000원","18:30,  어벤져스: 인피니티 워(디지털),  12,000원","21:30,  어벤져스: 인피니티 워(디지털),  12,000원","09:30,  어벤져스: 인피니티 워(디지털),  8,000원",,,,132
2018-04-29,02관,"09:00,  어벤져스: 인피니티 워(디지털),  8,000원","12:00,  어벤져스: 인피니티 워(디지털),  11,000원","15:00,  어벤져스: 인피니티 워(디지털),  12,000원","18:00,  어벤져스: 인피니티 워(디지털),  12,000원","21:00,  어벤져스: 인피니티 워(디지털),  12,000원","24:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,,132
2018-04-29,03관,"10:30,  어벤져스: 인피니티 워(디지털),  11,000원","13:30,  어벤져스: 인피니티 워(디지털),  12,000원","16:30,  어벤져스: 인피니티 워(디지털),  12,000원","19:30,  어벤져스: 인피니티 워(디지털),  12,000원","22:30,  어벤져스: 인피니티 워(디지털),  12,000원",,,,,282
2018-04-29,04관,"10:00,  어벤져스: 인피니티 워(디지털),  8,000원","13:00,  어벤져스: 인피니티 워(디지털),  12,000원","16:00,  어벤져스: 인피니티 워(디지털),  12,000원","19:00,  어벤져스: 인피니티 워(디지털),  12,000원","22:00,  어벤져스: 인피니티 워(디지털),  12,000원",,,,,132
2018-04-29,05관,"09:00,  그날, 바다(디지털),  8,000원","11:10,  어벤져스: 인피니티 워(디지털),  11,000원","14:05,  어벤져스: 인피니티 워(디지털),  12,000원","17:05,  그날, 바다(디지털),  12,000원","20:00,  어벤져스: 인피니티 워(디지털),  12,000원","23:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,,132
2018-04-29,06관,"09:40,  램페이지(디지털),  8,000원","12:10,  램페이지(디지털),  11,000원","14:30,  어벤져스: 인피니티 워(디지털),  12,000원","17:30,  어벤져스: 인피니티 워(디지털),  12,000원","20:30,  어벤져스: 인피니티 워(디지털),  12,000원","23:30,  당갈(디지털),  10,000원",,,,100
2018-04-29,07관,"10:10,  레오나르도 다 빈치(디지털더빙),  11,000원","11:55,  레오나르도 다 빈치(디지털더빙),  11,000원","13:40,  레오나르도 다 빈치(디지털더빙),  9,000원","15:25,  레오나르도 다 빈치(디지털더빙),  12,000원","17:10,  당갈(디지털),  12,000원","20:20,  살인소설(디지털),  9,000원","22:35,  살인소설(디지털),  8,000원",,,104
2018-04-30,01관,"09:00,  어벤져스: 인피니티 워(디지털),  7,000원","12:00,  어벤져스: 인피니티 워(디지털),  8,000원","15:00,  어벤져스: 인피니티 워(디지털),  10,000원","18:00,  어벤져스: 인피니티 워(디지털),  10,000원","21:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,,,132
