상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2019-06-11,02관,"23:00,  로켓맨(디지털)",,,,,,,,46
2019-06-12,01관,"10:40,  기생충(디지털),  7,000원","13:20,  기생충(디지털),  10,000원","16:00,  기생충(디지털),  10,000원","18:40,  기생충(디지털),  10,000원","21:20,  기생충(디지털),  10,000원","24:00,  기생충(디지털),  9,000원",,,172
2019-06-12,02관,"09:50,  기생충(디지털),  8,000원","12:30,  기생충(디지털),  10,000원",,"18:10,  알라딘(디지털),  11,000원","20:45,  알라딘(디지털),  11,000원","23:20,  알라딘(디지털),  11,000원",,,46
2019-06-12,03관,"10:20,  알라딘(디지털),  7,000원","12:55,  알라딘(디지털),  9,000원","15:30,  알라딘(디지털),  10,000원","19:00,  알라딘(디지털),  8,000원","21:35,  알라딘(디지털),  10,000원","24:10,  알라딘(디지털),  9,000원",,,149
2019-06-12,04관,"10:00,  맨 인 블랙: 인터내셔널(디지털),  7,000원","12:25,  맨 인 블랙: 인터내셔널(디지털),  9,000원","14:50,  맨 인 블랙: 인터내셔널(디지털),  10,000원","17:15,  맨 인 블랙: 인터내셔널(디지털),  10,000원","19:40,  맨 인 블랙: 인터내셔널(디지털),  10,000원","22:05,  맨 인 블랙: 인터내셔널(디지털),  10,000원","24:30,  맨 인 블랙: 인터내셔널(디지털),  9,000원",,172
2019-06-12,05관,"11:00,  맨 인 블랙: 인터내셔널(디지털),  8,000원","13:25,  맨 인 블랙: 인터내셔널(디지털),  11,000원","15:50,  맨 인 블랙: 인터내셔널(디지털),  11,000원","18:15,  맨 인 블랙: 인터내셔널(디지털),  11,000원","20:40,  맨 인 블랙: 인터내셔널(디지털),  11,000원","23:05,  맨 인 블랙: 인터내셔널(디지털),  9,000원",,,46
2019-06-12,06관,"11:00,  알라딘(디지털더빙),  7,000원","13:40,  알라딘(디지털더빙),  10,000원","16:20,  알라딘(디지털더빙),  10,000원","19:00,  맨 인 블랙: 인터내셔널(디지털),  10,000원","21:25,  맨 인 블랙: 인터내셔널(디지털),  10,000원","23:50,  맨 인 블랙: 인터내셔널(디지털),  10,000원",,,149
2019-06-13,01관,"11:00,  기생충(디지털),  7,000원","13:40,  기생충(디지털),  10,000원","16:20,  기생충(디지털),  10,000원","19:00,  기생충(디지털),  10,000원","21:40,  기생충(디지털),  10,000원","24:20,  기생충(디지털),  9,000원",,,172
2019-06-13,02관,"09:50,  기생충(디지털),  8,000원","12:30,  기생충(디지털),  10,000원","15:10,  기생충(디지털),  12,000원","17:50,  기생충(디지털),  12,000원","20:30,  기생충(디지털),  11,000원","23:10,  기생충(디지털),  11,000원",,,46
2019-06-13,03관,"10:50,  알라딘(디지털더빙),  7,000원","13:25,  알라딘(디지털),  10,000원","16:00,  알라딘(디지털더빙),  10,000원","18:40,  알라딘(디지털),  10,000원","21:20,  알라딘(디지털),  10,000원","23:55,  알라딘(디지털),  10,000원",,,149
2019-06-13,04관,"09:50,  맨 인 블랙: 인터내셔널(디지털),  7,000원","12:15,  천로역정: 천국을 찾아서(디지털더빙),  9,000원","14:40,  맨 인 블랙: 인터내셔널(디지털),  10,000원","17:05,  맨 인 블랙: 인터내셔널(디지털),  10,000원","19:30,  맨 인 블랙: 인터내셔널(디지털),  10,000원","21:55,  맨 인 블랙: 인터내셔널(디지털),  10,000원","24:20,  맨 인 블랙: 인터내셔널(디지털),  9,000원",,172
