상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-03-16,01관,"11:00,  나우 유 씨 미 2(디지털),  0원","14:00,  덕혜옹주(디지털),  0원","16:50,  럭키(디지털),  0원","19:20,  프리즌(디지털),  0원",,,,,,221
2017-03-16,02관,"13:00,  동주(디지털),  0원","15:50,  터널(디지털),  0원","19:00,  비정규직 특수요원(디지털),  0원",,,,,,,179
2017-03-16,03관,"11:30,  터닝메카드W: 블랙미러의 부활(디지털),  0원","14:30,  해빙(디지털),  0원","17:10,  얼라이드(디지털),  0원","19:55,  아우토반(디지털),  0원",,,,,,182
2017-03-16,04관,"12:30,  국가대표 2(디지털),  0원","15:30,  스타트렉 비욘드(디지털),  0원","18:45,  당신, 거기 있어줄래요(디지털),  0원",,,,,,,109
2017-03-16,05관,"13:30,  특별수사: 사형수의 편지(디지털),  0원","16:30,  커피 메이트(디지털),  0원","19:40,  해빙(디지털),  0원",,,,,,,155
2017-03-16,06관,"12:00,  굿바이 싱글(디지털),  0원","15:00,  부산행(디지털),  0원",,,,,,,,136
2017-03-17,01관,"09:30,  미녀와 야수(디지털),  6,000원","12:05,  미녀와 야수(디지털)","14:40,  미녀와 야수(디지털),  9,000원","17:15,  미녀와 야수(디지털),  9,000원","19:50,  미녀와 야수(디지털),  9,000원","22:25,  미녀와 야수(디지털),  7,000원",,,,221
2017-03-17,02관,"10:10,  로건(디지털),  6,000원","12:55,  해빙(디지털),  0원","15:15,  로건(디지털),  7,000원","18:00,  로건(디지털),  7,000원","20:45,  로건(디지털),  9,000원","23:30,  로건(디지털),  7,000원",,,,179
2017-03-17,03관,"09:50,  콩: 스컬 아일랜드(디지털),  6,000원","12:15,  콩: 스컬 아일랜드(디지털),  9,000원","14:40,  콩: 스컬 아일랜드(디지털),  9,000원","17:05,  콩: 스컬 아일랜드(디지털),  9,000원","19:30,  콩: 스컬 아일랜드(디지털),  9,000원","21:55,  콩: 스컬 아일랜드(디지털),  9,000원",,,,182
2017-03-17,04관,"10:00,  해빙(디지털),  6,000원","12:20,  스페이스 비트윈 어스(디지털),  7,000원","14:45,  나우 유 씨 미 2(디지털),  0원","17:20,  스페이스 비트윈 어스(디지털),  7,000원","19:45,  해빙(디지털),  9,000원","22:05,  스페이스 비트윈 어스(디지털)",,,,109
