상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"08:10,  기술자들(디지털),  6,000원","10:40,  마다가스카의 펭귄(디지털더빙),  6,000원","12:45,  마다가스카의 펭귄(디지털더빙),  9,000원","14:50,  마다가스카의 펭귄(디지털더빙),  9,000원","16:55,  마다가스카의 펭귄(디지털더빙),  9,000원","19:00,  마다가스카의 펭귄(디지털더빙),  9,000원","21:05,  기술자들(디지털),  9,000원","23:35,  기술자들(디지털),  9,000원",,153
2015-01-01,02관,,"09:55,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:50,  기술자들(디지털),  9,000원","14:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:05,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:00,  기술자들(디지털),  9,000원","22:25,  기술자들(디지털),  9,000원",,128
2015-01-01,03관,"08:20,  국제시장(디지털),  6,000원","10:55,  국제시장(디지털),  6,000원","13:30,  국제시장(디지털),  9,000원","16:05,  국제시장(디지털),  9,000원","18:40,  국제시장(디지털),  9,000원","21:15,  국제시장(디지털),  9,000원","23:50,  국제시장(디지털),  9,000원",,,173
2015-01-01,04관,,"10:20,  국제시장(디지털),  6,000원","12:50,  국제시장(디지털),  9,000원","15:20,  국제시장(디지털),  9,000원","17:50,  국제시장(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원","22:50,  국제시장(디지털),  9,000원",,,154
2015-01-01,05관,,"10:00,  테이큰 3(디지털),  6,000원","12:20,  테이큰 3(디지털),  9,000원","14:40,  테이큰 3(디지털),  9,000원","17:00,  테이큰 3(디지털),  9,000원","19:20,  테이큰 3(디지털),  9,000원","21:40,  테이큰 3(디지털),  9,000원","24:00,  테이큰 3(디지털),  9,000원",,111
2015-01-02,01관,"09:10,  마다가스카의 펭귄(디지털더빙),  6,000원","11:05,  마다가스카의 펭귄(디지털더빙),  9,000원","13:00,  마다가스카의 펭귄(디지털더빙),  9,000원","14:55,  마다가스카의 펭귄(디지털더빙),  9,000원","16:50,  마다가스카의 펭귄(디지털더빙),  9,000원","18:45,  기술자들(디지털),  9,000원","21:05,  기술자들(디지털),  9,000원","23:25,  기술자들(디지털),  9,000원",,153
2015-01-02,02관,"09:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:15,  기술자들(디지털),  9,000원","17:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:30,  기술자들(디지털),  9,000원","23:55,  기술자들(디지털),  9,000원",,128
2015-01-02,03관,"10:20,  국제시장(디지털),  6,000원","12:55,  국제시장(디지털),  9,000원","15:30,  국제시장(디지털),  9,000원","18:05,  국제시장(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원","23:15,  국제시장(디지털),  9,000원",,,,173
2015-01-02,04관,"09:00,  국제시장(디지털),  6,000원","11:30,  국제시장(디지털),  9,000원","14:00,  국제시장(디지털),  9,000원","16:30,  국제시장(디지털),  9,000원","19:00,  국제시장(디지털),  9,000원","21:30,  국제시장(디지털),  9,000원","24:00,  국제시장(디지털),  9,000원",,,154
2015-01-02,05관,"10:00,  테이큰 3(디지털),  6,000원","12:20,  테이큰 3(디지털),  9,000원","14:40,  테이큰 3(디지털),  9,000원","17:00,  테이큰 3(디지털),  9,000원","19:20,  테이큰 3(디지털),  9,000원","21:40,  테이큰 3(디지털),  9,000원","24:00,  테이큰 3(디지털),  9,000원",,,111
