상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2015-01-01,01관,"09:00,  국제시장(디지털),  6,000원","11:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:25,  국제시장(디지털),  10,000원","15:55,  마다가스카의 펭귄(디지털더빙),  10,000원","17:50,  국제시장(디지털),  10,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:10,  국제시장(디지털),  10,000원","24:35,  테이큰 3(디지털),  10,000원",,,,,,,86
2015-01-01,02관,"08:30,  마다가스카의 펭귄(디지털더빙),  6,000원","10:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","12:25,  마다가스카의 펭귄(디지털더빙),  10,000원","14:35,  마다가스카의 펭귄(디지털더빙),  10,000원","16:45,  국제시장(디지털),  10,000원","19:15,  기술자들(디지털),  10,000원","21:40,  테이큰 3(디지털),  10,000원","24:00,  기술자들(디지털),  10,000원",,,,,,,86
2015-01-02,01관,"09:00,  국제시장(디지털),  6,000원","11:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:25,  국제시장(디지털),  10,000원","15:55,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:50,  국제시장(디지털),  10,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:10,  국제시장(디지털),  10,000원","24:35,  국제시장(디지털),  10,000원",,,,,,,86
2015-01-02,02관,"09:10,  마다가스카의 펭귄(디지털더빙),  6,000원","11:05,  마다가스카의 펭귄(디지털더빙),  10,000원","13:05,  마다가스카의 펭귄(디지털더빙),  10,000원","15:15,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","17:00,  기술자들(디지털),  10,000원","19:25,  국제시장(디지털),  10,000원","21:55,  테이큰 3(디지털),  10,000원","24:15,  기술자들(디지털),  10,000원",,,,,,,86
2015-01-03,01관,"09:00,  국제시장(디지털),  6,000원","11:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:25,  국제시장(디지털),  10,000원","15:55,  마다가스카의 펭귄(디지털더빙),  10,000원","17:50,  국제시장(디지털),  10,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:10,  국제시장(디지털),  10,000원","24:35,  기술자들(디지털),  10,000원",,,,,,,86
2015-01-03,02관,"08:50,  마다가스카의 펭귄(디지털더빙),  6,000원","10:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","12:35,  마다가스카의 펭귄(디지털더빙),  10,000원","14:35,  마다가스카의 펭귄(디지털더빙),  10,000원","16:35,  기술자들(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:30,  테이큰 3(디지털),  10,000원","23:50,  국제시장(디지털),  10,000원",,,,,,,86
2015-01-04,01관,"09:00,  국제시장(디지털),  6,000원","11:30,  마다가스카의 펭귄(디지털더빙),  7,000원","13:25,  국제시장(디지털),  10,000원","15:55,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:50,  국제시장(디지털),  10,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:10,  국제시장(디지털),  10,000원","24:35,  기술자들(디지털),  10,000원",,,,,,,86
2015-01-04,02관,"08:50,  마다가스카의 펭귄(디지털더빙),  6,000원","10:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","12:35,  마다가스카의 펭귄(디지털더빙),  10,000원","14:35,  마다가스카의 펭귄(디지털더빙),  10,000원","16:35,  기술자들(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:30,  테이큰 3(디지털),  10,000원","23:50,  국제시장(디지털),  10,000원",,,,,,,86
2015-01-05,01관,"09:10,  국제시장(디지털),  6,000원","11:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:35,  국제시장(디지털),  8,000원","16:05,  마다가스카의 펭귄(디지털더빙),  9,000원","18:00,  마다가스카의 펭귄(디지털더빙),  9,000원","19:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:50,  국제시장(디지털),  9,000원","24:20,  국제시장(디지털),  9,000원",,,,,,,86
2015-01-05,02관,"08:50,  마다가스카의 펭귄(디지털더빙),  6,000원","10:45,  마다가스카의 펭귄(디지털더빙),  8,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  8,000원","14:25,  마다가스카의 펭귄(디지털더빙),  8,000원","16:20,  국제시장(디지털),  9,000원","18:50,  국제시장(디지털),  9,000원","21:20,  기술자들(디지털),  9,000원","23:45,  테이큰 3(디지털),  9,000원",,,,,,,86
2015-01-06,01관,"09:10,  국제시장(디지털),  6,000원","11:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:35,  국제시장(디지털),  8,000원","16:05,  마다가스카의 펭귄(디지털더빙),  9,000원","18:00,  마다가스카의 펭귄(디지털더빙),  9,000원","19:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:50,  국제시장(디지털),  9,000원","24:20,  국제시장(디지털),  9,000원",,,,,,,86
2015-01-06,02관,"08:50,  마다가스카의 펭귄(디지털더빙),  6,000원","10:45,  마다가스카의 펭귄(디지털더빙),  8,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  8,000원","14:25,  마다가스카의 펭귄(디지털더빙),  8,000원","16:20,  국제시장(디지털),  9,000원","18:50,  국제시장(디지털),  9,000원","21:20,  기술자들(디지털),  9,000원","23:45,  테이큰 3(디지털),  9,000원",,,,,,,86
2015-01-07,01관,"09:20,  국제시장(디지털),  6,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:45,  국제시장(디지털),  8,000원","16:15,  국제시장(디지털),  9,000원","18:45,  국제시장(디지털),  9,000원","21:15,  언브로큰(디지털),  9,000원","23:55,  국제시장(디지털),  9,000원",,,,,,,,86
2015-01-07,02관,"09:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  8,000원","12:45,  패딩턴(디지털더빙),  8,000원","14:45,  마다가스카의 펭귄(디지털더빙),  8,000원","16:30,  패딩턴(디지털),  7,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:25,  국제시장(디지털),  9,000원","22:55,  국제시장(디지털),  9,000원",,,,,,,86
2015-01-08,01관,"09:20,  국제시장(디지털),  6,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:45,  국제시장(디지털),  8,000원","16:15,  국제시장(디지털),  9,000원","18:45,  국제시장(디지털),  9,000원","21:15,  언브로큰(디지털),  9,000원","23:55,  국제시장(디지털)",,,,,,,,86
2015-01-08,02관,"09:00,  님아, 그 강을 건너지 마오(디지털)","11:00,  마다가스카의 펭귄(디지털더빙),  8,000원","12:45,  패딩턴(디지털더빙),  8,000원","14:45,  마다가스카의 펭귄(디지털더빙),  8,000원","16:30,  패딩턴(디지털더빙),  9,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:25,  국제시장(디지털),  9,000원","22:55,  국제시장(디지털),  9,000원",,,,,,,86
2015-01-09,01관,"09:20,  국제시장(디지털),  6,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:45,  국제시장(디지털),  10,000원","16:15,  국제시장(디지털),  10,000원","18:45,  국제시장(디지털),  10,000원","21:15,  언브로큰(디지털),  10,000원","23:55,  국제시장(디지털),  10,000원",,,,,,,,86
2015-01-09,02관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","12:45,  패딩턴(디지털더빙),  10,000원","14:45,  마다가스카의 펭귄(디지털더빙),  10,000원","16:30,  패딩턴(디지털더빙),  10,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:25,  국제시장(디지털),  10,000원","22:55,  국제시장(디지털),  10,000원",,,,,,,86
2015-01-10,01관,"08:50,  국제시장(디지털),  6,000원","11:25,  마다가스카의 펭귄(디지털더빙),  10,000원","13:10,  국제시장(디지털),  10,000원","15:35,  마다가스카의 펭귄(디지털더빙),  10,000원","17:20,  국제시장(디지털),  10,000원","19:45,  국제시장(디지털),  10,000원","22:10,  언브로큰(디지털),  10,000원",,,,,,,,86
2015-01-10,02관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","10:45,  패딩턴(디지털더빙),  10,000원","12:35,  패딩턴(디지털더빙),  10,000원","14:25,  패딩턴(디지털더빙),  10,000원","16:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:10,  국제시장(디지털),  10,000원","20:35,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  10,000원",,,,,,,86
2015-01-11,01관,"08:50,  국제시장(디지털),  6,000원","11:25,  마다가스카의 펭귄(디지털더빙),  10,000원","13:10,  국제시장(디지털),  10,000원","15:35,  마다가스카의 펭귄(디지털더빙),  10,000원","17:20,  국제시장(디지털),  10,000원","19:45,  국제시장(디지털),  10,000원","22:10,  언브로큰(디지털),  10,000원",,,,,,,,86
2015-01-11,02관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","10:45,  패딩턴(디지털더빙),  10,000원","12:35,  패딩턴(디지털더빙),  10,000원","14:25,  패딩턴(디지털더빙),  10,000원","16:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:10,  국제시장(디지털),  10,000원","20:35,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  10,000원",,,,,,,86
2015-01-12,01관,"09:20,  국제시장(디지털),  6,000원","11:45,  패딩턴(디지털더빙),  8,000원","13:40,  패딩턴(디지털더빙),  8,000원","15:35,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:25,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원","22:15,  언브로큰(디지털),  9,000원",,,,,,,,86
2015-01-12,02관,"09:00,  패딩턴(디지털더빙),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  8,000원","12:45,  마다가스카의 펭귄(디지털더빙),  7,000원","14:30,  마다가스카의 펭귄(디지털더빙),  8,000원","16:15,  국제시장(디지털),  9,000원","18:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:55,  국제시장(디지털),  9,000원","23:20,  국제시장(디지털),  9,000원",,,,,,,86
2015-01-13,01관,"09:20,  국제시장(디지털),  6,000원","11:45,  패딩턴(디지털더빙),  7,000원","13:40,  패딩턴(디지털더빙),  8,000원","15:35,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:25,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원","22:15,  언브로큰(디지털),  9,000원",,,,,,,,86
