상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"09:10,  국제시장(디지털),  6,000원","11:30,  국제시장(디지털),  9,000원","13:50,  국제시장(디지털),  9,000원","16:10,  국제시장(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원",,,,,168
2015-01-01,03관,"09:40,  기술자들(디지털),  6,000원","12:00,  기술자들(디지털),  9,000원","14:20,  기술자들(디지털),  9,000원","16:40,  기술자들(디지털),  9,000원","19:00,  기술자들(디지털),  9,000원","21:20,  기술자들(디지털),  9,000원",,,,,149
2015-01-01,05관,"10:10,  마다가스카의 펭귄(디지털더빙),  6,000원","12:00,  마다가스카의 펭귄(디지털더빙),  9,000원","13:50,  마다가스카의 펭귄(디지털더빙),  9,000원","15:40,  마다가스카의 펭귄(디지털더빙),  9,000원","17:30,  마다가스카의 펭귄(디지털더빙),  9,000원","19:20,  국제시장(디지털),  9,000원","21:40,  국제시장(디지털),  9,000원",,,,92
2015-01-01,06관,"09:20,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","14:20,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","16:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","17:40,  호빗: 다섯 군대 전투(디지털),  9,000원","20:30,  상의원(디지털),  9,000원",,,,62
2015-01-01,07관,"09:40,  테이큰 3(디지털),  6,000원","12:00,  테이큰 3(디지털),  9,000원","14:20,  테이큰 3(디지털),  9,000원","16:40,  테이큰 3(디지털),  9,000원","19:00,  테이큰 3(디지털),  9,000원","21:20,  테이큰 3(디지털),  9,000원",,,,,79
2015-01-01,08관,"09:40,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:10,  개를 훔치는 완벽한 방법(디지털),  9,000원","17:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,,0
2015-01-02,01관,"09:10,  국제시장(디지털),  6,000원","11:30,  국제시장(디지털),  9,000원","13:50,  국제시장(디지털),  9,000원","16:10,  국제시장(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원",,,,,168
2015-01-02,03관,"09:40,  기술자들(디지털),  6,000원","12:00,  기술자들(디지털),  9,000원","14:20,  기술자들(디지털),  9,000원","16:40,  기술자들(디지털),  9,000원","19:00,  기술자들(디지털),  9,000원","21:20,  기술자들(디지털),  9,000원",,,,,149
2015-01-02,05관,"10:10,  마다가스카의 펭귄(디지털더빙),  6,000원","12:00,  마다가스카의 펭귄(디지털더빙),  9,000원","13:50,  마다가스카의 펭귄(디지털더빙),  9,000원","15:40,  마다가스카의 펭귄(디지털더빙),  9,000원","17:30,  마다가스카의 펭귄(디지털더빙),  9,000원","19:20,  국제시장(디지털),  9,000원","21:40,  국제시장(디지털),  9,000원",,,,92
2015-01-02,06관,"09:20,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","14:20,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","16:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","17:40,  호빗: 다섯 군대 전투(디지털),  9,000원","20:30,  상의원(디지털),  9,000원",,,,62
