상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-01-01,03관,"09:40,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  10,000원","15:00,  국제시장(디지털),  10,000원","17:40,  국제시장(디지털),  10,000원","20:20,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  8,000원",,,,,,184
2015-01-01,04관,"10:45,  님아, 그 강을 건너지 마오(디지털),  6,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","16:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:10,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","24:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,184
2015-01-01,05관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:35,  기술자들(디지털),  10,000원","14:05,  마다가스카의 펭귄(디지털더빙),  10,000원","16:10,  마다가스카의 펭귄(디지털더빙),  10,000원","18:15,  기술자들(디지털),  10,000원","20:45,  기술자들(디지털),  10,000원","23:15,  기술자들(디지털),  8,000원",,,,,121
2015-01-01,06관,"09:10,  테이큰 3(디지털),  6,000원","11:35,  국제시장(디지털),  10,000원","14:15,  테이큰 3(디지털),  10,000원","16:40,  테이큰 3(디지털),  10,000원","19:05,  테이큰 3(디지털),  10,000원","21:30,  테이큰 3(디지털),  10,000원","23:55,  테이큰 3(디지털),  10,000원",,,,,132
2015-01-02,03관,"09:40,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  10,000원","15:00,  국제시장(디지털),  10,000원","17:40,  국제시장(디지털),  10,000원","20:20,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  8,000원",,,,,,184
2015-01-02,04관,"09:45,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:45,  국제시장(디지털),  10,000원","16:25,  국제시장(디지털),  10,000원","19:05,  국제시장(디지털),  10,000원",,"21:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:45,  국제시장(디지털),  8,000원",,,,184
2015-01-02,05관,"10:00,  기술자들(디지털),  6,000원","12:25,  마다가스카의 펭귄(디지털더빙),  10,000원","14:25,  마다가스카의 펭귄(디지털더빙),  10,000원","16:25,  마다가스카의 펭귄(디지털더빙),  10,000원","18:25,  마다가스카의 펭귄(디지털더빙),  10,000원","20:25,  기술자들(디지털),  10,000원","23:00,  기술자들(디지털),  8,000원",,,,,121
2015-01-02,06관,"09:30,  테이큰 3(디지털),  6,000원","11:50,  국제시장(디지털),  10,000원","14:25,  테이큰 3(디지털),  10,000원","16:45,  테이큰 3(디지털),  10,000원","19:05,  테이큰 3(디지털),  10,000원","21:25,  테이큰 3(디지털),  10,000원","23:45,  테이큰 3(디지털),  8,000원",,,,,132
2015-01-03,03관,"09:40,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  10,000원","15:00,  국제시장(디지털),  10,000원","17:40,  국제시장(디지털),  10,000원","20:20,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  8,000원",,,,,,184
2015-01-03,04관,"10:45,  님아, 그 강을 건너지 마오(디지털),  6,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","16:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:20,  국제시장(디지털),  10,000원","21:00,  국제시장(디지털),  10,000원","23:40,  국제시장(디지털),  8,000원",,,,,184
