상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,샤롯데,"09:45,  국제시장(디지털),  10,000원","12:30,  국제시장(디지털),  10,000원","15:15,  테이큰 3(디지털),  10,000원","17:45,  테이큰 3(디지털),  10,000원","20:15,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  10,000원","25:45,  테이큰 3(디지털),  10,000원",,,30
2015-01-02,샤롯데,"09:45,  국제시장(디지털)","12:30,  국제시장(디지털),  10,000원","15:15,  테이큰 3(디지털),  10,000원","17:45,  테이큰 3(디지털),  10,000원","20:15,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  10,000원","25:45,  테이큰 3(디지털)",,,30
2015-01-03,샤롯데,"09:45,  국제시장(디지털),  10,000원","12:30,  국제시장(디지털),  10,000원","15:15,  테이큰 3(디지털),  10,000원","17:45,  테이큰 3(디지털),  10,000원","20:15,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  10,000원","25:45,  테이큰 3(디지털),  10,000원",,,30
2015-01-04,샤롯데,"09:45,  국제시장(디지털),  10,000원","12:30,  국제시장(디지털),  10,000원","15:15,  테이큰 3(디지털),  10,000원","17:45,  테이큰 3(디지털),  10,000원","20:15,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  10,000원","25:45,  테이큰 3(디지털)",,,30
2015-01-05,샤롯데,"09:45,  국제시장(디지털)","12:30,  국제시장(디지털)","15:15,  테이큰 3(디지털),  9,000원","17:45,  테이큰 3(디지털),  9,000원","20:15,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  9,000원","25:45,  테이큰 3(디지털)",,,30
2015-01-06,샤롯데,"09:45,  국제시장(디지털)","12:30,  국제시장(디지털),  9,000원","15:15,  테이큰 3(디지털),  9,000원","17:45,  테이큰 3(디지털),  9,000원","20:15,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  9,000원","25:45,  테이큰 3(디지털)",,,30
2015-01-07,샤롯데,"09:45,  국제시장(디지털)","12:30,  테이큰 3(디지털)","15:00,  테이큰 3(디지털)","17:30,  국제시장(디지털),  9,000원","20:15,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털)","25:45,  테이큰 3(디지털),  9,000원",,,30
2015-01-08,샤롯데,"09:45,  국제시장(디지털),  9,000원","12:30,  테이큰 3(디지털),  9,000원","15:00,  테이큰 3(디지털),  9,000원","17:30,  국제시장(디지털),  9,000원","20:15,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털)","25:45,  테이큰 3(디지털)",,,30
2015-01-09,샤롯데,"09:45,  국제시장(디지털)","12:30,  테이큰 3(디지털)","15:00,  테이큰 3(디지털),  10,000원","17:30,  국제시장(디지털),  10,000원","20:15,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  10,000원","25:45,  테이큰 3(디지털)",,,30
2015-01-10,샤롯데,"10:05,  국제시장(디지털)","12:50,  테이큰 3(디지털),  10,000원","15:20,  기술자들(디지털),  10,000원","17:50,  국제시장(디지털),  10,000원","20:35,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  10,000원","26:05,  테이큰 3(디지털)",,,30
2015-01-11,샤롯데,"10:05,  국제시장(디지털),  10,000원","12:50,  기술자들(디지털),  10,000원","15:20,  기술자들(디지털),  10,000원","17:50,  국제시장(디지털),  10,000원","20:35,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털)","26:05,  테이큰 3(디지털)",,,30
2015-01-12,샤롯데,"10:05,  국제시장(디지털),  9,000원","12:50,  기술자들(디지털)","15:20,  기술자들(디지털),  9,000원","17:50,  국제시장(디지털),  9,000원","20:35,  국제시장(디지털),  9,000원","23:20,  국제시장(디지털)","26:05,  테이큰 3(디지털)",,,30
2015-01-13,샤롯데,"10:05,  국제시장(디지털),  9,000원","12:50,  기술자들(디지털),  9,000원","15:20,  기술자들(디지털)","17:50,  국제시장(디지털),  9,000원","20:35,  국제시장(디지털),  9,000원","23:20,  국제시장(디지털),  9,000원","26:05,  테이큰 3(디지털)",,,30
2015-01-14,샤롯데,"09:45,  국제시장(디지털),  9,000원","12:30,  테이큰 3(디지털),  9,000원","15:00,  테이큰 3(디지털),  9,000원","17:30,  국제시장(디지털),  9,000원","20:15,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  9,000원","25:45,  테이큰 3(디지털)",,,30
2015-01-15,샤롯데,"08:00,  허삼관(디지털)","11:00,  워킹걸(디지털),  9,000원","13:30,  허삼관(디지털)","16:10,  허삼관(디지털),  9,000원","18:50,  허삼관(디지털)","21:30,  오늘의 연애(디지털),  9,000원","24:10,  오늘의 연애(디지털)",,,30
2015-01-16,샤롯데,"09:45,  허삼관(디지털),  10,000원","12:25,  오늘의 연애(디지털),  10,000원","15:05,  허삼관(디지털),  10,000원","17:45,  허삼관(디지털),  10,000원","20:25,  허삼관(디지털),  10,000원","23:05,  오늘의 연애(디지털),  10,000원","25:45,  오늘의 연애(디지털)",,,30
2015-01-17,샤롯데,"10:00,  허삼관(디지털)","12:40,  허삼관(디지털),  10,000원","15:20,  오늘의 연애(디지털),  10,000원","18:00,  오늘의 연애(디지털),  10,000원","20:40,  허삼관(디지털),  10,000원","23:20,  허삼관(디지털),  10,000원","26:00,  오늘의 연애(디지털),  10,000원",,,30
2015-01-18,샤롯데,"10:00,  허삼관(디지털),  10,000원","12:40,  허삼관(디지털),  10,000원","15:20,  오늘의 연애(디지털),  10,000원","18:00,  오늘의 연애(디지털)","20:40,  허삼관(디지털),  10,000원","23:20,  허삼관(디지털),  10,000원","26:00,  오늘의 연애(디지털)",,,30
2015-01-19,샤롯데,"10:00,  허삼관(디지털)","12:40,  허삼관(디지털),  9,000원","15:20,  오늘의 연애(디지털),  9,000원","18:00,  오늘의 연애(디지털)","20:40,  허삼관(디지털)","23:20,  허삼관(디지털),  9,000원","26:00,  오늘의 연애(디지털)",,,30
2015-01-20,샤롯데,"10:00,  허삼관(디지털)","12:40,  허삼관(디지털),  9,000원","15:20,  오늘의 연애(디지털),  9,000원","18:00,  오늘의 연애(디지털),  9,000원","20:40,  허삼관(디지털),  9,000원","23:20,  허삼관(디지털)","26:00,  오늘의 연애(디지털),  9,000원",,,30
2015-01-21,샤롯데,"10:00,  강남 1970(디지털)","12:50,  빅 히어로(디지털)","15:20,  강남 1970(디지털),  9,000원","18:10,  강남 1970(디지털),  9,000원","21:00,  강남 1970(디지털),  9,000원","23:50,  강남 1970(디지털),  9,000원",,,,30
2015-01-22,샤롯데,"10:00,  강남 1970(디지털)","12:50,  강남 1970(디지털),  9,000원","15:40,  강남 1970(디지털),  9,000원","19:00,  강남 1970(디지털),  17,000원","21:50,  강남 1970(디지털),  9,000원","24:40,  강남 1970(디지털),  9,000원",,,,30
2015-01-23,샤롯데,"10:00,  강남 1970(디지털)","12:50,  빅 히어로(디지털)","15:20,  빅 히어로(디지털)","17:40,  강남 1970(디지털),  10,000원","20:30,  박물관이 살아있다 : 비밀의 무덤(디지털),  30,000원","23:20,  강남 1970(디지털),  10,000원",,,,30
2015-01-24,샤롯데,"09:50,  강남 1970(디지털),  10,000원","12:40,  강남 1970(디지털),  10,000원","15:30,  강남 1970(디지털),  30,000원","18:05,  빅 히어로(디지털),  10,000원","20:30,  강남 1970(디지털),  10,000원","23:20,  강남 1970(디지털),  10,000원",,,,30
2015-01-25,샤롯데,"09:50,  강남 1970(디지털),  10,000원","12:40,  강남 1970(디지털),  10,000원","15:30,  강남 1970(디지털),  10,000원","18:30,  오늘의 연애(디지털),  30,000원","21:00,  강남 1970(디지털),  10,000원","23:50,  강남 1970(디지털),  10,000원",,,,30
2015-01-26,샤롯데,"10:00,  강남 1970(디지털)","12:50,  빅 히어로(디지털)","15:30,  강남 1970(디지털),  9,000원","18:05,  강남 1970(디지털),  9,000원","20:55,  강남 1970(디지털),  9,000원","23:45,  강남 1970(디지털)",,,,30
2015-01-27,샤롯데,"10:00,  강남 1970(디지털),  9,000원","12:50,  빅 히어로(디지털)","15:30,  강남 1970(디지털),  9,000원","18:05,  강남 1970(디지털),  9,000원","20:55,  강남 1970(디지털),  9,000원","23:45,  강남 1970(디지털),  9,000원",,,,30
2015-01-28,샤롯데,"10:10,  강남 1970(디지털)","13:00,  빅 히어로(디지털)","15:25,  강남 1970(디지털),  9,000원","18:15,  강남 1970(디지털),  9,000원","21:05,  강남 1970(디지털),  9,000원","23:55,  강남 1970(디지털),  9,000원",,,,30
2015-01-29,샤롯데,"10:10,  강남 1970(디지털)","13:00,  빅 히어로(디지털),  9,000원","15:25,  강남 1970(디지털),  9,000원","18:15,  강남 1970(디지털),  9,000원","21:05,  강남 1970(디지털),  9,000원","23:55,  강남 1970(디지털)",,,,30
2015-01-30,샤롯데,"10:10,  강남 1970(디지털),  10,000원","13:00,  빅 히어로(디지털),  10,000원","15:25,  강남 1970(디지털),  10,000원","18:15,  강남 1970(디지털),  10,000원","21:05,  강남 1970(디지털),  10,000원","23:55,  강남 1970(디지털)",,,,30
2015-01-31,샤롯데,"09:30,  강남 1970(디지털),  10,000원","12:20,  강남 1970(디지털),  0원","15:10,  강남 1970(디지털),  10,000원","18:00,  강남 1970(디지털),  10,000원","20:50,  강남 1970(디지털),  10,000원","23:40,  강남 1970(디지털),  10,000원",,,,30
2015-02-01,샤롯데,"09:30,  강남 1970(디지털)","12:20,  강남 1970(디지털),  10,000원","15:10,  강남 1970(디지털),  10,000원","18:00,  강남 1970(디지털),  10,000원","20:50,  강남 1970(디지털),  10,000원","23:40,  강남 1970(디지털)",,,,30
2015-02-02,샤롯데,"09:30,  강남 1970(디지털)","12:20,  강남 1970(디지털),  8,000원","15:10,  강남 1970(디지털)","18:00,  강남 1970(디지털)","20:50,  강남 1970(디지털),  9,000원","23:40,  강남 1970(디지털)",,,,30
2015-02-03,샤롯데,"09:30,  강남 1970(디지털),  9,000원","12:20,  강남 1970(디지털)","15:10,  강남 1970(디지털)","18:00,  강남 1970(디지털),  9,000원","20:50,  강남 1970(디지털),  9,000원","23:40,  강남 1970(디지털),  9,000원",,,,30
2015-02-04,샤롯데,"09:30,  강남 1970(디지털)","12:20,  강남 1970(디지털)","15:10,  강남 1970(디지털)","18:00,  강남 1970(디지털)","20:50,  강남 1970(디지털)","23:40,  강남 1970(디지털)",,,,30
2015-02-05,샤롯데,,"13:00,  쎄시봉(디지털),  9,000원","15:30,  쎄시봉(디지털),  9,000원","18:00,  주피터 어센딩(디지털),  9,000원","20:35,  쎄시봉(디지털),  9,000원",,,,,30
2015-02-06,샤롯데,"10:30,  쎄시봉(디지털),  10,000원","13:00,  쎄시봉(디지털),  10,000원","15:30,  쎄시봉(디지털)","18:00,  주피터 어센딩(디지털),  10,000원","20:35,  쎄시봉(디지털),  10,000원","23:05,  주피터 어센딩(디지털)","25:40,  주피터 어센딩(디지털)",,,30
