상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"09:40,  국제시장(디지털),  5,000원","12:05,  국제시장(디지털),  9,000원","14:30,  국제시장(디지털),  9,000원","16:55,  국제시장(디지털),  9,000원","19:20,  국제시장(디지털),  9,000원","21:45,  국제시장(디지털),  9,000원","24:10,  국제시장(디지털),  6,000원",,,239
2015-01-01,02관,"10:30,  호빗: 다섯 군대 전투(디지털),  5,000원","13:15,  개를 훔치는 완벽한 방법(디지털),  9,000원","15:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:10,  호빗: 다섯 군대 전투(디지털),  9,000원","19:55,  개를 훔치는 완벽한 방법(디지털),  9,000원","22:05,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:50,  개를 훔치는 완벽한 방법(디지털),  6,000원",,,130
2015-01-01,03관,"09:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:15,  기술자들(디지털),  9,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:15,  기술자들(디지털),  9,000원","17:30,  기술자들(디지털),  9,000원","19:45,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:30,  기술자들(디지털),  9,000원","23:50,  기술자들(디지털),  6,000원",,152
2015-01-01,04관,"10:50,  마다가스카의 펭귄(디지털더빙),  5,000원","12:40,  마다가스카의 펭귄(디지털더빙),  9,000원","14:30,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  마다가스카의 펭귄(디지털더빙),  9,000원","18:10,  국제시장(디지털),  9,000원","20:35,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  6,000원",,,254
2015-01-01,05관,"09:20,  테이큰 3(디지털),  5,000원","11:30,  테이큰 3(디지털),  9,000원","13:40,  테이큰 3(디지털),  9,000원","15:50,  테이큰 3(디지털),  9,000원","18:00,  테이큰 3(디지털),  9,000원","20:10,  테이큰 3(디지털),  9,000원","22:20,  테이큰 3(디지털),  9,000원","24:30,  테이큰 3(디지털),  6,000원",,157
2015-01-02,01관,"09:40,  국제시장(디지털),  5,000원","12:05,  국제시장(디지털),  9,000원","14:30,  국제시장(디지털),  9,000원","16:55,  국제시장(디지털),  9,000원","19:20,  국제시장(디지털),  9,000원","21:45,  국제시장(디지털),  9,000원","24:10,  국제시장(디지털),  6,000원",,,239
2015-01-02,02관,"10:30,  호빗: 다섯 군대 전투(디지털),  5,000원","13:15,  개를 훔치는 완벽한 방법(디지털),  9,000원","15:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:10,  호빗: 다섯 군대 전투(디지털),  9,000원","19:55,  개를 훔치는 완벽한 방법(디지털),  9,000원","22:05,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:50,  개를 훔치는 완벽한 방법(디지털),  6,000원",,,130
2015-01-02,03관,"09:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:15,  기술자들(디지털),  9,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:15,  기술자들(디지털),  9,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:15,  기술자들(디지털),  9,000원","21:30,  기술자들(디지털),  9,000원","23:50,  기술자들(디지털),  6,000원",,152
2015-01-02,04관,"10:00,  마다가스카의 펭귄(디지털더빙),  5,000원","11:50,  마다가스카의 펭귄(디지털더빙),  9,000원","13:40,  마다가스카의 펭귄(디지털더빙),  9,000원","15:30,  마다가스카의 펭귄(디지털더빙),  9,000원","18:00,  국제시장(디지털),  9,000원","20:25,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  6,000원",,,254
2015-01-02,05관,"09:20,  테이큰 3(디지털),  5,000원","11:30,  테이큰 3(디지털),  9,000원","13:40,  테이큰 3(디지털),  9,000원","15:50,  테이큰 3(디지털),  9,000원","18:00,  테이큰 3(디지털),  9,000원","20:10,  테이큰 3(디지털),  9,000원","22:20,  테이큰 3(디지털),  9,000원","24:30,  테이큰 3(디지털),  6,000원",,157
