상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2015-11-13,01관,,"13:00,  검은 사제들(디지털),  10,000원","15:15,  검은 사제들(디지털),  10,000원","17:30,  검은 사제들(디지털),  10,000원","19:45,  검은 사제들(디지털),  10,000원","22:00,  검은 사제들(디지털),  10,000원",,,,,,,102
2015-11-13,02관,,"13:25,  개구리왕국(디지털더빙)","15:10,  몬스터 헌트(디지털),  10,000원","17:30,  미쓰 와이프(디지털),  0원","20:00,  007 스펙터(디지털),  10,000원",,,,,,,,99
2015-11-13,03관,,"14:00,  간신(디지털),  0원","16:35,  베테랑(디지털),  0원","19:05,  007 스펙터(디지털),  10,000원","22:00,  스파이 브릿지(디지털),  10,000원",,,,,,,,102
2015-11-13,04관,,"12:30,  007 스펙터(디지털),  10,000원","15:20,  미션 임파서블: 로그네이션(디지털),  0원","17:50,  인턴(디지털),  0원","20:10,  열정같은소리하고있네(디지털),  0원","22:15,  세상끝의 사랑(디지털),  10,000원",,,,,,,99
2015-11-13,05관,,"13:20,  007 스펙터(디지털),  10,000원","16:20,  007 스펙터(디지털),  10,000원","19:20,  내부자들(디지털),  0원","22:10,  007 스펙터(디지털),  10,000원",,,,,,,,232
2015-11-14,01관,"10:00,  007 스펙터(디지털),  6,000원","13:00,  007 스펙터(디지털),  10,000원","16:00,  007 스펙터(디지털),  10,000원","19:00,  007 스펙터(디지털),  10,000원","22:00,  007 스펙터(디지털),  10,000원",,,,,,,,102
2015-11-14,02관,"09:00,  007 스펙터(디지털),  6,000원","11:55,  007 스펙터(디지털),  10,000원","14:50,  007 스펙터(디지털),  10,000원","17:45,  007 스펙터(디지털),  10,000원","20:40,  007 스펙터(디지털),  10,000원",,,,,,,,99
2015-11-14,03관,"10:20,  검은 사제들(디지털),  6,000원","12:35,  검은 사제들(디지털),  10,000원","14:50,  검은 사제들(디지털),  10,000원","17:05,  검은 사제들(디지털),  10,000원","19:20,  검은 사제들(디지털),  10,000원","21:35,  검은 사제들(디지털),  10,000원",,,,,,,102
2015-11-14,04관,"10:30,  몬스터 헌트(디지털),  6,000원","12:50,  개구리왕국(디지털더빙),  10,000원","14:40,  몬스터 헌트(디지털),  10,000원","17:05,  스파이 브릿지(디지털),  10,000원","19:50,  007 스펙터(디지털),  10,000원","22:45,  세상끝의 사랑(디지털),  10,000원",,,,,,,99
2015-11-14,05관,"09:10,  검은 사제들(디지털),  6,000원","11:25,  검은 사제들(디지털),  10,000원","13:40,  검은 사제들(디지털),  10,000원","15:55,  검은 사제들(디지털),  10,000원","18:10,  검은 사제들(디지털),  10,000원","20:25,  검은 사제들(디지털),  10,000원","22:40,  검은 사제들(디지털),  10,000원",,,,,,232
2015-11-15,01관,"10:00,  007 스펙터(디지털),  6,000원","13:00,  007 스펙터(디지털),  10,000원","16:00,  007 스펙터(디지털),  10,000원","19:00,  007 스펙터(디지털),  10,000원","22:00,  007 스펙터(디지털),  10,000원",,,,,,,,102
2015-11-15,02관,"09:00,  007 스펙터(디지털),  6,000원","11:55,  007 스펙터(디지털),  10,000원","14:50,  007 스펙터(디지털),  10,000원","17:45,  007 스펙터(디지털),  10,000원","20:40,  007 스펙터(디지털),  10,000원",,,,,,,,99
2015-11-15,03관,"10:20,  검은 사제들(디지털),  6,000원","12:35,  검은 사제들(디지털),  10,000원","14:50,  검은 사제들(디지털),  10,000원","17:05,  검은 사제들(디지털),  10,000원","19:20,  검은 사제들(디지털),  10,000원","21:35,  검은 사제들(디지털),  10,000원",,,,,,,102
2015-11-15,04관,"10:30,  몬스터 헌트(디지털),  6,000원","12:50,  개구리왕국(디지털더빙),  10,000원","14:40,  몬스터 헌트(디지털),  10,000원","17:05,  스파이 브릿지(디지털),  10,000원","19:50,  007 스펙터(디지털),  10,000원","22:45,  세상끝의 사랑(디지털)",,,,,,,99
2015-11-15,05관,"09:10,  검은 사제들(디지털),  6,000원","11:25,  검은 사제들(디지털),  10,000원","13:40,  검은 사제들(디지털),  10,000원","15:55,  검은 사제들(디지털),  10,000원","18:10,  검은 사제들(디지털),  10,000원","20:25,  검은 사제들(디지털),  10,000원","22:40,  검은 사제들(디지털),  10,000원",,,,,,232
2015-11-16,01관,"10:00,  007 스펙터(디지털),  6,000원","13:00,  007 스펙터(디지털),  9,000원","16:00,  007 스펙터(디지털),  9,000원","19:00,  007 스펙터(디지털),  9,000원","22:00,  007 스펙터(디지털),  9,000원",,,,,,,,102
2015-11-16,02관,"09:00,  007 스펙터(디지털),  6,000원","11:55,  007 스펙터(디지털),  9,000원","14:50,  007 스펙터(디지털),  9,000원","17:45,  007 스펙터(디지털),  9,000원","20:40,  007 스펙터(디지털),  9,000원",,,,,,,,99
2015-11-16,03관,"10:20,  검은 사제들(디지털),  6,000원","12:35,  검은 사제들(디지털),  9,000원","14:50,  검은 사제들(디지털),  9,000원","17:05,  검은 사제들(디지털),  9,000원","19:20,  검은 사제들(디지털),  9,000원","21:35,  검은 사제들(디지털),  9,000원",,,,,,,102
