상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2017-04-25,01관,"15:00,  재심(디지털),  0원","20:00,  보안관(디지털),  0원",,,,,,,,,203
2017-04-25,02관,"13:30,  곡성(디지털),  0원","17:30,  라라랜드(디지털),  0원",,,,,,,,,80
2017-04-25,03관,"14:00,  어느날(디지털),  0원","19:00,  콩: 스컬 아일랜드(디지털),  0원",,,,,,,,,136
2017-04-25,04관,"14:30,  얼라이드(디지털),  0원","18:30,  더 킹(디지털),  0원",,,,,,,,,217
2017-04-25,05관,"13:00,  스머프: 비밀의 숲(디지털더빙),  0원","16:30,  너의 이름은.(디지털),  0원",,,,,,,,,80
2017-04-25,06관,"12:00,  오두막(디지털),  0원","16:00,  럭키(디지털),  0원","19:40,  로건(디지털),  0원",,,,,,,,136
2017-04-26,01관,"09:30,  특별시민(디지털),  6,000원","12:05,  특별시민(디지털),  8,000원","14:40,  특별시민(디지털),  7,000원","17:15,  특별시민(디지털),  5,000원","19:50,  특별시민(디지털),  5,000원","22:25,  특별시민(디지털),  9,000원",,,,,203
2017-04-26,02관,"10:10,  분노의 질주: 더 익스트림(디지털),  6,000원","12:50,  분노의 질주: 더 익스트림(디지털),  8,000원","15:30,  분노의 질주: 더 익스트림(디지털),  9,000원","18:10,  분노의 질주: 더 익스트림(디지털),  5,000원","20:50,  분노의 질주: 더 익스트림(디지털),  5,000원","23:30,  분노의 질주: 더 익스트림(디지털),  8,000원",,,,,80
2017-04-26,03관,"10:40,  임금님의 사건수첩(디지털),  6,000원","13:00,  임금님의 사건수첩(디지털),  9,000원","15:20,  임금님의 사건수첩(디지털),  0원","17:40,  임금님의 사건수첩(디지털),  5,000원","20:00,  임금님의 사건수첩(디지털),  5,000원","22:20,  임금님의 사건수첩(디지털),  9,000원",,,,,136
2017-04-26,04관,"10:20,  특별시민(디지털),  6,000원","12:55,  특별시민(디지털),  6,000원","15:30,  특별시민(디지털),  8,000원","18:05,  특별시민(디지털),  5,000원","20:40,  특별시민(디지털),  5,000원","23:15,  특별시민(디지털),  8,000원",,,,,217
