상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2019-08-26,04관,"17:25,  틴 스피릿(디지털)",,,,,,,,63
2019-08-27,03관,"19:10,  블라인드 멜로디(디지털)",,,,,,,,71
2019-08-27,04관,"18:45,  블라인드 멜로디(디지털)",,,,,,,,63
2019-08-27,05관,"18:50,  블라인드 멜로디(디지털)",,,,,,,,81
2019-08-27,06관,"18:55,  블라인드 멜로디(디지털)",,,,,,,,161
2019-08-27,07관,"19:00,  블라인드 멜로디(디지털)",,,,,,,,107
2019-08-27,08관,"19:05,  블라인드 멜로디(디지털)",,,,,,,,173
2019-08-28,01관,"21:20,  변신(디지털)",,,,,,,,396
2019-08-28,02관,"18:50,  블라인드 멜로디(디지털)",,,,,,,,279
2019-08-28,03관,"15:25,  뽀로로 극장판 보물섬 대모험(디지털)","21:00,  변신(디지털)",,,,,,,71
2019-08-28,04관,"15:30,  틴 스피릿(디지털)",,,,,,,,63
2019-08-28,05관,"15:35,  블라인드 멜로디(디지털)",,,,,,,,81
2019-08-28,06관,"15:40,  변신(디지털)",,,,,,,,161
2019-08-28,07관,"15:45,  뽀로로 극장판 보물섬 대모험(디지털)",,,,,,,,107
2019-08-28,08관,"15:50,  변신(디지털)",,,,,,,,173
2019-08-29,01관,"23:45,  유열의 음악앨범(디지털)",,,,,,,,396
2019-08-30,01관,"12:20,  유열의 음악앨범(디지털),  9,000원","14:50,  유열의 음악앨범(디지털),  12,000원","17:20,  타짜: 원 아이드 잭(디지털)","20:05,  유열의 음악앨범(디지털),  12,000원","22:40,  유열의 음악앨범(디지털),  12,000원",,,,396
2019-08-30,02관,"11:30,  변신(디지털),  11,000원","13:50,  분노의 질주: 홉스&쇼(디지털),  12,000원","16:30,  변신(디지털),  12,000원","18:50,  유열의 음악앨범(디지털)","21:20,  엑시트(디지털),  12,000원",,,,279
2019-08-30,03관,"11:30,  47미터 2(디지털),  11,000원","13:30,  원더랜드(디지털더빙)","15:25,  뽀로로 극장판 보물섬 대모험(디지털)","17:15,  엑시트(디지털),  12,000원","19:25,  변신(디지털),  12,000원","21:45,  47미터 2(디지털),  12,000원",,,71
2019-08-30,04관,"10:50,  광대들: 풍문조작단(디지털),  11,000원","13:05,  봉오동 전투(디지털),  12,000원","15:45,  후로티로봇 극장판(디지털더빙),  9,000원","17:30,  광대들: 풍문조작단(디지털),  12,000원","19:50,  사자(디지털)","22:25,  봉오동 전투(디지털),  12,000원",,,63
2019-08-30,05관,"11:00,  유열의 음악앨범(디지털),  11,000원","13:30,  변신(디지털),  12,000원","16:20,  유열의 음악앨범(디지털),  12,000원","19:00,  나의 특별한 형제(디지털)","21:30,  유열의 음악앨범(디지털),  12,000원",,,,81
2019-08-30,06관,"11:50,  증인(디지털)","14:30,  안나(디지털)","17:00,  동키 킹(디지털더빙)","18:50,  안나(디지털),  12,000원","21:15,  안나(디지털),  12,000원",,,,161
2019-08-30,07관,"12:50,  블라인드 멜로디(디지털),  11,000원","15:35,  47미터 2(디지털),  12,000원","17:30,  타짜: 원 아이드 잭(디지털)","20:15,  47미터 2(디지털),  12,000원","22:10,  블라인드 멜로디(디지털),  12,000원",,,,107
2019-08-30,08관,"11:40,  분노의 질주: 홉스&쇼(디지털),  11,000원","14:20,  엑시트(디지털),  12,000원","16:30,  분노의 질주: 홉스&쇼(디지털),  12,000원","19:10,  엑시트(디지털),  12,000원","21:20,  분노의 질주: 홉스&쇼(디지털),  12,000원",,,,173
2019-08-31,01관,"08:40,  유열의 음악앨범(디지털),  8,000원","11:10,  분노의 질주: 홉스&쇼(디지털),  11,000원","13:50,  유열의 음악앨범(디지털),  12,000원","16:20,  분노의 질주: 홉스&쇼(디지털),  12,000원","19:00,  유열의 음악앨범(디지털),  12,000원","21:30,  분노의 질주: 홉스&쇼(디지털),  12,000원","24:10,  유열의 음악앨범(디지털),  10,000원",,396
2019-08-31,02관,"09:50,  변신(디지털),  8,000원","12:10,  유열의 음악앨범(디지털),  11,000원","14:40,  변신(디지털),  12,000원","17:00,  유열의 음악앨범(디지털),  12,000원","19:30,  변신(디지털),  12,000원","21:50,  유열의 음악앨범(디지털),  12,000원","24:20,  엑시트(디지털),  10,000원",,279
