상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"08:50,  테이큰 3(디지털),  6,000원","11:15,  테이큰 3(디지털),  10,000원","13:40,  테이큰 3(디지털),  10,000원","16:05,  테이큰 3(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:55,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  9,000원",,,,124
2015-01-01,02관,"07:50,  기술자들(디지털),  6,000원","10:20,  마다가스카의 펭귄(디지털더빙),  10,000원","12:25,  기술자들(디지털),  10,000원","14:55,  마다가스카의 펭귄(디지털더빙),  10,000원","17:00,  기술자들(디지털),  10,000원","19:35,  국제시장(디지털),  10,000원","22:10,  기술자들(디지털),  10,000원","24:45,  국제시장(디지털)",,,116
2015-01-01,03관,"07:40,  국제시장(디지털),  6,000원","10:15,  국제시장(디지털),  10,000원","12:50,  국제시장(디지털),  10,000원","15:25,  국제시장(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:35,  국제시장(디지털),  10,000원","23:10,  국제시장(디지털),  9,000원",,,,261
2015-01-01,아르떼,"08:00,  하이킥 엔젤스(디지털),  6,000원","10:00,  내일을 위한 시간(디지털),  10,000원","12:05,  마미(디지털),  10,000원","14:55,  무드 인디고(디지털),  10,000원","17:00,  내일을 위한 시간(디지털),  10,000원","19:05,  무드 인디고(디지털),  10,000원","21:10,  하이킥 엔젤스(디지털),  10,000원","23:10,  내일을 위한 시간(디지털),  9,000원","25:15,  무드 인디고(디지털)",,32
2015-01-01,05관,"08:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","10:25,  테이큰 3(디지털),  10,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:45,  테이큰 3(디지털),  10,000원","17:10,  국제시장(디지털),  10,000원","19:45,  테이큰 3(디지털),  10,000원","22:20,  국제시장(디지털),  10,000원","25:00,  테이큰 3(디지털)",,,27
2015-01-02,01관,"08:50,  테이큰 3(디지털),  6,000원","11:15,  테이큰 3(디지털),  10,000원","13:40,  테이큰 3(디지털),  10,000원","16:05,  테이큰 3(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:55,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  9,000원",,,,124
2015-01-02,02관,"07:50,  기술자들(디지털),  6,000원","10:20,  마다가스카의 펭귄(디지털더빙),  10,000원","12:25,  기술자들(디지털),  10,000원","14:55,  마다가스카의 펭귄(디지털더빙),  10,000원","17:00,  기술자들(디지털),  10,000원","19:35,  국제시장(디지털),  10,000원","22:10,  기술자들(디지털),  10,000원","24:45,  국제시장(디지털),  9,000원",,,116
2015-01-02,03관,"07:40,  국제시장(디지털),  6,000원","10:15,  국제시장(디지털),  10,000원","12:50,  국제시장(디지털),  10,000원","15:25,  국제시장(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:35,  국제시장(디지털),  10,000원","23:10,  국제시장(디지털),  9,000원",,,,261
2015-01-02,아르떼,"08:00,  하이킥 엔젤스(디지털)","10:00,  내일을 위한 시간(디지털),  10,000원","12:05,  마미(디지털),  10,000원","14:55,  무드 인디고(디지털),  10,000원","17:00,  내일을 위한 시간(디지털),  10,000원","19:05,  무드 인디고(디지털),  10,000원","21:10,  하이킥 엔젤스(디지털),  10,000원","23:10,  내일을 위한 시간(디지털),  9,000원","25:15,  무드 인디고(디지털),  9,000원",,32
2015-01-02,05관,"08:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","10:25,  테이큰 3(디지털),  10,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:45,  테이큰 3(디지털),  10,000원","17:10,  국제시장(디지털),  10,000원","19:45,  테이큰 3(디지털),  10,000원","22:20,  국제시장(디지털),  10,000원","25:00,  테이큰 3(디지털)",,,27
