상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"08:10,  국제시장(디지털),  6,000원","10:50,  국제시장(디지털),  10,000원","13:30,  국제시장(디지털),  10,000원","16:10,  국제시장(디지털),  10,000원","18:50,  국제시장(디지털),  10,000원","21:30,  국제시장(디지털),  10,000원","24:10,  국제시장(디지털),  10,000원",,,,254
2015-01-01,02관,"07:10,  마다가스카의 펭귄(디지털더빙),  6,000원","09:15,  마다가스카의 펭귄(디지털더빙),  10,000원","11:20,  마다가스카의 펭귄(3D 더빙),  12,000원","13:25,  마다가스카의 펭귄(디지털더빙),  10,000원","15:30,  마다가스카의 펭귄(3D 더빙),  12,000원","17:35,  마다가스카의 펭귄(디지털더빙),  10,000원","19:40,  테이큰 3(디지털),  10,000원","22:05,  테이큰 3(디지털),  10,000원","24:30,  테이큰 3(디지털),  10,000원",,183
2015-01-01,03관,"08:40,  기술자들(디지털),  6,000원","11:10,  기술자들(디지털),  10,000원","13:40,  기술자들(디지털),  10,000원","16:10,  기술자들(디지털),  10,000원","18:40,  기술자들(디지털),  10,000원","21:10,  기술자들(디지털),  10,000원","23:40,  기술자들(디지털),  10,000원",,,,189
2015-01-01,04관,"07:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","09:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","11:00,  상의원(디지털),  10,000원","13:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:40,  상의원(디지털),  10,000원","24:20,  님아, 그 강을 건너지 마오(디지털),  10,000원",,114
2015-01-01,05관,"08:30,  테이큰 3(디지털),  6,000원","10:55,  테이큰 3(디지털),  10,000원","13:20,  테이큰 3(디지털),  10,000원","15:45,  테이큰 3(디지털),  9,000원","18:10,  테이큰 3(디지털),  10,000원","20:35,  테이큰 3(디지털),  10,000원","23:00,  테이큰 3(디지털),  10,000원",,,,148
2015-01-01,06관,"07:20,  호빗: 다섯 군대 전투(디지털),  6,000원","10:15,  기술자들(디지털),  10,000원","12:45,  마다가스카의 펭귄(디지털더빙),  10,000원","14:50,  국제시장(디지털),  10,000원","17:30,  호빗: 다섯 군대 전투(디지털),  10,000원","20:25,  국제시장(디지털),  10,000원","23:05,  호빗: 다섯 군대 전투(디지털),  10,000원",,,,132
2015-01-02,01관,"08:20,  국제시장(디지털),  6,000원","11:00,  국제시장(디지털),  10,000원","13:40,  국제시장(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:20,  국제시장(디지털),  10,000원",,,,254
2015-01-02,02관,"09:40,  테이큰 3(디지털),  6,000원","12:05,  테이큰 3(디지털),  10,000원","14:30,  테이큰 3(디지털),  10,000원","16:55,  테이큰 3(디지털),  10,000원","19:20,  테이큰 3(디지털),  10,000원","21:45,  테이큰 3(디지털),  10,000원","24:10,  테이큰 3(디지털),  10,000원",,,,183
2015-01-02,03관,"08:00,  기술자들(디지털),  6,000원","10:30,  기술자들(디지털),  10,000원","13:00,  기술자들(디지털),  10,000원","15:30,  기술자들(디지털),  10,000원","18:00,  기술자들(디지털),  10,000원","20:30,  기술자들(디지털),  10,000원","23:00,  기술자들(디지털),  10,000원",,,,189
2015-01-02,04관,"08:10,  상의원(디지털),  6,000원","10:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","12:50,  상의원(디지털),  10,000원","15:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:30,  님아, 그 강을 건너지 마오(디지털),  10,000원",,,114
