상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-01-01,샤롯데,"10:00,  국제시장(디지털),  10,000원","12:30,  테이큰 3(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:40,  국제시장(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:30,  테이큰 3(디지털),  10,000원",32
2015-01-02,샤롯데,"10:00,  국제시장(디지털),  9,000원","12:30,  테이큰 3(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:40,  국제시장(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:30,  테이큰 3(디지털),  10,000원",32
2015-01-03,샤롯데,"10:00,  국제시장(디지털)","12:30,  테이큰 3(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:40,  국제시장(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:30,  테이큰 3(디지털)",32
2015-01-04,샤롯데,"10:00,  국제시장(디지털),  10,000원","12:30,  테이큰 3(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:40,  국제시장(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:30,  테이큰 3(디지털),  10,000원",32
2015-01-05,샤롯데,"10:00,  국제시장(디지털),  8,000원","12:30,  테이큰 3(디지털),  8,000원","14:50,  국제시장(디지털)","17:20,  테이큰 3(디지털)","19:40,  국제시장(디지털)","22:10,  테이큰 3(디지털),  8,000원","24:30,  테이큰 3(디지털),  8,000원",32
2015-01-06,샤롯데,"10:00,  국제시장(디지털)","12:30,  테이큰 3(디지털)","14:50,  국제시장(디지털),  8,000원","17:20,  테이큰 3(디지털),  8,000원","19:40,  국제시장(디지털),  8,000원","22:10,  테이큰 3(디지털)","24:30,  테이큰 3(디지털)",32
2015-01-07,샤롯데,"10:00,  테이큰 3(디지털)","12:20,  국제시장(디지털),  8,000원","14:50,  국제시장(디지털),  8,000원","17:20,  국제시장(디지털),  8,000원","19:50,  워킹걸(디지털),  8,000원","22:05,  워킹걸(디지털)","24:20,  국제시장(디지털)",32
2015-01-08,샤롯데,"10:00,  테이큰 3(디지털)","12:20,  국제시장(디지털)","14:50,  국제시장(디지털)","17:20,  국제시장(디지털),  8,000원","19:50,  워킹걸(디지털)","22:05,  워킹걸(디지털),  8,000원","24:20,  국제시장(디지털)",32
2015-01-09,샤롯데,"10:00,  테이큰 3(디지털)","12:20,  국제시장(디지털),  10,000원","14:50,  국제시장(디지털)","17:20,  국제시장(디지털)","19:50,  워킹걸(디지털),  10,000원","22:05,  워킹걸(디지털)","24:20,  국제시장(디지털)",32
2015-01-10,샤롯데,"10:00,  테이큰 3(디지털),  10,000원","12:20,  국제시장(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:20,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:35,  국제시장(디지털),  10,000원",,32
2015-01-11,샤롯데,"10:00,  테이큰 3(디지털)","12:20,  국제시장(디지털)","14:50,  국제시장(디지털),  10,000원","17:30,  국제시장(디지털),  10,000원","20:10,  국제시장(디지털),  10,000원","22:50,  국제시장(디지털),  10,000원",,32
2015-01-12,샤롯데,"10:20,  국제시장(디지털)","12:55,  국제시장(디지털)","15:30,  국제시장(디지털),  8,000원","18:05,  국제시장(디지털),  8,000원","20:40,  국제시장(디지털),  8,000원","23:15,  국제시장(디지털)",,32
2015-01-13,샤롯데,"10:20,  국제시장(디지털)","12:55,  국제시장(디지털),  7,000원","15:30,  국제시장(디지털)","18:05,  국제시장(디지털)","20:40,  국제시장(디지털),  8,000원","23:15,  국제시장(디지털),  8,000원",,32
