상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2015-07-16,01관,"13:30,  조선명탐정 : 사라진 놉의 딸(디지털)","17:00,  령 : 저주받은 사진(디지털)",,,,,,,,,,,272
2015-07-16,02관,"15:10,  스물(디지털)","18:00,  장수상회(디지털)",,,,,,,,,,,272
2015-07-16,03관,"14:00,  위플래쉬(디지털)","16:30,  악의 연대기(디지털)","19:00,  위플래쉬(디지털)",,,,,,,,,,256
2015-07-16,04관,"15:00,  간신(디지털)","18:30,  간신(디지털)",,,,,,,,,,,256
2015-07-16,05관,"14:15,  경성학교: 사라진 소녀들(디지털)","16:30,  극장판 요괴워치: 탄생의 비밀이다냥!(디지털더빙)",,,,,,,,,,,238
2015-07-16,07관,"13:40,  숀더쉽(디지털)","15:30,  나의 절친 악당들(디지털)",,,,,,,,,,,238
2015-07-16,08관,"14:30,  강남 1970(디지털)","17:30,  차이나타운(디지털)",,,,,,,,,,,
2015-07-17,01관,"09:25,  인사이드 아웃(디지털),  6,000원","11:35,  인사이드 아웃(디지털),  10,000원","13:45,  인사이드 아웃(디지털),  10,000원","15:55,  인사이드 아웃(디지털),  10,000원","18:05,  인사이드 아웃(디지털),  10,000원","20:15,  인사이드 아웃(디지털),  10,000원","22:25,  인사이드 아웃(디지털),  10,000원","24:35,  인사이드 아웃(디지털)",,,,,272
2015-07-17,02관,"10:00,  연평해전(디지털),  6,000원","12:25,  연평해전(디지털),  10,000원","14:50,  연평해전(디지털),  10,000원","17:15,  연평해전(디지털),  10,000원","19:40,  연평해전(디지털),  10,000원","22:05,  연평해전(디지털),  10,000원","24:30,  연평해전(디지털)",,,,,,272
2015-07-17,03관,"08:50,  연평해전(디지털)","11:15,  연평해전(디지털),  10,000원","13:40,  연평해전(디지털),  10,000원","16:05,  연평해전(디지털),  10,000원","18:30,  연평해전(디지털),  10,000원","20:55,  연평해전(디지털),  10,000원","23:20,  연평해전(디지털)",,,,,,256
2015-07-17,04관,"09:30,  터미네이터 제니시스(디지털),  6,000원","12:00,  터미네이터 제니시스(디지털),  10,000원","14:30,  터미네이터 제니시스(디지털),  10,000원","17:00,  터미네이터 제니시스(디지털),  10,000원","19:30,  터미네이터 제니시스(디지털),  10,000원","22:00,  터미네이터 제니시스(디지털),  10,000원","24:30,  터미네이터 제니시스(디지털)",,,,,,256
2015-07-17,05관,"10:30,  인사이드 아웃(디지털더빙)","12:40,  인사이드 아웃(디지털더빙)","14:50,  인사이드 아웃(디지털더빙),  10,000원","17:00,  인사이드 아웃(디지털),  10,000원","19:10,  인사이드 아웃(디지털),  10,000원","21:20,  인사이드 아웃(디지털),  10,000원","23:30,  인시디어스 3(디지털)",,,,,,238
2015-07-17,07관,"09:40,  픽셀(디지털),  6,000원","11:50,  픽셀(디지털),  10,000원","14:00,  픽셀(디지털),  8,000원","16:10,  픽셀(디지털),  10,000원","18:20,  픽셀(디지털),  10,000원","20:30,  픽셀(디지털),  10,000원","22:40,  픽셀(디지털),  10,000원","24:50,  픽셀(디지털)",,,,,238
2015-07-17,08관,"09:00,  손님(디지털)","11:15,  인시디어스 3(디지털),  10,000원","13:20,  손님(디지털),  10,000원","15:35,  인시디어스 3(디지털),  10,000원","17:40,  손님(디지털),  10,000원","19:55,  인시디어스 3(디지털),  10,000원","22:00,  인시디어스 3(디지털),  10,000원","24:05,  손님(디지털)",,,,,
2015-07-18,01관,"09:15,  인사이드 아웃(디지털),  6,000원","11:25,  인사이드 아웃(디지털),  10,000원","13:35,  인사이드 아웃(디지털),  10,000원","15:45,  인사이드 아웃(디지털),  10,000원","17:55,  인사이드 아웃(디지털),  10,000원","20:05,  인사이드 아웃(디지털),  10,000원","22:15,  인사이드 아웃(디지털),  10,000원","24:25,  인사이드 아웃(디지털)",,,,,272
2015-07-18,02관,"09:20,  연평해전(디지털),  6,000원","11:45,  연평해전(디지털),  10,000원","14:10,  연평해전(디지털),  10,000원","16:35,  연평해전(디지털),  10,000원","19:00,  연평해전(디지털),  10,000원","21:25,  연평해전(디지털),  10,000원","23:50,  연평해전(디지털)",,,,,,272
2015-07-18,03관,"10:30,  인사이드 아웃(디지털),  6,000원","12:45,  연평해전(디지털),  10,000원","15:15,  연평해전(디지털),  10,000원","17:40,  연평해전(디지털),  10,000원","20:05,  연평해전(디지털),  10,000원","22:30,  연평해전(디지털),  10,000원","24:55,  연평해전(디지털)",,,,,,256
2015-07-18,04관,"09:30,  터미네이터 제니시스(디지털),  5,000원","12:00,  터미네이터 제니시스(디지털),  10,000원","14:30,  터미네이터 제니시스(디지털),  10,000원","17:00,  터미네이터 제니시스(디지털),  10,000원","19:30,  터미네이터 제니시스(디지털),  10,000원","22:00,  터미네이터 제니시스(디지털),  10,000원","24:30,  터미네이터 제니시스(디지털)",,,,,,256
2015-07-18,05관,"10:20,  인사이드 아웃(디지털더빙),  6,000원","12:30,  인사이드 아웃(디지털더빙),  10,000원","14:40,  인사이드 아웃(디지털더빙),  10,000원","16:50,  인사이드 아웃(디지털),  10,000원","19:00,  인사이드 아웃(디지털),  10,000원","21:10,  인사이드 아웃(디지털),  10,000원","23:20,  인사이드 아웃(디지털)",,,,,,238
2015-07-18,07관,"08:40,  픽셀(디지털),  6,000원","10:50,  픽셀(디지털),  10,000원","13:00,  픽셀(디지털),  10,000원","15:10,  픽셀(디지털),  10,000원","17:20,  픽셀(디지털),  10,000원","19:30,  픽셀(디지털),  10,000원","21:40,  픽셀(디지털),  10,000원","23:50,  픽셀(디지털)",,,,,238
2015-07-18,08관,"09:00,  쥬라기 월드(디지털),  5,000원","11:30,  인사이드 아웃(디지털더빙),  10,000원","14:00,  인시디어스 3(디지털),  10,000원","16:10,  픽셀(디지털),  10,000원","18:20,  인시디어스 3(디지털),  10,000원","20:25,  픽셀(디지털),  10,000원","22:35,  인시디어스 3(디지털),  10,000원","24:40,  인시디어스 3(디지털)",,,,,
2015-07-19,01관,"09:15,  인사이드 아웃(디지털),  5,000원","11:25,  인사이드 아웃(디지털),  10,000원","13:35,  인사이드 아웃(디지털),  10,000원","15:45,  인사이드 아웃(디지털),  10,000원","17:55,  인사이드 아웃(디지털),  10,000원","20:05,  인사이드 아웃(디지털),  10,000원","22:15,  인사이드 아웃(디지털),  10,000원","24:25,  인사이드 아웃(디지털)",,,,,272
2015-07-19,02관,"09:20,  연평해전(디지털),  5,000원","11:45,  연평해전(디지털),  10,000원","14:10,  연평해전(디지털),  10,000원","16:35,  연평해전(디지털),  10,000원","19:00,  연평해전(디지털),  10,000원","21:25,  연평해전(디지털),  10,000원","23:50,  연평해전(디지털)",,,,,,272
2015-07-19,03관,"10:30,  인사이드 아웃(디지털),  5,000원","12:45,  연평해전(디지털),  10,000원","15:15,  연평해전(디지털),  10,000원","17:40,  연평해전(디지털),  10,000원","20:05,  연평해전(디지털),  10,000원","22:30,  연평해전(디지털),  10,000원",,,,,,,256
2015-07-19,04관,"09:30,  터미네이터 제니시스(디지털),  5,000원","12:00,  터미네이터 제니시스(디지털),  10,000원","14:30,  터미네이터 제니시스(디지털),  10,000원","17:00,  터미네이터 제니시스(디지털),  10,000원","19:30,  터미네이터 제니시스(디지털),  10,000원","22:00,  터미네이터 제니시스(디지털),  10,000원","24:30,  터미네이터 제니시스(디지털)",,,,,,256
2015-07-19,05관,"10:20,  인사이드 아웃(디지털더빙),  5,000원","12:30,  인사이드 아웃(디지털더빙),  10,000원","14:40,  인사이드 아웃(디지털더빙),  10,000원","16:50,  인사이드 아웃(디지털),  10,000원","19:00,  인사이드 아웃(디지털),  10,000원","21:10,  인사이드 아웃(디지털),  10,000원","23:20,  인사이드 아웃(디지털)",,,,,,238
2015-07-19,07관,"08:40,  픽셀(디지털),  5,000원","10:50,  픽셀(디지털),  10,000원","13:00,  픽셀(디지털),  10,000원","15:10,  픽셀(디지털),  10,000원","17:20,  픽셀(디지털),  10,000원","19:30,  픽셀(디지털),  10,000원","21:40,  픽셀(디지털),  10,000원","23:50,  픽셀(디지털)",,,,,238
2015-07-19,08관,"09:00,  쥬라기 월드(디지털),  5,000원","11:30,  인사이드 아웃(디지털더빙),  10,000원","14:00,  인시디어스 3(디지털),  10,000원","16:05,  인사이드 아웃(디지털더빙),  10,000원","18:20,  인시디어스 3(디지털),  10,000원","20:25,  픽셀(디지털),  10,000원","22:35,  인시디어스 3(디지털),  10,000원",,,,,,
2015-07-20,01관,"09:25,  인사이드 아웃(디지털),  5,000원","11:35,  인사이드 아웃(디지털),  9,000원","13:45,  인사이드 아웃(디지털),  9,000원","15:55,  인사이드 아웃(디지털),  9,000원","18:05,  인사이드 아웃(디지털),  9,000원","20:15,  인사이드 아웃(디지털),  9,000원","22:25,  인사이드 아웃(디지털),  9,000원",,,,,,272
2015-07-20,02관,"09:50,  연평해전(디지털),  5,000원","12:15,  연평해전(디지털),  9,000원","14:40,  연평해전(디지털),  9,000원","17:05,  연평해전(디지털),  9,000원","19:30,  연평해전(디지털),  9,000원","21:55,  연평해전(디지털),  9,000원",,,,,,,272
2015-07-20,03관,"08:55,  인시디어스 3(디지털),  5,000원","11:00,  인시디어스 3(디지털),  9,000원","13:05,  인시디어스 3(디지털),  9,000원","15:10,  인시디어스 3(디지털),  9,000원","17:15,  인시디어스 3(디지털),  9,000원","19:20,  인시디어스 3(디지털),  9,000원","21:25,  인시디어스 3(디지털),  9,000원","23:30,  인시디어스 3(디지털)",,,,,256
2015-07-20,04관,"10:00,  터미네이터 제니시스(디지털),  5,000원","12:30,  터미네이터 제니시스(디지털),  9,000원","15:00,  터미네이터 제니시스(디지털),  9,000원","17:30,  터미네이터 제니시스(디지털),  9,000원","20:00,  터미네이터 제니시스(디지털),  7,000원","22:30,  터미네이터 제니시스(디지털),  9,000원",,,,,,,256
2015-07-20,05관,"10:30,  인사이드 아웃(디지털),  5,000원","12:40,  인사이드 아웃(디지털),  9,000원","14:50,  인사이드 아웃(디지털),  9,000원","17:00,  인사이드 아웃(디지털)","19:10,  인사이드 아웃(디지털),  9,000원","21:20,  인사이드 아웃(디지털),  9,000원","23:30,  인사이드 아웃(디지털)",,,,,,238
2015-07-20,07관,"09:00,  픽셀(디지털),  5,000원","11:10,  픽셀(디지털),  9,000원","13:20,  픽셀(디지털),  9,000원","15:30,  픽셀(디지털),  9,000원","17:40,  픽셀(디지털),  9,000원","19:50,  픽셀(디지털),  9,000원","22:00,  픽셀(디지털),  9,000원",,,,,,238
