상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-01-01,1관,"08:50,  국제시장(디지털),  6,000원","11:30,  국제시장(디지털),  9,000원","14:10,  국제시장(디지털),  9,000원","16:50,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원",,,,,,131
2015-01-01,2관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","12:55,  마다가스카의 펭귄(3D 더빙),  12,000원","15:00,  마다가스카의 펭귄(디지털더빙),  9,000원","17:05,  마다가스카의 펭귄(디지털더빙),  9,000원","19:10,  테이큰 3(디지털),  9,000원","21:30,  기술자들(디지털),  9,000원","23:55,  테이큰 3(디지털),  7,000원",,,,119
2015-01-01,3관,"08:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:15,  마다가스카의 펭귄(3D 더빙),  12,000원","12:20,  테이큰 3(디지털),  9,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:35,  테이큰 3(디지털),  9,000원","18:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원","23:30,  호빗: 다섯 군대 전투(디지털),  7,000원",,,,89
2015-01-02,1관,"08:50,  국제시장(디지털),  6,000원","11:30,  국제시장(디지털),  9,000원","14:10,  국제시장(디지털),  9,000원","16:50,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원",,,,,,131
2015-01-02,2관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","12:55,  마다가스카의 펭귄(3D 더빙),  12,000원","15:00,  마다가스카의 펭귄(디지털더빙),  9,000원","17:05,  마다가스카의 펭귄(디지털더빙),  9,000원","19:10,  테이큰 3(디지털),  9,000원","21:30,  기술자들(디지털),  9,000원","23:55,  테이큰 3(디지털),  7,000원",,,,119
2015-01-02,3관,"08:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:15,  마다가스카의 펭귄(3D 더빙),  12,000원","12:20,  테이큰 3(디지털),  9,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:35,  테이큰 3(디지털),  9,000원","18:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원","23:30,  호빗: 다섯 군대 전투(디지털),  7,000원",,,,89
2015-01-03,1관,"08:50,  국제시장(디지털),  6,000원","11:30,  국제시장(디지털),  9,000원","14:10,  국제시장(디지털),  9,000원","16:50,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원",,,,,,131
2015-01-03,2관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","12:55,  마다가스카의 펭귄(3D 더빙),  12,000원","15:00,  마다가스카의 펭귄(디지털더빙),  9,000원","17:10,  마다가스카의 펭귄(디지털더빙),  9,000원","19:15,  테이큰 3(디지털),  9,000원","21:35,  기술자들(디지털),  9,000원","24:00,  테이큰 3(디지털),  7,000원",,,,119
2015-01-03,3관,"08:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:15,  마다가스카의 펭귄(디지털더빙),  9,000원","12:20,  테이큰 3(디지털),  9,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:35,  테이큰 3(디지털),  9,000원","18:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원","23:25,  호빗: 다섯 군대 전투(디지털),  7,000원",,,,89
2015-01-04,1관,"08:50,  국제시장(디지털),  6,000원","11:30,  국제시장(디지털),  9,000원","14:10,  국제시장(디지털),  9,000원","16:50,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원",,,,,,131
2015-01-04,2관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","12:55,  마다가스카의 펭귄(3D 더빙),  12,000원","15:00,  마다가스카의 펭귄(디지털더빙),  9,000원","17:10,  마다가스카의 펭귄(디지털더빙),  9,000원","19:15,  테이큰 3(디지털),  9,000원","21:35,  기술자들(디지털),  9,000원","24:00,  테이큰 3(디지털),  7,000원",,,,119
2015-01-04,3관,"08:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:15,  마다가스카의 펭귄(디지털더빙),  9,000원","12:20,  테이큰 3(디지털),  9,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:35,  테이큰 3(디지털),  9,000원","18:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원","23:25,  호빗: 다섯 군대 전투(디지털),  7,000원",,,,89
2015-01-05,1관,"08:40,  국제시장(디지털),  6,000원","11:10,  국제시장(디지털),  8,000원","13:40,  국제시장(디지털),  8,000원","16:10,  국제시장(디지털),  9,000원","18:40,  국제시장(디지털),  9,000원","21:10,  국제시장(디지털),  9,000원","23:40,  국제시장(디지털),  6,000원",,,,,131
2015-01-05,2관,"09:10,  마다가스카의 펭귄(디지털더빙),  6,000원","11:15,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:10,  마다가스카의 펭귄(디지털더빙),  8,000원","15:15,  마다가스카의 펭귄(디지털더빙),  8,000원","17:20,  마다가스카의 펭귄(디지털더빙),  9,000원","19:40,  국제시장(디지털),  9,000원","22:10,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,,119
