상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,샤롯데,"10:00,  국제시장(디지털),  6,000원","12:30,  테이큰 3(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:25,  테이큰 3(디지털),  10,000원","19:45,  국제시장(디지털),  10,000원","22:20,  테이큰 3(디지털),  10,000원","24:40,  국제시장(디지털)",,34
2015-01-02,샤롯데,"10:00,  테이큰 3(디지털),  6,000원","12:15,  기술자들(디지털),  10,000원","14:50,  테이큰 3(디지털),  10,000원","17:10,  국제시장(디지털),  10,000원","19:45,  테이큰 3(디지털),  10,000원","22:05,  국제시장(디지털),  10,000원","24:40,  테이큰 3(디지털)",,34
2015-01-03,샤롯데,"09:30,  국제시장(디지털),  6,000원","12:05,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:25,  국제시장(디지털),  10,000원","25:00,  국제시장(디지털)",,34
2015-01-04,샤롯데,"09:30,  국제시장(디지털),  6,000원","12:05,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:25,  국제시장(디지털),  10,000원","25:00,  국제시장(디지털)",,34
2015-01-05,샤롯데,"10:10,  국제시장(디지털),  6,000원","12:45,  국제시장(디지털),  8,000원","15:20,  국제시장(디지털),  8,000원","18:00,  국제시장(디지털),  9,000원","20:35,  국제시장(디지털),  9,000원","23:10,  국제시장(디지털)",,,34
2015-01-06,샤롯데,"10:10,  국제시장(디지털)","12:45,  국제시장(디지털),  8,000원","15:20,  국제시장(디지털),  8,000원","18:00,  국제시장(디지털),  9,000원","20:35,  국제시장(디지털),  9,000원","23:10,  국제시장(디지털),  9,000원",,,34
2015-01-07,샤롯데,"11:30,  국제시장(디지털),  6,000원","14:05,  국제시장(디지털),  9,000원","16:40,  국제시장(디지털),  9,000원","19:15,  국제시장(디지털),  9,000원","21:50,  국제시장(디지털),  0원","24:25,  국제시장(디지털)",,,34
2015-01-08,샤롯데,"09:40,  국제시장(디지털),  6,000원","12:15,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:25,  국제시장(디지털),  9,000원","20:00,  이별까지 7일(디지털),  9,000원","22:30,  국제시장(디지털),  9,000원","25:05,  국제시장(디지털)",,34
2015-01-09,샤롯데,"11:00,  더 테너 리리코 스핀토(디지털),  9,000원","14:00,  더 테너 리리코 스핀토(디지털),  9,000원","16:30,  국제시장(디지털),  10,000원","20:00,  테이큰 3(디지털),  10,000원","22:20,  국제시장(디지털),  10,000원","24:55,  국제시장(디지털)",,,34
2015-01-10,샤롯데,"10:30,  국제시장(디지털)","13:05,  국제시장(디지털),  9,000원","15:40,  국제시장(디지털),  9,000원","18:15,  국제시장(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원","23:25,  국제시장(디지털),  9,000원",,,34
2015-01-11,샤롯데,"10:30,  국제시장(디지털),  6,000원","13:05,  국제시장(디지털),  9,000원","15:40,  국제시장(디지털),  9,000원","18:15,  국제시장(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원","23:25,  국제시장(디지털),  8,000원",,,34
2015-01-12,샤롯데,"09:30,  국제시장(디지털)","12:05,  국제시장(디지털),  9,000원","14:40,  국제시장(디지털)","17:15,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원","22:25,  국제시장(디지털),  9,000원","25:00,  테이큰 3(디지털)",,34
2015-01-13,샤롯데,"10:00,  국제시장(디지털),  6,000원","12:35,  국제시장(디지털),  9,000원","15:10,  국제시장(디지털),  9,000원","17:45,  국제시장(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원","22:55,  국제시장(디지털),  9,000원",,,34
2015-01-14,샤롯데,"11:20,  허삼관(디지털),  6,000원","13:55,  오늘의 연애(디지털),  9,000원","16:25,  허삼관(디지털),  9,000원","19:00,  오늘의 연애(디지털)","21:30,  허삼관(디지털),  9,000원","24:05,  오늘의 연애(디지털),  9,000원",,,34
2015-01-15,샤롯데,"11:20,  허삼관(디지털),  6,000원","13:55,  오늘의 연애(디지털),  9,000원","16:25,  허삼관(디지털),  9,000원","19:00,  오늘의 연애(디지털),  9,000원","21:30,  허삼관(디지털),  9,000원","24:05,  오늘의 연애(디지털)",,,34
2015-01-16,샤롯데,"11:20,  국제시장(디지털),  6,000원","13:55,  오늘의 연애(디지털),  10,000원","16:25,  국제시장(디지털),  10,000원","19:00,  오늘의 연애(디지털),  10,000원","21:30,  허삼관(디지털),  10,000원","24:05,  오늘의 연애(디지털)",,,34
2015-01-17,샤롯데,"11:00,  국제시장(디지털),  6,000원","13:35,  오늘의 연애(디지털),  10,000원","16:05,  허삼관(디지털),  10,000원","18:40,  오늘의 연애(디지털),  10,000원","21:10,  국제시장(디지털),  10,000원","23:45,  오늘의 연애(디지털),  10,000원",,,34
2015-01-18,샤롯데,"11:00,  국제시장(디지털),  6,000원","13:35,  오늘의 연애(디지털),  10,000원","16:05,  허삼관(디지털),  10,000원","18:40,  오늘의 연애(디지털),  10,000원","21:10,  국제시장(디지털),  10,000원","23:45,  오늘의 연애(디지털)",,,34
2015-01-19,샤롯데,"10:20,  오늘의 연애(디지털)","12:50,  국제시장(디지털),  9,000원","15:25,  오늘의 연애(디지털),  9,000원","17:55,  국제시장(디지털),  9,000원","20:30,  오늘의 연애(디지털),  9,000원","23:00,  국제시장(디지털),  8,000원",,,34
2015-01-20,샤롯데,"10:20,  오늘의 연애(디지털),  6,000원","12:50,  국제시장(디지털),  9,000원","15:25,  오늘의 연애(디지털)","17:55,  국제시장(디지털)","20:30,  오늘의 연애(디지털),  9,000원","23:00,  국제시장(디지털),  9,000원",,,34
2015-01-21,샤롯데,"10:20,  강남 1970(디지털)","13:05,  빅 히어로(디지털)","15:25,  강남 1970(디지털),  9,000원","18:10,  빅 히어로(디지털),  9,000원","20:30,  강남 1970(디지털),  9,000원","23:15,  강남 1970(디지털),  9,000원",,,34
2015-01-22,샤롯데,"10:20,  강남 1970(디지털)","13:05,  빅 히어로(디지털),  9,000원","15:25,  강남 1970(디지털),  9,000원","18:10,  빅 히어로(디지털),  9,000원","20:30,  강남 1970(디지털),  9,000원","23:15,  강남 1970(디지털),  9,000원",,,34
2015-01-23,샤롯데,"10:20,  강남 1970(디지털)","13:05,  빅 히어로(디지털),  10,000원","15:25,  강남 1970(디지털),  10,000원","18:10,  빅 히어로(디지털),  9,000원","20:30,  강남 1970(디지털),  10,000원","23:15,  강남 1970(디지털),  10,000원",,,34
2015-01-24,샤롯데,"09:45,  국제시장(디지털),  6,000원","12:20,  빅 히어로(디지털),  10,000원","14:40,  강남 1970(디지털),  10,000원","17:25,  강남 1970(디지털),  10,000원","20:10,  강남 1970(디지털),  10,000원","22:55,  강남 1970(디지털),  10,000원",,,34
