상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2019-07-22,01관,"10:20,  알라딘(디지털더빙)","14:10,  알라딘(디지털)","18:00,  알라딘(디지털더빙)","21:40,  알라딘(디지털)",,,,,,88
2019-07-22,02관,"18:45,  명탐정 코난: 감청의 권(디지털)",,,,,,,,,89
2019-07-23,01관,"18:10,  라이온 킹(디지털)",,,,,,,,,88
2019-07-23,02관,"18:40,  스파이더맨: 파 프롬 홈(디지털)",,,,,,,,,89
2019-07-23,03관,"19:10,  롱 샷(디지털)",,,,,,,,,93
2019-07-24,01관,"10:30,  스파이더맨: 파 프롬 홈(디지털),  7,000원","13:05,  명탐정 코난: 감청의 권(디지털),  6,000원","15:20,  스파이더맨: 파 프롬 홈(디지털),  8,000원","17:55,  명탐정 코난: 감청의 권(디지털),  10,000원","20:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:45,  나랏말싸미(디지털),  10,000원",,,,88
2019-07-24,02관,"10:40,  알라딘(디지털),  7,000원","13:15,  라이온 킹(디지털),  10,000원","15:40,  알라딘(디지털),  10,000원","18:15,  라이온 킹(디지털),  10,000원","20:40,  알라딘(디지털),  10,000원","23:15,  라이온 킹(디지털),  9,000원",,,,89
2019-07-24,03관,"10:15,  나랏말싸미(디지털),  7,000원","12:30,  나랏말싸미(디지털),  10,000원","14:45,  나랏말싸미(디지털),  10,000원","17:00,  나랏말싸미(디지털),  5,000원","19:15,  나랏말싸미(디지털),  10,000원","21:30,  나랏말싸미(디지털),  10,000원",,,,93
2019-07-25,01관,"09:30,  알라딘(디지털),  7,000원","12:05,  라이온 킹(디지털더빙),  10,000원","14:30,  알라딘(디지털),  10,000원","17:05,  라이온 킹(디지털더빙),  10,000원","19:30,  알라딘(디지털),  10,000원","22:05,  라이온 킹(디지털),  10,000원",,,,88
2019-07-25,02관,"09:10,  스파이더맨: 파 프롬 홈(디지털),  7,000원","11:45,  명탐정 코난: 감청의 권(디지털),  10,000원","14:00,  스파이더맨: 파 프롬 홈(디지털),  8,000원","16:35,  레드슈즈(디지털더빙),  10,000원","18:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원","21:10,  명탐정 코난: 감청의 권(디지털),  10,000원","23:25,  스파이더맨: 파 프롬 홈(디지털),  8,000원",,,89
2019-07-25,03관,"09:00,  나랏말싸미(디지털)","11:15,  나랏말싸미(디지털),  10,000원","13:30,  나랏말싸미(디지털),  10,000원","15:45,  나랏말싸미(디지털),  10,000원","18:00,  나랏말싸미(디지털),  10,000원","20:15,  나랏말싸미(디지털),  10,000원","22:30,  나랏말싸미(디지털),  10,000원",,,93
2019-07-26,01관,"09:00,  알라딘(디지털),  8,000원","11:35,  라이온 킹(디지털더빙),  12,000원","14:00,  알라딘(디지털),  7,000원","16:35,  라이온 킹(디지털더빙),  12,000원","19:00,  알라딘(디지털),  12,000원","21:35,  라이온 킹(디지털),  10,000원","24:00,  알라딘(디지털),  11,000원",,,88
2019-07-26,02관,"09:20,  스파이더맨: 파 프롬 홈(디지털)","11:55,  명탐정 코난: 감청의 권(디지털),  12,000원","14:10,  스파이더맨: 파 프롬 홈(디지털),  12,000원","16:50,  레드슈즈(디지털더빙),  12,000원","18:50,  스파이더맨: 파 프롬 홈(디지털),  12,000원","21:25,  명탐정 코난: 감청의 권(디지털),  12,000원","23:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,89
2019-07-26,03관,"08:30,  나랏말싸미(디지털),  8,000원","10:45,  나랏말싸미(디지털),  8,000원","13:00,  나랏말싸미(디지털),  12,000원","15:15,  나랏말싸미(디지털),  12,000원","17:30,  나랏말싸미(디지털),  12,000원","19:45,  나랏말싸미(디지털),  12,000원","22:00,  나랏말싸미(디지털),  12,000원","24:15,  나랏말싸미(디지털)",,93
