상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2018-02-21,01관,"10:50,  블랙 팬서(디지털)","13:25,  블랙 팬서(디지털)","16:00,  블랙 팬서(디지털)","18:35,  블랙 팬서(디지털)",,,,,191
2018-02-21,02관,"09:30,  신과함께-죄와 벌(디지털)","12:10,  신과함께-죄와 벌(디지털)","14:50,  신과함께-죄와 벌(디지털)","17:30,  신과함께-죄와 벌(디지털)",,,,,152
2018-02-21,03관,"10:40,  조선명탐정: 흡혈괴마의 비밀(디지털)","13:00,  조선명탐정: 흡혈괴마의 비밀(디지털)","15:20,  조선명탐정: 흡혈괴마의 비밀(디지털)","17:40,  조선명탐정: 흡혈괴마의 비밀(디지털)",,,,,60
2018-02-21,04관,"09:50,  블랙 팬서(디지털)","12:25,  블랙 팬서(디지털)","15:00,  블랙 팬서(디지털)","17:35,  블랙 팬서(디지털)",,,,,152
2018-02-21,05관,"10:30,  패딩턴 2(디지털더빙)","12:35,  패딩턴 2(디지털더빙)","14:40,  패딩턴 2(디지털더빙)","16:45,  신과함께-죄와 벌(디지털)",,,,,152
2018-02-21,06관,"10:40,  흥부: 글로 세상을 바꾼 자(디지털)","12:45,  조선명탐정: 흡혈괴마의 비밀(디지털)","15:05,  흥부: 글로 세상을 바꾼 자(디지털)","17:10,  조선명탐정: 흡혈괴마의 비밀(디지털)",,,,,202
2018-02-22,01관,"10:50,  블랙 팬서(디지털)","13:25,  블랙 팬서(디지털)","16:00,  블랙 팬서(디지털)","18:35,  블랙 팬서(디지털)",,,,,191
2018-02-22,02관,"09:30,  신과함께-죄와 벌(디지털)","12:10,  신과함께-죄와 벌(디지털)","14:50,  신과함께-죄와 벌(디지털)","17:30,  신과함께-죄와 벌(디지털)",,,,,152
2018-02-22,03관,"10:40,  조선명탐정: 흡혈괴마의 비밀(디지털)","13:00,  조선명탐정: 흡혈괴마의 비밀(디지털)","15:20,  조선명탐정: 흡혈괴마의 비밀(디지털)","17:40,  조선명탐정: 흡혈괴마의 비밀(디지털)",,,,,60
2018-02-22,04관,"09:50,  블랙 팬서(디지털)","12:25,  블랙 팬서(디지털)","15:00,  블랙 팬서(디지털)","17:35,  블랙 팬서(디지털)",,,,,152
2018-02-22,05관,"10:30,  패딩턴 2(디지털더빙)","12:35,  패딩턴 2(디지털더빙)","14:40,  패딩턴 2(디지털더빙)","16:45,  신과함께-죄와 벌(디지털)",,,,,152
2018-02-22,06관,"10:40,  흥부: 글로 세상을 바꾼 자(디지털)","12:45,  조선명탐정: 흡혈괴마의 비밀(디지털)","15:05,  흥부: 글로 세상을 바꾼 자(디지털)","17:10,  조선명탐정: 흡혈괴마의 비밀(디지털)",,,,,202
