상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"08:50,  테이큰 3(디지털),  6,000원","11:00,  테이큰 3(디지털),  9,000원","13:10,  테이큰 3(디지털),  9,000원","15:20,  테이큰 3(디지털),  9,000원","17:30,  테이큰 3(디지털),  9,000원","19:40,  테이큰 3(디지털),  9,000원","21:50,  테이큰 3(디지털),  9,000원",,,89
2015-01-01,02관,"09:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:40,  님아, 그 강을 건너지 마오(디지털),  9,000원",,62
2015-01-01,03관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:20,  마다가스카의 펭귄(디지털더빙),  9,000원","13:10,  마다가스카의 펭귄(디지털더빙),  9,000원","15:00,  더 테너 리리코 스핀토(디지털),  9,000원","17:10,  마다가스카의 펭귄(디지털더빙),  9,000원","19:00,  더 테너 리리코 스핀토(디지털),  9,000원","21:10,  더 테너 리리코 스핀토(디지털)",,,89
2015-01-01,04관,"08:00,  극장판 파이널 (디지털),  6,000원","12:00,  개를 훔치는 완벽한 방법(디지털),  9,000원","14:10,  상의원(디지털),  9,000원","16:30,  개를 훔치는 완벽한 방법(디지털),  9,000원","18:40,  상의원(디지털),  9,000원","21:10,  개를 훔치는 완벽한 방법(디지털),  9,000원",,,,62
2015-01-01,05관,"09:50,  기술자들(디지털),  6,000원","12:10,  기술자들(디지털),  9,000원","14:30,  기술자들(디지털),  9,000원","16:50,  기술자들(디지털),  9,000원","19:10,  기술자들(디지털),  9,000원","21:30,  기술자들(디지털),  9,000원",,,,134
2015-01-01,06관,"09:00,  국제시장(디지털),  6,000원","11:30,  국제시장(디지털),  9,000원","14:00,  국제시장(디지털),  9,000원","16:30,  국제시장(디지털),  9,000원","19:00,  국제시장(디지털),  9,000원","21:30,  국제시장(디지털),  9,000원",,,,142
2015-01-02,01관,"08:50,  테이큰 3(디지털),  6,000원","11:00,  테이큰 3(디지털),  9,000원","13:10,  테이큰 3(디지털),  9,000원","15:20,  테이큰 3(디지털),  9,000원","17:30,  테이큰 3(디지털),  9,000원","19:40,  테이큰 3(디지털),  9,000원","21:50,  테이큰 3(디지털),  9,000원",,,89
2015-01-02,02관,"09:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:40,  님아, 그 강을 건너지 마오(디지털),  9,000원",,62
2015-01-02,03관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:20,  마다가스카의 펭귄(디지털더빙),  9,000원","13:10,  마다가스카의 펭귄(디지털더빙),  9,000원","15:00,  더 테너 리리코 스핀토(디지털)","17:10,  마다가스카의 펭귄(디지털더빙),  9,000원","19:00,  더 테너 리리코 스핀토(디지털),  9,000원","21:10,  더 테너 리리코 스핀토(디지털),  9,000원",,,89
2015-01-02,04관,"08:00,  극장판 파이널 (디지털),  6,000원","12:00,  개를 훔치는 완벽한 방법(디지털),  9,000원","14:10,  상의원(디지털),  9,000원","16:30,  개를 훔치는 완벽한 방법(디지털),  9,000원","18:40,  상의원(디지털),  9,000원","21:10,  개를 훔치는 완벽한 방법(디지털),  9,000원",,,,62
2015-01-02,05관,"09:50,  기술자들(디지털),  6,000원","12:10,  기술자들(디지털),  9,000원","14:30,  기술자들(디지털),  9,000원","16:50,  기술자들(디지털),  9,000원","19:10,  기술자들(디지털),  9,000원","21:30,  기술자들(디지털),  9,000원",,,,134
