상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2019-01-13,01관,"10:00,  구스 베이비(디지털더빙)","11:50,  구스 베이비(디지털더빙)","13:40,  구스 베이비(디지털더빙)","15:30,  구스 베이비(디지털더빙)","17:20,  구스 베이비(디지털더빙)","19:10,  구스 베이비(디지털더빙)","21:00,  구스 베이비(디지털더빙)","22:50,  구스 베이비(디지털더빙)",,108
2019-01-13,02관,"10:00,  그대 이름은 장미(디지털)","12:30,  그대 이름은 장미(디지털)","15:00,  그대 이름은 장미(디지털)","17:30,  그대 이름은 장미(디지털)","20:00,  그대 이름은 장미(디지털)","22:30,  그대 이름은 장미(디지털)",,,,57
2019-01-13,03관,"10:00,  언더독(디지털)","12:05,  언더독(디지털)","14:10,  언더독(디지털)","16:15,  언더독(디지털)","18:20,  언더독(디지털)","20:25,  언더독(디지털)","22:30,  언더독(디지털)",,,109
2019-01-13,04관,"10:00,  구스 베이비(디지털더빙)","11:50,  구스 베이비(디지털더빙)","13:40,  구스 베이비(디지털더빙)","15:30,  구스 베이비(디지털더빙)","17:20,  구스 베이비(디지털더빙)","19:10,  구스 베이비(디지털더빙)","21:00,  구스 베이비(디지털더빙)","22:50,  구스 베이비(디지털더빙)",,214
2019-01-13,05관,"10:00,  그대 이름은 장미(디지털)","12:30,  그대 이름은 장미(디지털)","15:00,  그대 이름은 장미(디지털)","17:30,  그대 이름은 장미(디지털)","20:00,  그대 이름은 장미(디지털)","22:30,  그대 이름은 장미(디지털)",,,,276
2019-01-13,06관,"10:00,  언더독(디지털)","12:05,  언더독(디지털)","14:10,  언더독(디지털)","16:15,  언더독(디지털)","18:20,  언더독(디지털)","20:25,  언더독(디지털)","22:30,  언더독(디지털)",,,78
2019-01-13,07관,"10:00,  구스 베이비(디지털더빙)","11:50,  구스 베이비(디지털더빙)","13:40,  구스 베이비(디지털더빙)","15:30,  구스 베이비(디지털더빙)","17:20,  구스 베이비(디지털더빙)","19:10,  구스 베이비(디지털더빙)","21:00,  구스 베이비(디지털더빙)","22:50,  구스 베이비(디지털더빙)",,160
2019-01-14,01관,"10:00,  비긴 어게인(디지털)",,,,,,,,,108
2019-01-14,02관,"10:00,  비긴 어게인(디지털)",,,,,,,,,57
2019-01-14,03관,"10:00,  비긴 어게인(디지털)",,,,,,,,,109
2019-01-14,04관,"10:00,  비긴 어게인(디지털)",,,,,,,,,214
2019-01-14,05관,"10:00,  비긴 어게인(디지털)",,,,,,,,,276
2019-01-14,06관,"10:00,  비긴 어게인(디지털)",,,,,,,,,78
2019-01-14,07관,"10:00,  비긴 어게인(디지털)",,,,,,,,,160
2019-01-15,01관,"13:00,  구스 베이비(디지털더빙)","17:30,  그대 이름은 장미(디지털)",,,,,,,,108
2019-01-15,02관,"14:00,  비긴 어게인(디지털)",,,,,,,,,57
2019-01-15,03관,"17:00,  라라랜드(디지털)",,,,,,,,,109
2019-01-15,04관,"16:00,  곤지암(디지털)",,,,,,,,,214
2019-01-15,05관,"18:00,  완벽한 타인(디지털)",,,,,,,,,276
2019-01-15,06관,"15:00,  안시성(디지털)",,,,,,,,,78
2019-01-15,07관,"16:30,  청년경찰(디지털)",,,,,,,,,160
2019-01-16,01관,"10:00,  극장판 공룡메카드: 타이니소어의 섬(디지털),  7,000원","11:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","14:05,  극장판 공룡메카드: 타이니소어의 섬(디지털),  8,000원","15:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","18:10,  내안의 그놈(디지털),  10,000원","20:40,  내안의 그놈(디지털),  9,000원","23:10,  내안의 그놈(디지털),  8,000원",,,108
2019-01-16,02관,"10:40,  왕이 될 아이(디지털),  8,000원","13:05,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","15:25,  왕이 될 아이(디지털),  8,000원","17:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","20:10,  왕이 될 아이(디지털),  8,000원","22:35,  왕이 될 아이(디지털)",,,,57
2019-01-16,03관,"09:50,  말모이(디지털),  7,000원","12:30,  말모이(디지털),  8,000원","15:10,  말모이(디지털),  10,000원","17:50,  말모이(디지털),  10,000원","20:30,  말모이(디지털),  10,000원","23:10,  말모이(디지털),  10,000원",,,,109
