상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-06-29,01관,"11:00,  해빙(디지털),  0원",,,,,,,,,,,,,,143
2017-06-29,02관,"10:00,  당신, 거기 있어줄래요(디지털),  0원",,,,,,,,,,,,,,119
2017-06-29,03관,"12:00,  동주(디지털),  0원",,,,,,,,,,,,,,119
2017-06-29,04관,"17:00,  프리즌(디지털),  0원",,,,,,,,,,,,,,144
2017-06-29,05관,"13:00,  터널(디지털),  0원",,,,,,,,,,,,,,119
2017-06-29,06관,"18:30,  너의 이름은.(디지털),  0원",,,,,,,,,,,,,,87
2017-06-29,08관,"15:00,  덕혜옹주(디지털),  0원","19:30,  보안관(디지털),  0원",,,,,,,,,,,,,308
2017-06-30,01관,"09:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  7,000원","12:20,  트랜스포머: 최후의 기사(디지털),  10,000원","15:20,  트랜스포머: 최후의 기사(디지털),  9,000원","18:20,  트랜스포머: 최후의 기사(디지털),  6,000원","21:20,  트랜스포머: 최후의 기사(디지털),  11,000원","24:20,  트랜스포머: 최후의 기사(디지털),  7,000원",,,,,,,,,143
2017-06-30,02관,"09:20,  리얼(디지털),  7,000원","12:05,  리얼(디지털)","14:50,  리얼(디지털),  11,000원","17:35,  리얼(디지털),  11,000원","20:20,  리얼(디지털),  11,000원","23:05,  리얼(디지털),  7,000원",,,,,,,,,119
2017-06-30,03관,"10:10,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  5,000원","11:40,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙)","13:10,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙)","14:40,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙)","16:10,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙)","17:35,  트랜스포머: 최후의 기사(디지털),  11,000원","20:35,  트랜스포머: 최후의 기사(디지털),  11,000원","23:35,  트랜스포머: 최후의 기사(디지털),  7,000원",,,,,,,119
2017-06-30,04관,"10:20,  박열(디지털),  7,000원","12:55,  박열(디지털),  10,000원","15:30,  박열(디지털),  11,000원","18:05,  박열(디지털),  11,000원","20:40,  박열(디지털),  11,000원","23:15,  박열(디지털),  7,000원",,,,,,,,,144
2017-06-30,05관,"09:30,  박열(디지털),  7,000원","12:05,  박열(디지털)","14:40,  박열(디지털),  11,000원","17:15,  박열(디지털),  11,000원","19:50,  박열(디지털),  11,000원","22:35,  박열(디지털),  11,000원",,,,,,,,,119
