상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-05-12,01관(샤롯데),"11:30,  어벤져스: 에이지 오브 울트론(디지털),  9,000원",,,"20:00,  어벤져스: 에이지 오브 울트론(디지털),  9,000원","22:50,  어벤져스: 에이지 오브 울트론(디지털),  0원",,,,32
2015-05-12,02관(샤롯데),"12:10,  차이나타운(디지털),  9,000원",,"16:40,  차이나타운(디지털),  9,000원","19:00,  연애의 맛(디지털),  9,000원",,"23:30,  연애의 맛(디지털),  9,000원",,,32
2015-05-13,01관(샤롯데),,"14:20,  어벤져스: 에이지 오브 울트론(디지털),  9,000원","17:10,  어벤져스: 에이지 오브 울트론(디지털),  9,000원","20:00,  어벤져스: 에이지 오브 울트론(디지털),  9,000원",,,,,32
2015-05-13,02관(샤롯데),"12:10,  차이나타운(디지털),  9,000원","14:30,  연애의 맛(디지털),  9,000원","16:40,  차이나타운(디지털),  9,000원",,"21:10,  차이나타운(디지털),  9,000원",,,,32
2015-05-14,01관(샤롯데),,"14:10,  매드 맥스: 분노의 도로(디지털),  9,000원","16:50,  매드 맥스: 분노의 도로(디지털),  9,000원","19:30,  매드 맥스: 분노의 도로(디지털),  9,000원","22:10,  매드 맥스: 분노의 도로(디지털),  9,000원",,,,32
2015-05-14,02관(샤롯데),,,"16:10,  악의 연대기(디지털),  9,000원",,"21:00,  악의 연대기(디지털),  9,000원",,,,32
2015-05-15,01관(샤롯데),,"14:10,  매드 맥스: 분노의 도로(디지털),  10,000원","16:50,  매드 맥스: 분노의 도로(디지털),  10,000원","19:30,  매드 맥스: 분노의 도로(디지털),  10,000원","22:10,  매드 맥스: 분노의 도로(디지털),  10,000원",,,,32
2015-05-15,02관(샤롯데),"11:20,  악의 연대기(디지털),  10,000원","13:45,  악의 연대기(디지털),  10,000원","16:10,  악의 연대기(디지털),  10,000원","18:35,  악의 연대기(디지털),  10,000원","21:00,  악의 연대기(디지털),  10,000원",,,,32
2015-05-16,01관(샤롯데),"10:30,  매드 맥스: 분노의 도로(디지털),  0원","13:10,  매드 맥스: 분노의 도로(디지털),  9,000원","15:50,  매드 맥스: 분노의 도로(디지털),  9,000원","18:30,  매드 맥스: 분노의 도로(디지털),  9,000원","21:10,  매드 맥스: 분노의 도로(디지털),  9,000원","23:50,  매드 맥스: 분노의 도로(디지털),  9,000원",,,32
2015-05-16,02관(샤롯데),"09:40,  악의 연대기(디지털),  10,000원","12:05,  악의 연대기(디지털),  10,000원","14:30,  악의 연대기(디지털),  10,000원","16:55,  악의 연대기(디지털),  10,000원","19:20,  악의 연대기(디지털),  10,000원","21:45,  악의 연대기(디지털),  10,000원",,,32
2015-05-16,11관(샤롯데 프라이빗),"13:00,  매드 맥스: 분노의 도로(디지털),  9,000원",,,,,,,,8
2015-05-17,01관(샤롯데),"10:30,  매드 맥스: 분노의 도로(디지털),  10,000원","13:10,  매드 맥스: 분노의 도로(디지털),  10,000원","15:50,  매드 맥스: 분노의 도로(디지털),  10,000원","18:30,  매드 맥스: 분노의 도로(디지털),  10,000원","21:10,  매드 맥스: 분노의 도로(디지털),  10,000원","23:50,  매드 맥스: 분노의 도로(디지털),  10,000원",,,32
2015-05-17,02관(샤롯데),,"12:05,  악의 연대기(디지털),  10,000원","14:30,  악의 연대기(디지털),  10,000원","16:55,  악의 연대기(디지털),  10,000원","19:20,  악의 연대기(디지털),  10,000원","21:45,  악의 연대기(디지털),  10,000원",,,32
2015-05-18,01관(샤롯데),"12:00,  악의 연대기(디지털)","14:20,  악의 연대기(디지털),  9,000원","16:40,  악의 연대기(디지털),  9,000원","19:00,  악의 연대기(디지털),  9,000원","21:20,  악의 연대기(디지털)","23:40,  악의 연대기(디지털)",,,32
2015-05-18,02관(샤롯데),"11:00,  매드 맥스: 분노의 도로(디지털)","15:30,  매드 맥스: 분노의 도로(디지털),  9,000원","20:30,  간신(디지털),  8,000원",,,,,,32
