상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-09-01,01관,"10:40,  원라인(디지털),  0원","13:15,  파워배틀 와치카: 와치가면의 역습(디지털),  0원","14:55,  빅풋 주니어(디지털더빙),  0원","17:00,  라라랜드(디지털),  0원","19:40,  더 킹(디지털),  0원","22:20,  브이아이피(디지털),  11,000원",,,,,,,,,107
2017-09-01,02관,"11:00,  청년경찰(디지털),  0원","13:20,  청년경찰(디지털),  11,000원","15:40,  발레리안: 천 개 행성의 도시(디지털),  11,000원","18:30,  발레리안: 천 개 행성의 도시(디지털),  0원","21:25,  덩케르크(디지털),  0원",,,,,,,,,,302
2017-09-01,03관,"10:50,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  0원","12:15,  너의 이름은.(디지털더빙),  0원","14:35,  보안관(디지털),  0원","17:00,  마이펫 오지(디지털더빙),  0원","19:00,  청년경찰(디지털),  0원","21:20,  원더 우먼(디지털),  0원",,,,,,,,,186
2017-09-01,04관,"10:20,  박열(디지털),  0원","13:00,  당신, 거기 있어줄래요(디지털),  0원","15:25,  예수는 역사다(디지털),  0원","17:50,  플립(디지털),  0원","20:00,  아토믹 블론드(디지털),  0원",,,,,,,,,,87
2017-09-01,05관,"10:40,  발레리안: 천 개 행성의 도시(디지털),  10,000원","13:35,  발레리안: 천 개 행성의 도시(디지털),  11,000원","16:30,  청년경찰(디지털),  11,000원","18:50,  청년경찰(디지털),  11,000원","21:10,  청년경찰(디지털),  11,000원",,,,,,,,,,105
2017-09-01,06관,"10:30,  택시운전사(디지털),  10,000원","13:20,  택시운전사(디지털),  11,000원","16:10,  택시운전사(디지털),  11,000원","19:00,  택시운전사(디지털),  11,000원","21:50,  택시운전사(디지털),  11,000원",,,,,,,,,,117
2017-09-01,07관,"10:10,  브이아이피(디지털),  10,000원","12:50,  브이아이피(디지털),  10,000원","15:30,  브이아이피(디지털),  11,000원","18:10,  브이아이피(디지털),  11,000원","20:50,  발레리안: 천 개 행성의 도시(디지털),  11,000원",,,,,,,,,,97
2017-09-02,01관,"09:30,  브이아이피(디지털),  7,000원","12:10,  브이아이피(디지털),  10,000원","14:50,  브이아이피(디지털),  11,000원","17:30,  브이아이피(디지털),  11,000원","20:10,  브이아이피(디지털),  11,000원","22:50,  브이아이피(디지털),  11,000원",,,,,,,,,107
2017-09-02,02관,"10:00,  택시운전사(디지털),  7,000원","12:50,  택시운전사(디지털),  10,000원","15:40,  택시운전사(디지털),  11,000원","18:30,  택시운전사(디지털),  11,000원","21:20,  택시운전사(디지털),  11,000원","24:10,  택시운전사(디지털),  9,000원",,,,,,,,,302
2017-09-02,03관,"09:40,  발레리안: 천 개 행성의 도시(디지털),  7,000원","12:35,  발레리안: 천 개 행성의 도시(디지털),  8,000원","15:30,  발레리안: 천 개 행성의 도시(디지털),  11,000원","18:25,  발레리안: 천 개 행성의 도시(디지털),  11,000원","21:20,  발레리안: 천 개 행성의 도시(디지털),  11,000원","24:15,  발레리안: 천 개 행성의 도시(디지털),  9,000원",,,,,,,,,186
