상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2016-12-01,01관,"11:50,  신비한 동물사전(디지털),  8,000원","14:30,  부산행(디지털),  0원","17:00,  굿바이 싱글(디지털),  0원","19:30,  신비한 동물사전(디지털),  9,000원","22:10,  신비한 동물사전(디지털),  9,000원",,,,,,240
2016-12-01,02관,"12:00,  드림 쏭(디지털더빙),  0원","13:55,  미씽: 사라진 여자(디지털),  9,000원","16:00,  미씽: 사라진 여자(디지털),  9,000원","18:00,  덕혜옹주(디지털),  0원","20:35,  미씽: 사라진 여자(디지털),  9,000원","22:40,  미씽: 사라진 여자(디지털),  9,000원",,,,,138
2016-12-01,03관,"10:40,  미씽: 사라진 여자(디지털),  8,000원","12:45,  형(디지털),  8,000원","15:10,  형(디지털),  9,000원","17:25,  미씽: 사라진 여자(디지털),  9,000원","19:30,  미씽: 사라진 여자(디지털),  9,000원","21:35,  미씽: 사라진 여자(디지털),  9,000원",,,,,116
2016-12-01,04관,"12:00,  두 남자(디지털),  5,000원","14:00,  신비한 동물사전(디지털),  9,000원","16:40,  신비한 동물사전(디지털),  6,000원","19:20,  형(디지털),  9,000원","21:30,  두 남자(디지털),  9,000원",,,,,,116
2016-12-01,05관,"12:30,  잭 리처: 네버 고 백(디지털),  8,000원","14:50,  잭 리처: 네버 고 백(디지털),  9,000원","17:20,  잭 리처: 네버 고 백(디지털),  9,000원","19:50,  잭 리처: 네버 고 백(디지털),  9,000원","22:20,  잭 리처: 네버 고 백(디지털),  9,000원",,,,,,116
2016-12-01,06관,"12:20,  미씽: 사라진 여자(디지털),  8,000원","14:25,  두 남자(디지털),  9,000원","16:25,  두 남자(디지털),  9,000원","18:30,  터널(디지털),  0원","21:05,  두 남자(디지털),  9,000원","23:05,  두 남자(디지털),  8,000원",,,,,116
2016-12-01,07관,"10:50,  북 오브 러브(디지털),  8,000원","13:20,  신밧드 더 무비(디지털더빙),  9,000원","15:40,  북 오브 러브(디지털)","18:20,  북 오브 러브(디지털)","21:00,  잭 리처: 네버 고 백(디지털),  9,000원",,,,,,90
2016-12-01,08관(수퍼플렉스 / Dolby ATMOS),"11:10,  형(디지털),  8,000원","13:20,  설리: 허드슨강의 기적(디지털),  0원","15:30,  수어사이드 스쿼드(3D 디지털),  0원","18:00,  형(디지털),  9,000원","20:20,  형(디지털),  9,000원","22:40,  형(디지털),  9,000원",,,,,404
2016-12-02,01관,"09:00,  신비한 동물사전(디지털),  7,000원","11:35,  신비한 동물사전(디지털),  10,000원","14:10,  부산행(디지털),  0원","16:35,  신비한 동물사전(디지털),  11,000원","19:10,  신비한 동물사전(디지털),  11,000원","21:50,  신비한 동물사전(디지털),  11,000원",,,,,240
2016-12-02,02관,"09:10,  형(디지털)","11:20,  드림 쏭(디지털더빙),  0원","13:20,  미씽: 사라진 여자(디지털),  11,000원","15:30,  스노우타임(디지털더빙),  0원","17:10,  미씽: 사라진 여자(디지털),  11,000원","19:20,  미씽: 사라진 여자(디지털),  11,000원","21:30,  미씽: 사라진 여자(디지털),  11,000원","23:40,  미씽: 사라진 여자(디지털),  9,000원",,,138
2016-12-02,03관,"09:10,  두 남자(디지털)","11:10,  두 남자(디지털)","13:10,  덕혜옹주(디지털),  0원","15:50,  형(디지털),  11,000원","18:10,  형(디지털),  11,000원","20:30,  형(디지털),  11,000원","22:50,  형(디지털),  11,000원",,,,116
2016-12-02,04관,"10:00,  신비한 동물사전(디지털),  7,000원","12:40,  두 남자(디지털),  5,000원","14:40,  신비한 동물사전(디지털),  11,000원","17:20,  덕혜옹주(디지털)","20:00,  두 남자(디지털),  11,000원","22:00,  두 남자(디지털),  11,000원",,,,,116
2016-12-02,05관,"09:40,  잭 리처: 네버 고 백(디지털),  7,000원","12:10,  잭 리처: 네버 고 백(디지털),  10,000원","14:40,  잭 리처: 네버 고 백(디지털),  11,000원","17:10,  잭 리처: 네버 고 백(디지털),  11,000원","19:40,  잭 리처: 네버 고 백(디지털),  11,000원","22:05,  잭 리처: 네버 고 백(디지털),  11,000원",,,,,116
2016-12-02,06관,"09:20,  미씽: 사라진 여자(디지털),  7,000원","11:30,  미씽: 사라진 여자(디지털)","13:40,  잭 리처: 네버 고 백(디지털),  11,000원","16:00,  두 남자(디지털),  11,000원","18:00,  굿바이 싱글(디지털),  0원","20:30,  터널(디지털),  0원","23:10,  신비한 동물사전(디지털),  9,000원",,,,116
2016-12-02,07관,"09:30,  북 오브 러브(디지털),  7,000원","12:00,  북 오브 러브(디지털)","14:40,  북 오브 러브(디지털),  11,000원","17:20,  신밧드 더 무비(디지털더빙),  11,000원","19:40,  북 오브 러브(디지털),  11,000원","22:20,  미씽: 사라진 여자(디지털),  11,000원",,,,,90
2016-12-02,08관(수퍼플렉스 / Dolby ATMOS),"10:00,  형(디지털),  7,000원","12:20,  형(디지털),  10,000원","14:40,  형(디지털),  11,000원","17:00,  벤허(디지털),  0원","19:30,  형(디지털),  11,000원","21:50,  형(디지털),  11,000원",,,,,404
2016-12-03,01관,"09:00,  미씽: 사라진 여자(디지털),  7,000원","11:00,  미씽: 사라진 여자(디지털),  10,000원","13:05,  미씽: 사라진 여자(디지털),  11,000원","15:10,  미씽: 사라진 여자(디지털),  11,000원","17:15,  미씽: 사라진 여자(디지털),  11,000원","19:20,  두 남자(디지털),  11,000원","21:20,  두 남자(디지털),  11,000원","23:20,  미씽: 사라진 여자(디지털),  9,000원",,,240
2016-12-03,02관,"09:00,  신비한 동물사전(디지털)","11:40,  신비한 동물사전(디지털),  10,000원","14:20,  신비한 동물사전(디지털),  11,000원","16:55,  신비한 동물사전(디지털),  11,000원","19:30,  형(디지털),  11,000원","21:45,  신비한 동물사전(디지털),  11,000원",,,,,138
2016-12-03,03관,"09:20,  두 남자(디지털)","11:20,  잭 리처: 네버 고 백(디지털),  10,000원","13:45,  두 남자(디지털),  11,000원","15:50,  잭 리처: 네버 고 백(디지털),  11,000원","18:20,  두 남자(디지털),  11,000원","20:20,  미씽: 사라진 여자(디지털),  11,000원","22:30,  두 남자(디지털)","24:35,  두 남자(디지털),  9,000원",,,116
2016-12-03,04관,"10:00,  신비한 동물사전(디지털),  7,000원","12:40,  신비한 동물사전(디지털),  10,000원","15:20,  신비한 동물사전(디지털),  11,000원","18:00,  신비한 동물사전(디지털),  11,000원","20:40,  신비한 동물사전(디지털),  11,000원","23:20,  신비한 동물사전(디지털),  9,000원",,,,,116
2016-12-03,05관,"09:40,  잭 리처: 네버 고 백(디지털),  7,000원","12:10,  잭 리처: 네버 고 백(디지털),  10,000원","14:40,  잭 리처: 네버 고 백(디지털),  11,000원","17:10,  잭 리처: 네버 고 백(디지털),  11,000원","19:40,  잭 리처: 네버 고 백(디지털),  11,000원","22:05,  잭 리처: 네버 고 백(디지털),  11,000원","24:30,  잭 리처: 네버 고 백(디지털),  9,000원",,,,116
