상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2019-02-28,01관,"15:30,  완벽한 타인(디지털)",,,,,,,,,168
2019-02-28,02관,"15:50,  청년경찰(디지털)",,,,,,,,,132
2019-02-28,03관,"16:10,  비긴 어게인(디지털)",,,,,,,,,134
2019-02-28,06관,"16:30,  라라랜드(디지털)",,,,,,,,,135
2019-02-28,07관,"16:50,  안시성(디지털)",,,,,,,,,284
2019-03-01,01관,"09:20,  증인(디지털),  7,000원","11:55,  증인(디지털),  10,000원","14:30,  증인(디지털),  10,000원","17:05,  증인(디지털),  11,000원","19:40,  증인(디지털),  11,000원","22:15,  증인(디지털),  11,000원",,,,168
2019-03-01,02관,"09:40,  항거:유관순 이야기(디지털),  7,000원","11:55,  항거:유관순 이야기(디지털),  10,000원","14:10,  항거:유관순 이야기(디지털),  10,000원","16:25,  항거:유관순 이야기(디지털),  11,000원","18:40,  항거:유관순 이야기(디지털),  11,000원","20:55,  항거:유관순 이야기(디지털),  11,000원","23:10,  항거:유관순 이야기(디지털),  10,000원",,,132
2019-03-01,03관,"09:50,  래미의 초특급 시간여행(디지털더빙),  7,000원","11:30,  칠곡 가시나들(디지털),  10,000원","13:35,  어쩌다, 결혼(디지털),  10,000원","15:30,  슈퍼미니 2(디지털),  10,000원","17:30,  칠곡 가시나들(디지털)","19:35,  어쩌다, 결혼(디지털),  11,000원","21:30,  어쩌다, 결혼(디지털),  11,000원","23:25,  어쩌다, 결혼(디지털),  10,000원",,134
2019-03-01,04관,"09:00,  사바하(디지털),  7,000원","11:30,  사바하(디지털),  10,000원","14:00,  사바하(디지털),  10,000원","16:30,  사바하(디지털),  11,000원","19:00,  사바하(디지털),  11,000원","21:30,  사바하(디지털),  11,000원","24:00,  사바하(디지털),  10,000원",,,336
2019-03-01,05관,"09:55,  사바하(디지털),  7,000원","13:00,  증인(디지털),  10,000원","15:35,  사바하(디지털),  10,000원","18:05,  증인(디지털),  11,000원","20:40,  사바하(디지털),  11,000원","23:10,  증인(디지털),  10,000원",,,,54
2019-03-01,06관,"09:30,  자전차왕 엄복동(디지털),  7,000원","11:55,  옷코는 초등학생 사장님!(디지털),  10,000원","13:55,  자전차왕 엄복동(디지털),  10,000원","16:20,  증인(디지털),  11,000원","18:55,  증인(디지털),  11,000원","21:30,  자전차왕 엄복동(디지털),  11,000원","23:55,  자전차왕 엄복동(디지털),  10,000원",,,135
2019-03-01,07관,"09:30,  극한직업(디지털),  7,000원","11:45,  극한직업(디지털),  10,000원","14:00,  극한직업(디지털),  10,000원","16:15,  극한직업(디지털),  11,000원","18:30,  극한직업(디지털),  11,000원","20:45,  극한직업(디지털),  11,000원","23:00,  극한직업(디지털),  10,000원",,,284
2019-03-02,01관,"09:20,  증인(디지털),  7,000원","11:55,  증인(디지털),  10,000원","14:30,  증인(디지털),  10,000원","17:05,  증인(디지털),  11,000원","19:40,  증인(디지털),  11,000원","22:15,  증인(디지털),  11,000원",,,,168
2019-03-02,02관,"09:40,  항거:유관순 이야기(디지털),  7,000원","11:55,  항거:유관순 이야기(디지털),  10,000원","14:10,  항거:유관순 이야기(디지털),  10,000원","16:25,  항거:유관순 이야기(디지털),  11,000원","18:40,  항거:유관순 이야기(디지털),  11,000원","20:55,  항거:유관순 이야기(디지털),  11,000원","23:10,  항거:유관순 이야기(디지털),  10,000원",,,132
2019-03-02,03관,"09:50,  래미의 초특급 시간여행(디지털더빙),  7,000원","11:30,  칠곡 가시나들(디지털),  10,000원","13:35,  어쩌다, 결혼(디지털),  10,000원","15:30,  슈퍼미니 2(디지털),  10,000원","17:30,  칠곡 가시나들(디지털),  7,000원","19:35,  어쩌다, 결혼(디지털),  11,000원","21:30,  어쩌다, 결혼(디지털),  11,000원","23:25,  어쩌다, 결혼(디지털)",,134
