상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2019-03-01,01관,"10:20,  항거:유관순 이야기(디지털),  10,000원","12:30,  자전차왕 엄복동(디지털),  10,000원","14:55,  항거:유관순 이야기(디지털),  12,000원","17:05,  어쩌다, 결혼(디지털),  9,000원","19:00,  항거:유관순 이야기(디지털),  12,000원","21:10,  자전차왕 엄복동(디지털),  12,000원","23:35,  항거:유관순 이야기(디지털),  9,000원",,121
2019-03-01,02관,"09:50,  극한직업(디지털),  8,000원","12:10,  래미의 초특급 시간여행(디지털더빙),  6,000원","13:55,  슈퍼미니 2(디지털),  12,000원","15:50,  극한직업(디지털),  12,000원","18:05,  극한직업(디지털),  12,000원","20:20,  극한직업(디지털),  12,000원","22:35,  극한직업(디지털),  12,000원",,129
2019-03-01,04관,"08:50,  사바하(디지털),  6,000원","11:15,  사바하(디지털),  10,000원","13:40,  사바하(디지털),  12,000원","16:05,  사바하(디지털),  12,000원","18:30,  사바하(디지털),  12,000원","20:55,  사바하(디지털),  12,000원","23:20,  사바하(디지털),  9,000원",,214
2019-03-01,06관,"09:10,  증인(디지털),  8,000원","11:40,  증인(디지털),  10,000원","14:10,  증인(디지털),  12,000원","16:40,  증인(디지털),  12,000원","19:15,  증인(디지털),  7,000원","21:45,  증인(디지털),  12,000원","24:15,  증인(디지털),  9,000원",,180
2019-03-02,01관,"10:20,  항거:유관순 이야기(디지털),  10,000원","12:30,  자전차왕 엄복동(디지털),  10,000원","14:55,  항거:유관순 이야기(디지털),  12,000원","17:05,  어쩌다, 결혼(디지털),  12,000원","19:00,  항거:유관순 이야기(디지털),  12,000원","21:10,  자전차왕 엄복동(디지털),  12,000원","23:35,  항거:유관순 이야기(디지털),  9,000원",,121
2019-03-02,02관,"09:50,  극한직업(디지털),  8,000원",,"13:55,  슈퍼미니 2(디지털),  6,000원","15:50,  극한직업(디지털),  12,000원","18:05,  극한직업(디지털),  12,000원","20:20,  극한직업(디지털),  12,000원","22:35,  극한직업(디지털),  12,000원","12:10,  신데렐라:마법 반지의 비밀(디지털더빙),  10,000원",129
2019-03-02,04관,"09:00,  항거:유관순 이야기(디지털),  8,000원","11:10,  사바하(디지털),  10,000원","13:40,  사바하(디지털),  12,000원","16:10,  항거:유관순 이야기(디지털),  12,000원","18:25,  사바하(디지털),  12,000원","20:55,  사바하(디지털),  12,000원","23:20,  사바하(디지털),  9,000원",,214
2019-03-02,06관,"09:20,  증인(디지털),  8,000원","11:55,  항거:유관순 이야기(디지털),  10,000원","14:10,  증인(디지털),  12,000원","16:45,  증인(디지털),  12,000원","19:20,  증인(디지털),  12,000원","21:55,  항거:유관순 이야기(디지털),  12,000원","24:10,  증인(디지털),  9,000원",,180
2019-03-03,01관,"10:20,  항거:유관순 이야기(디지털),  10,000원","12:30,  자전차왕 엄복동(디지털),  10,000원","14:55,  항거:유관순 이야기(디지털),  12,000원","17:05,  어쩌다, 결혼(디지털),  12,000원","19:00,  항거:유관순 이야기(디지털),  12,000원","21:10,  자전차왕 엄복동(디지털),  12,000원","23:35,  항거:유관순 이야기(디지털),  9,000원",,121
2019-03-03,02관,"09:45,  극한직업(디지털),  8,000원","12:05,  신데렐라:마법 반지의 비밀(디지털더빙),  10,000원","13:55,  슈퍼미니 2(디지털),  12,000원","15:50,  극한직업(디지털),  12,000원","18:05,  극한직업(디지털),  12,000원","20:20,  극한직업(디지털),  12,000원","22:35,  극한직업(디지털),  12,000원",,129
2019-03-03,04관,"09:00,  사바하(디지털),  6,000원","11:25,  항거:유관순 이야기(디지털),  8,000원","13:35,  사바하(디지털),  12,000원","16:05,  사바하(디지털),  12,000원","18:30,  사바하(디지털),  12,000원","20:55,  항거:유관순 이야기(디지털),  12,000원","23:10,  사바하(디지털),  9,000원",,214
2019-03-03,06관,"09:10,  증인(디지털),  8,000원","11:40,  증인(디지털),  10,000원","14:10,  증인(디지털),  12,000원","16:50,  항거:유관순 이야기(디지털),  12,000원","19:10,  증인(디지털),  12,000원","21:45,  항거:유관순 이야기(디지털),  12,000원","24:00,  증인(디지털),  9,000원",,180
2019-03-04,01관,"10:20,  극한직업(디지털),  8,000원","12:40,  자전차왕 엄복동(디지털),  8,000원","15:05,  극한직업(디지털),  10,000원","17:25,  어쩌다, 결혼(디지털),  7,500원","19:20,  극한직업(디지털),  10,000원","21:35,  자전차왕 엄복동(디지털),  10,000원","24:00,  극한직업(디지털),  6,000원",,121
2019-03-04,02관,"09:40,  사바하(디지털),  7,000원","12:10,  슈퍼미니 2(디지털)","14:10,  신데렐라:마법 반지의 비밀(디지털더빙),  8,000원","16:05,  사바하(디지털),  10,000원","18:30,  사바하(디지털),  10,000원","20:55,  극한직업(디지털),  10,000원","23:15,  사바하(디지털),  8,000원",,129
2019-03-04,04관,"09:00,  항거:유관순 이야기(디지털),  7,000원","11:15,  항거:유관순 이야기(디지털),  8,000원","13:30,  항거:유관순 이야기(디지털),  10,000원","15:45,  항거:유관순 이야기(디지털),  10,000원","18:00,  항거:유관순 이야기(디지털),  10,000원","20:15,  항거:유관순 이야기(디지털),  10,000원","22:30,  항거:유관순 이야기(디지털),  10,000원",,214
