상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2018-12-07,01관,"17:00,  범죄도시(디지털)","20:00,  도어락(디지털)",,,,,,,,,166
2018-12-07,02관,"16:40,  비긴 어게인(디지털)","19:10,  라라랜드(디지털)",,,,,,,,,110
2018-12-07,03관,"19:00,  헌터 킬러(디지털)",,,,,,,,,,75
2018-12-07,04관,"19:30,  완벽한 타인(디지털)",,,,,,,,,,75
2018-12-07,05관,"16:30,  신과함께-죄와 벌(디지털)","19:50,  안시성(디지털)",,,,,,,,,62
2018-12-07,06관,"19:20,  신과함께-인과 연(디지털)",,,,,,,,,,62
2018-12-07,07관,"17:20,  택시운전사(디지털)","20:10,  너의 이름은.(디지털)",,,,,,,,,68
2018-12-07,08관,"18:40,  너의 결혼식(디지털)",,,,,,,,,,57
2018-12-08,01관,"10:30,  보헤미안 랩소디(디지털),  6,000원","13:20,  보헤미안 랩소디(디지털),  9,000원","16:10,  보헤미안 랩소디(디지털),  9,000원","19:00,  보헤미안 랩소디(디지털),  9,000원","21:50,  보헤미안 랩소디(디지털),  9,000원","24:35,  보헤미안 랩소디(디지털),  6,000원",,,,,166
2018-12-08,02관,"09:00,  보헤미안 랩소디(디지털),  6,000원","11:40,  런닝맨 : 풀룰루의 역습(디지털),  9,000원","13:20,  런닝맨 : 풀룰루의 역습(디지털),  9,000원","14:50,  보헤미안 랩소디(디지털),  9,000원","17:40,  보헤미안 랩소디(디지털),  9,000원","20:30,  보헤미안 랩소디(디지털),  9,000원","23:20,  보헤미안 랩소디(디지털),  6,000원",,,,110
2018-12-08,03관,"09:10,  번개맨의 비밀(디지털),  6,000원","10:50,  번개맨의 비밀(디지털),  6,000원","12:30,  번개맨의 비밀(디지털),  9,000원","14:10,  국가부도의 날(디지털),  9,000원","16:40,  국가부도의 날(디지털),  9,000원","19:10,  국가부도의 날(디지털),  9,000원","21:40,  국가부도의 날(디지털),  9,000원","24:10,  국가부도의 날(디지털),  6,000원",,,75
2018-12-08,04관,"10:20,  런닝맨 : 풀룰루의 역습(디지털),  6,000원","12:00,  헌터 킬러(디지털),  9,000원","14:30,  도어락(디지털),  9,000원","16:50,  도어락(디지털),  9,000원","19:00,  도어락(디지털),  9,000원","21:10,  도어락(디지털),  9,000원","23:20,  도어락(디지털),  6,000원",,,,75
2018-12-08,05관,"10:10,  모털 엔진(디지털),  6,000원","13:00,  모털 엔진(디지털),  9,000원","15:50,  모털 엔진(디지털),  9,000원","18:40,  모털 엔진(디지털),  9,000원","21:20,  모털 엔진(디지털),  9,000원","24:00,  모털 엔진(디지털),  6,000원",,,,,62
