상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2019-09-19,01관,"11:30,  극장판 반지의 비밀일기(디지털)","13:10,  힘을 내요, 미스터 리(디지털)","15:30,  힘을 내요, 미스터 리(디지털)","18:00,  나쁜 녀석들: 더 무비(디지털),  10,000원","20:20,  힘을 내요, 미스터 리(디지털),  10,000원",,,180
2019-09-19,02관,"12:00,  나의 특별한 형제(디지털)","14:20,  범죄도시(디지털)","16:50,  타짜: 원 아이드 잭(디지털),  7,000원","19:35,  타짜: 원 아이드 잭(디지털),  10,000원",,,,189
2019-09-19,03관,"13:30,  타짜: 원 아이드 잭(디지털)","16:15,  택시운전사(디지털)","19:00,  예스터데이(디지털),  10,000원","21:25,  타짜: 원 아이드 잭(디지털),  8,000원",,,,120
2019-09-19,04관,"12:30,  사자(디지털)","15:05,  나쁜 녀석들: 더 무비(디지털),  10,000원","17:25,  검사외전(디지털)","20:20,  나쁜 녀석들: 더 무비(디지털),  10,000원",,,,137
2019-09-19,05관,"13:40,  신과함께-죄와 벌(디지털)","16:25,  나쁜 녀석들: 더 무비(디지털),  10,000원","18:55,  신과함께-인과 연(디지털)","21:45,  나쁜 녀석들: 더 무비(디지털),  8,000원",,,,120
2019-09-20,01관,"09:40,  타짜: 원 아이드 잭(디지털),  6,000원","12:25,  타짜: 원 아이드 잭(디지털),  10,000원","15:10,  타짜: 원 아이드 잭(디지털),  10,000원","17:55,  타짜: 원 아이드 잭(디지털),  10,000원","20:40,  타짜: 원 아이드 잭(디지털),  10,000원","23:25,  나쁜 녀석들: 더 무비(디지털),  8,000원",,180
2019-09-20,02관,"10:40,  나쁜 녀석들: 더 무비(디지털),  6,000원","13:00,  나쁜 녀석들: 더 무비(디지털),  10,000원","15:20,  나쁜 녀석들: 더 무비(디지털),  10,000원","18:00,  나쁜 녀석들: 더 무비(디지털),  10,000원","20:20,  나쁜 녀석들: 더 무비(디지털),  10,000원","22:40,  나쁜 녀석들: 더 무비(디지털),  8,000원",,189
2019-09-20,03관,"09:30,  애드 아스트라(디지털),  6,000원","12:00,  애드 아스트라(디지털),  10,000원","14:30,  나쁜 녀석들: 더 무비(디지털),  10,000원","16:50,  애드 아스트라(디지털),  10,000원","19:20,  나쁜 녀석들: 더 무비(디지털),  10,000원","21:40,  애드 아스트라(디지털),  8,000원",,120
2019-09-20,04관,"10:30,  극장판 헬로카봇 : 달나라를 구해줘!(디지털)","12:15,  힘을 내요, 미스터 리(디지털),  10,000원","14:35,  힘을 내요, 미스터 리(디지털),  10,000원","16:55,  힘을 내요, 미스터 리(디지털),  8,000원","19:15,  타짜: 원 아이드 잭(디지털),  10,000원","22:00,  힘을 내요, 미스터 리(디지털),  8,000원",,137
2019-09-20,05관,"10:00,  예스터데이(디지털),  6,000원","12:25,  예스터데이(디지털)","14:50,  예스터데이(디지털),  10,000원","17:15,  예스터데이(디지털),  8,000원","19:40,  예스터데이(디지털),  10,000원","22:20,  예스터데이(디지털),  8,000원",,120
