상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2016-12-22,01관,"10:20,  마스터(디지털),  6,000원","14:20,  터널(디지털),  0원","16:50,  부산행(디지털),  0원","19:20,  마스터(디지털),  9,000원","22:20,  마스터(디지털),  9,000원",,,,,202
2016-12-22,02관,"11:50,  인어공주 : 새로운 모험의 시작(디지털더빙),  0원","13:40,  벤허(3D 디지털),  0원","16:10,  수어사이드 스쿼드(3D 디지털),  0원","18:40,  스타트렉 비욘드(3D 디지털),  0원","21:20,  당신, 거기 있어줄래요(디지털),  6,000원",,,,,143
2016-12-22,03관,"10:30,  당신, 거기 있어줄래요(디지털),  6,000원","12:55,  당신, 거기 있어줄래요(디지털),  7,000원","15:20,  당신, 거기 있어줄래요(디지털),  9,000원","17:45,  당신, 거기 있어줄래요(디지털),  9,000원","20:10,  당신, 거기 있어줄래요(디지털),  6,000원","22:35,  당신, 거기 있어줄래요(디지털),  9,000원",,,,143
2016-12-22,04관(수퍼플렉스 / Dolby ATMOS ),"11:00,  당신, 거기 있어줄래요(디지털),  0원","13:20,  마스터(디지털),  9,000원","16:10,  마스터(디지털),  9,000원","19:00,  사랑하기 때문에(디지털),  0원","21:20,  마스터(디지털),  9,000원",,,,,358
2016-12-22,05관,"10:30,  신밧드 더 무비(디지털더빙),  0원","13:00,  드림 쏭(디지털더빙),  0원","15:00,  나우 유 씨 미 2(디지털),  0원","17:45,  굿바이 싱글(디지털),  0원","20:20,  라라랜드(디지털),  9,000원",,,,,102
2016-12-22,06관,"11:00,  씽(디지털더빙)","13:20,  씽(디지털더빙),  5,000원","15:40,  덕혜옹주(디지털),  0원","18:20,  판도라(디지털),  9,000원","21:05,  판도라(디지털),  9,000원",,,,,102
2016-12-22,07관,"11:40,  마스터(디지털),  7,000원","14:30,  마스터(디지털),  9,000원","17:25,  마스터(디지털),  9,000원","20:20,  마스터(디지털),  9,000원",,,,,,188
2016-12-23,01관,"08:20,  마스터(디지털),  7,000원","11:20,  마스터(디지털),  10,000원","14:10,  마스터(디지털),  11,000원","17:00,  마스터(디지털),  11,000원","19:50,  마스터(디지털),  11,000원","22:40,  마스터(디지털),  11,000원",,,,202
2016-12-23,02관,"09:50,  당신, 거기 있어줄래요(디지털),  7,000원","12:20,  당신, 거기 있어줄래요(디지털)","14:40,  당신, 거기 있어줄래요(디지털),  11,000원","17:00,  당신, 거기 있어줄래요(디지털),  11,000원","19:20,  당신, 거기 있어줄래요(디지털),  11,000원","21:40,  당신, 거기 있어줄래요(디지털),  11,000원","24:00,  당신, 거기 있어줄래요(디지털),  9,000원",,,143
2016-12-23,03관,"08:40,  판도라(디지털),  7,000원","11:20,  극장판 도라에몽: 신 진구의 버스 오브 재팬(디지털더빙),  10,000원","13:30,  판도라(디지털),  11,000원","16:10,  라라랜드(디지털),  11,000원","18:45,  씽(디지털),  11,000원","21:00,  판도라(디지털),  11,000원","23:40,  판도라(디지털),  9,000원",,,143
