1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
,"12:05,  보헤미안 랩소디(디지털),  11,000원","14:50,  아쿠아맨(디지털),  12,000원","17:45,  보헤미안 랩소디(디지털),  12,000원","20:30,  아쿠아맨(디지털),  12,000원",,,,샤롯데,2019-01-01,30
,"12:05,  보헤미안 랩소디(디지털),  8,000원",,"17:45,  보헤미안 랩소디(디지털),  10,000원","20:30,  아쿠아맨(디지털),  10,000원",,,,샤롯데,2019-01-02,30
,"12:20,  보헤미안 랩소디(디지털),  9,000원","15:00,  아쿠아맨(디지털),  10,000원",,"20:30,  아쿠아맨(디지털),  10,000원",,,,샤롯데,2019-01-03,30
,"12:20,  보헤미안 랩소디(디지털),  11,000원",,"17:50,  보헤미안 랩소디(디지털),  12,000원","20:30,  아쿠아맨(디지털),  12,000원",,,,샤롯데,2019-01-04,30
,"12:20,  보헤미안 랩소디(디지털),  11,000원","15:00,  아쿠아맨(디지털),  12,000원","17:50,  보헤미안 랩소디(디지털),  12,000원","20:30,  아쿠아맨(디지털),  12,000원",,,,샤롯데,2019-01-05,30
"09:20,  아쿠아맨(디지털),  8,000원",,"15:00,  아쿠아맨(디지털),  12,000원","17:55,  보헤미안 랩소디(디지털),  12,000원","20:40,  아쿠아맨(디지털),  12,000원",,,,샤롯데,2019-01-06,30
,"12:10,  보헤미안 랩소디(디지털),  9,000원","14:50,  아쿠아맨(디지털),  10,000원","17:40,  보헤미안 랩소디(디지털),  10,000원",,,,,샤롯데,2019-01-08,30
,"14:00,  말모이(디지털),  10,000원",,"19:30,  말모이(디지털),  10,000원",,,,,샤롯데,2019-01-09,30
"11:00,  말모이(디지털),  9,000원","13:45,  말모이(디지털),  10,000원",,"19:15,  말모이(디지털),  10,000원","22:00,  말모이(디지털),  10,000원",,,,샤롯데,2019-01-10,30
,"13:45,  말모이(디지털),  12,000원","16:30,  말모이(디지털),  12,000원","19:15,  말모이(디지털),  12,000원","22:00,  말모이(디지털),  12,000원",,,,샤롯데,2019-01-11,30
,"12:15,  말모이(디지털),  11,000원","15:00,  말모이(디지털),  12,000원","17:45,  말모이(디지털),  12,000원","20:30,  말모이(디지털),  12,000원","23:15,  말모이(디지털),  10,000원",,,샤롯데,2019-01-12,30
"09:30,  말모이(디지털),  8,000원","12:15,  말모이(디지털),  11,000원","15:00,  말모이(디지털),  12,000원","17:45,  말모이(디지털),  12,000원","20:30,  말모이(디지털),  12,000원",,,,샤롯데,2019-01-13,30
,,,"18:45,  말모이(디지털),  10,000원","21:30,  말모이(디지털),  10,000원",,,,샤롯데,2019-01-14,30
"10:30,  말모이(디지털),  9,000원",,"16:00,  말모이(디지털),  10,000원",,,,,,샤롯데,2019-01-15,30
"10:30,  말모이(디지털),  9,000원","13:15,  말모이(디지털),  10,000원",,"18:45,  말모이(디지털),  10,000원",,,,,샤롯데,2019-01-16,30
"11:30,  말모이(디지털),  9,000원",,"16:55,  말모이(디지털),  10,000원","19:40,  글래스(디지털),  10,000원",,,,,샤롯데,2019-01-17,30
,"14:05,  말모이(디지털),  12,000원","16:50,  글래스(디지털),  10,000원","19:30,  말모이(디지털),  10,000원",,,,,샤롯데,2019-01-18,30
,"12:55,  말모이(디지털),  11,000원","15:40,  글래스(디지털),  12,000원","18:20,  말모이(디지털),  12,000원","21:05,  글래스(디지털),  10,000원","23:40,  말모이(디지털),  12,000원",,,샤롯데,2019-01-19,30
"09:45,  보헤미안 랩소디(디지털),  8,000원",,"15:00,  말모이(디지털),  12,000원","17:45,  아쿠아맨(디지털),  12,000원","20:35,  말모이(디지털),  12,000원","23:20,  글래스(디지털),  12,000원",,,샤롯데,2019-01-20,30
