상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"10:10,  국제시장(디지털),  6,000원","12:35,  국제시장(디지털),  10,000원","15:00,  국제시장(디지털),  10,000원","17:25,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:15,  국제시장(디지털),  10,000원",,,,116
2015-01-01,02관,"10:35,  마다가스카의 펭귄(디지털더빙),  7,000원","12:30,  마다가스카의 펭귄(디지털더빙),  10,000원","14:25,  마다가스카의 펭귄(디지털더빙),  10,000원","16:20,  마다가스카의 펭귄(디지털더빙),  10,000원","18:15,  국제시장(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:05,  국제시장(디지털),  10,000원",,,107
2015-01-01,03관,"10:15,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","11:55,  일곱난쟁이(디지털더빙),  10,000원","13:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:30,  마다가스카의 펭귄(디지털더빙),  10,000원","17:25,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","19:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:40,  님아, 그 강을 건너지 마오(디지털),  10,000원",,71
2015-01-01,04관,"09:10,  국제시장(디지털),  7,000원","11:35,  국제시장(디지털)","14:00,  국제시장(디지털),  10,000원","16:30,  호빗: 다섯 군대 전투(디지털),  10,000원","19:20,  테이큰 3(디지털),  10,000원","21:45,  테이큰 3(디지털),  10,000원",,,,70
2015-01-01,05관,"09:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:15,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","12:10,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:50,  일곱난쟁이(디지털더빙),  10,000원","17:40,  마다가스카의 펭귄(디지털더빙),  10,000원","19:35,  기술자들(디지털),  10,000원","21:55,  기술자들(디지털),  10,000원",,68
2015-01-02,01관,"10:10,  국제시장(디지털),  7,000원","12:35,  국제시장(디지털),  10,000원","15:00,  국제시장(디지털),  10,000원","17:25,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:15,  국제시장(디지털),  10,000원",,,,116
2015-01-02,02관,"10:30,  마다가스카의 펭귄(디지털더빙),  8,000원","12:25,  마다가스카의 펭귄(디지털더빙),  10,000원","14:25,  마다가스카의 펭귄(디지털더빙),  10,000원","16:20,  마다가스카의 펭귄(디지털더빙),  10,000원","18:15,  국제시장(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:05,  국제시장(디지털),  8,000원",,,107
2015-01-02,03관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","11:40,  일곱난쟁이(디지털더빙),  10,000원","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","15:20,  마다가스카의 펭귄(디지털더빙)","17:15,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","18:55,  님아, 그 강을 건너지 마오(디지털)","20:45,  님아, 그 강을 건너지 마오(디지털)","22:30,  님아, 그 강을 건너지 마오(디지털)",,71
2015-01-02,04관,"09:20,  국제시장(디지털),  6,000원","11:45,  국제시장(디지털),  10,000원","14:10,  국제시장(디지털),  10,000원","16:35,  호빗: 다섯 군대 전투(디지털),  10,000원","19:20,  테이큰 3(디지털),  10,000원","21:40,  테이큰 3(디지털),  10,000원",,,,70
2015-01-02,05관,"09:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:15,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","12:10,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:25,  마다가스카의 펭귄(디지털더빙),  10,000원","19:30,  기술자들(디지털),  10,000원","21:50,  기술자들(디지털),  10,000원",,68
