상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2019-04-10,01관,,,,,"19:20,  헬보이(디지털),  6,000원","21:50,  헬보이(디지털),  6,000원",,,55
2019-04-10,02관,,,,,"19:40,  공포의 묘지(디지털),  6,000원","22:00,  공포의 묘지(디지털),  6,000원",,,54
2019-04-10,03관,,,,,"19:00,  생일(디지털),  6,000원","21:30,  생일(디지털),  6,000원",,,84
2019-04-10,04관,,,,,"18:30,  파이브 피트(디지털),  6,000원","21:00,  어스(디지털),  6,000원",,,46
2019-04-10,05관,,,,"18:10,  샤잠!(디지털),  6,000원","20:50,  샤잠!(디지털),  6,000원",,,,55
2019-04-10,06관,,,,"18:00,  돈(디지털),  6,000원","20:20,  생일(디지털),  6,000원","23:00,  돈(디지털),  6,000원",,,54
2019-04-11,01관,"09:50,  헬보이(디지털),  6,000원","12:20,  헬보이(디지털),  6,000원","14:50,  헬보이(디지털),  6,000원","17:20,  헬보이(디지털),  6,000원","19:50,  헬보이(디지털),  6,000원","22:20,  헬보이(디지털),  6,000원",,,55
2019-04-11,02관,"11:00,  아이 엠 마더(디지털),  6,000원","13:05,  파이브 피트(디지털),  6,000원","16:00,  아이 엠 마더(디지털),  6,000원","18:05,  공포의 묘지(디지털),  6,000원","20:10,  아이 엠 마더(디지털),  6,000원","22:30,  공포의 묘지(디지털),  6,000원",,,54
2019-04-11,03관,"09:30,  생일(디지털),  6,000원","11:55,  생일(디지털),  6,000원","14:20,  생일(디지털),  6,000원","16:45,  생일(디지털),  6,000원","19:15,  생일(디지털),  6,000원","21:45,  생일(디지털),  6,000원",,,84
2019-04-11,04관,"10:10,  샤잠!(디지털)","12:45,  키코리키: 시간여행(디지털더빙)","14:35,  샤잠!(디지털)","17:15,  어스(디지털),  6,000원","19:40,  샤잠!(디지털),  6,000원","22:20,  어스(디지털),  6,000원",,,46
2019-04-11,05관,"10:20,  미성년(디지털),  6,000원","12:25,  미성년(디지털),  6,000원","14:30,  미성년(디지털),  6,000원","16:35,  미성년(디지털),  6,000원","18:40,  미성년(디지털),  6,000원","20:45,  미성년(디지털)","22:50,  미성년(디지털),  6,000원",,55
2019-04-11,06관,"10:40,  생일(디지털)","13:10,  돈(디지털),  6,000원","15:35,  생일(디지털),  6,000원","18:05,  돈(디지털),  6,000원","20:30,  생일(디지털),  6,000원","23:00,  돈(디지털),  6,000원",,,54
2019-04-12,01관,"10:40,  헬보이(디지털),  6,000원","13:10,  헬보이(디지털),  6,000원","15:40,  헬보이(디지털),  6,000원","18:10,  헬보이(디지털),  6,000원","20:40,  헬보이(디지털),  6,000원","23:10,  헬보이(디지털),  6,000원",,,55
