상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2018-04-25,01관,"08:50,  당갈(디지털)","12:00,  살인소설(디지털),  8,000원","14:10,  램페이지(디지털)","16:25,  당갈(디지털),  10,000원","19:30,  어벤져스: 인피니티 워(디지털),  5,000원","22:30,  램페이지(디지털),  10,000원",,,,,62
2018-04-25,02관,"09:10,  살인소설(디지털),  7,000원","11:15,  램페이지(디지털)","13:30,  살인소설(디지털),  6,000원","15:40,  살인소설(디지털),  10,000원","17:50,  어벤져스: 인피니티 워(디지털),  5,000원","20:50,  어벤져스: 인피니티 워(디지털),  5,000원","23:50,  살인소설(디지털),  8,000원",,,,59
2018-04-25,03관,"11:00,  어벤져스: 인피니티 워(디지털),  8,000원","14:00,  어벤져스: 인피니티 워(디지털),  10,000원","17:00,  어벤져스: 인피니티 워(디지털),  5,000원","20:05,  어벤져스: 인피니티 워(디지털),  5,000원","23:00,  어벤져스: 인피니티 워(디지털),  8,000원",,,,,,93
2018-04-25,04관,"09:20,  램페이지(디지털)","11:30,  어벤져스: 인피니티 워(디지털),  8,000원","14:30,  어벤져스: 인피니티 워(디지털),  10,000원","17:30,  어벤져스: 인피니티 워(디지털),  5,000원","20:30,  어벤져스: 인피니티 워(디지털),  5,000원","23:30,  어벤져스: 인피니티 워(디지털),  8,000원",,,,,70
2018-04-25,05관,"09:00,  어벤져스: 인피니티 워(디지털),  7,000원","12:00,  어벤져스: 인피니티 워(디지털),  8,000원","15:00,  어벤져스: 인피니티 워(디지털),  10,000원","18:00,  어벤져스: 인피니티 워(디지털),  5,000원","21:00,  어벤져스: 인피니티 워(디지털),  5,000원","24:00,  어벤져스: 인피니티 워(디지털),  8,000원",,,,,86
2018-04-25,06관,"10:15,  어벤져스: 인피니티 워(디지털),  8,000원","13:15,  어벤져스: 인피니티 워(디지털),  10,000원","16:15,  어벤져스: 인피니티 워(디지털),  10,000원","19:15,  어벤져스: 인피니티 워(디지털),  5,000원","22:15,  어벤져스: 인피니티 워(디지털),  10,000원",,,,,,78
2018-04-25,07관,"09:25,  어벤져스: 인피니티 워(디지털),  7,000원","12:25,  어벤져스: 인피니티 워(디지털),  8,000원","15:25,  어벤져스: 인피니티 워(디지털),  10,000원","18:30,  어벤져스: 인피니티 워(디지털),  5,000원","21:30,  어벤져스: 인피니티 워(디지털),  10,000원","24:30,  어벤져스: 인피니티 워(디지털),  8,000원",,,,,94
2018-04-25,08관,"10:40,  어벤져스: 인피니티 워(디지털),  8,000원","13:40,  어벤져스: 인피니티 워(디지털),  10,000원","16:40,  어벤져스: 인피니티 워(디지털),  10,000원","19:40,  어벤져스: 인피니티 워(디지털),  10,000원","22:40,  어벤져스: 인피니티 워(디지털),  10,000원",,,,,,66
2018-04-25,09관,"09:50,  어벤져스: 인피니티 워(디지털),  7,000원","12:50,  어벤져스: 인피니티 워(디지털),  8,000원","15:50,  어벤져스: 인피니티 워(디지털),  10,000원","18:50,  어벤져스: 인피니티 워(디지털),  5,000원","21:50,  어벤져스: 인피니티 워(디지털),  10,000원",,,,,,55
2018-04-26,01관,"09:40,  레오나르도 다 빈치(디지털더빙)","11:30,  어벤져스: 인피니티 워(디지털),  8,000원","14:30,  어벤져스: 인피니티 워(디지털),  10,000원","17:30,  어벤져스: 인피니티 워(디지털),  10,000원","20:30,  어벤져스: 인피니티 워(디지털),  10,000원","23:30,  어벤져스: 인피니티 워(디지털),  8,000원",,,,,62
2018-04-26,02관,"09:10,  살인소설(디지털),  7,000원","11:20,  살인소설(디지털),  8,000원","13:30,  살인소설(디지털)","15:40,  살인소설(디지털),  5,000원","17:50,  살인소설(디지털),  10,000원","20:00,  살인소설(디지털),  10,000원","22:10,  살인소설(디지털),  10,000원",,,,59
2018-04-26,03관,"11:05,  어벤져스: 인피니티 워(디지털),  8,000원","14:05,  어벤져스: 인피니티 워(디지털),  10,000원","17:05,  어벤져스: 인피니티 워(디지털),  10,000원","20:05,  어벤져스: 인피니티 워(디지털),  10,000원","23:05,  어벤져스: 인피니티 워(디지털),  8,000원",,,,,,93
2018-04-26,04관,"09:00,  당갈(디지털),  6,000원","12:10,  램페이지(디지털),  8,000원","14:25,  레오나르도 다 빈치(디지털더빙),  8,000원","16:15,  당갈(디지털),  6,300원","19:25,  램페이지(디지털),  10,000원","21:40,  당갈(디지털),  10,000원",,,,,70
2018-04-26,05관,"09:00,  어벤져스: 인피니티 워(디지털),  7,000원","12:00,  어벤져스: 인피니티 워(디지털),  8,000원","15:00,  어벤져스: 인피니티 워(디지털),  10,000원","18:00,  어벤져스: 인피니티 워(디지털),  10,000원","21:00,  어벤져스: 인피니티 워(디지털),  10,000원","24:00,  어벤져스: 인피니티 워(디지털),  8,000원",,,,,86
2018-04-26,06관,"10:15,  어벤져스: 인피니티 워(디지털),  8,000원","13:15,  어벤져스: 인피니티 워(디지털),  10,000원","16:15,  어벤져스: 인피니티 워(디지털),  10,000원","19:15,  어벤져스: 인피니티 워(디지털),  10,000원","22:15,  어벤져스: 인피니티 워(디지털),  10,000원",,,,,,78
